epoch,phase,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1,6.745368,0.001052,6.734344,0.001199,0.00006240,17.60
2,1,6.730055,0.001052,6.705438,0.003597,0.00012180,17.19
3,1,6.672691,0.005108,6.601007,0.022782,0.00018120,17.07
4,1,6.562771,0.018029,6.429601,0.068345,0.00024060,17.17
5,1,6.377399,0.040715,6.163633,0.095923,0.00030000,17.12
6,2,6.180721,0.082933,6.136257,0.104317,0.00006240,19.47
7,2,5.947222,0.107722,5.524254,0.181055,0.00012180,19.34
8,2,5.383208,0.160607,4.797006,0.346523,0.00018120,19.25
9,2,4.687557,0.296725,3.975567,0.585132,0.00024060,19.46
10,2,3.941056,0.513972,3.399035,0.715827,0.00030000,19.38
11,2,3.309234,0.716346,2.878995,0.858513,0.00029998,19.26
12,2,2.848422,0.858474,2.615486,0.901679,0.00029992,19.67
13,2,2.589667,0.937350,2.460406,0.948441,0.00029982,19.49
14,2,2.432820,0.966947,2.365176,0.967626,0.00029967,19.62
15,2,2.329551,0.986779,2.305858,0.971223,0.00029949,19.36
16,2,2.268039,0.990685,2.249947,0.979616,0.00029926,19.50
17,2,2.214425,0.995793,2.233051,0.980815,0.00029900,19.29
18,2,2.181025,0.997897,2.199427,0.984412,0.00029869,19.63
19,2,2.157140,0.998197,2.204790,0.980815,0.00029835,19.69
20,2,2.131766,0.999399,2.210941,0.984412,0.00029796,19.16
21,2,2.112218,0.998948,2.162909,0.985612,0.00029753,19.16
22,2,2.099608,0.999850,2.147400,0.985612,0.00029707,19.23
23,2,2.086955,1.000000,2.134663,0.991607,0.00029656,18.98
24,2,2.074998,0.999850,2.145072,0.988010,0.00029601,19.38
25,2,2.064955,1.000000,2.115231,0.988010,0.00029543,18.94
26,2,2.053879,0.999850,2.120087,0.988010,0.00029480,19.22
27,2,2.048280,0.999850,2.103691,0.992806,0.00029413,19.43
28,2,2.042607,1.000000,2.100010,0.989209,0.00029343,19.56
29,2,2.036897,0.999700,2.091962,0.995204,0.00029268,19.34
30,2,2.029729,1.000000,2.090797,0.994005,0.00029190,19.43
31,2,2.024102,1.000000,2.082825,0.992806,0.00029108,19.30
32,2,2.020034,1.000000,2.093835,0.991607,0.00029022,19.14
33,2,2.017771,0.999850,2.075885,0.995204,0.00028932,18.92
34,2,2.013940,1.000000,2.073930,0.996403,0.00028838,18.95
35,2,2.010448,1.000000,2.078220,0.996403,0.00028741,19.36
36,2,2.005158,1.000000,2.079064,0.995204,0.00028640,19.41
37,2,2.002372,1.000000,2.071127,0.994005,0.00028535,19.27
38,2,1.999989,1.000000,2.087429,0.995204,0.00028426,19.25
39,2,1.998261,0.999850,2.064798,0.996403,0.00028314,19.46
40,2,1.997722,1.000000,2.072788,0.992806,0.00028198,19.69
41,2,1.991744,1.000000,2.062308,0.994005,0.00028079,19.39
42,2,1.990864,1.000000,2.061525,0.995204,0.00027956,19.68
43,2,1.987028,1.000000,2.052282,0.996403,0.00027829,19.43
44,2,1.983777,1.000000,2.053770,0.996403,0.00027699,19.66
45,2,1.982305,1.000000,2.049673,0.996403,0.00027566,19.53
46,2,1.978781,1.000000,2.039607,0.997602,0.00027429,19.38
47,2,1.978315,1.000000,2.045378,0.997602,0.00027288,19.68
48,2,1.977740,0.999850,2.052371,0.995204,0.00027145,19.52
49,2,1.976648,1.000000,2.043471,0.997602,0.00026998,19.64
50,2,1.974903,1.000000,2.053394,0.996403,0.00026848,19.46
51,2,1.972379,1.000000,2.049056,0.996403,0.00026694,19.31
52,2,1.970442,1.000000,2.042793,0.996403,0.00026538,19.29
53,2,1.970997,1.000000,2.038552,0.997602,0.00026378,19.32
54,2,1.969271,1.000000,2.039439,0.998801,0.00026215,19.45
55,2,1.966238,1.000000,2.046962,0.998801,0.00026049,19.62
56,2,1.963378,1.000000,2.033938,0.997602,0.00025880,19.57
57,2,1.964228,1.000000,2.038902,0.997602,0.00025708,19.07
58,2,1.959288,1.000000,2.029942,0.996403,0.00025533,19.36
59,2,1.960778,1.000000,2.023538,0.995204,0.00025356,19.47
60,2,1.958582,1.000000,2.030868,0.997602,0.00025175,19.71
61,2,1.957324,1.000000,2.035850,0.996403,0.00024992,19.68
62,2,1.955744,1.000000,2.034595,0.995204,0.00024806,19.46
63,2,1.957061,1.000000,2.034593,0.995204,0.00024618,19.48
64,2,1.955017,1.000000,2.017805,0.996403,0.00024426,19.48
65,2,1.951573,1.000000,2.027964,0.996403,0.00024232,19.25
66,2,1.951468,1.000000,2.022538,0.997602,0.00024036,19.34
67,2,1.950419,1.000000,2.027230,0.997602,0.00023837,19.14
68,2,1.949748,1.000000,2.023160,0.995204,0.00023636,19.81
69,2,1.949896,1.000000,2.020677,0.996403,0.00023433,19.26
70,2,1.949012,1.000000,2.019445,0.996403,0.00023227,19.29
71,2,1.946845,1.000000,2.027676,0.997602,0.00023019,19.46
72,2,1.946969,1.000000,2.032994,0.995204,0.00022809,19.78
73,2,1.946205,1.000000,2.014686,0.995204,0.00022596,19.40
74,2,1.944286,1.000000,2.019512,0.997602,0.00022382,19.66
75,2,1.944699,1.000000,2.024443,0.996403,0.00022165,18.99
76,2,1.942756,1.000000,2.027251,0.996403,0.00021947,19.43
77,2,1.942321,1.000000,2.021734,0.997602,0.00021727,19.26
78,2,1.941383,1.000000,2.018100,0.996403,0.00021505,19.11
79,2,1.939840,1.000000,2.020796,0.997602,0.00021281,19.40
80,2,1.939045,1.000000,2.009671,0.995204,0.00021055,19.12
81,2,1.937437,1.000000,2.008315,0.997602,0.00020828,19.19
82,2,1.939455,1.000000,2.010674,0.997602,0.00020599,19.30
83,2,1.937737,1.000000,2.012760,0.997602,0.00020369,19.33
84,2,1.936757,1.000000,2.012046,0.996403,0.00020137,19.47
85,2,1.936600,1.000000,2.014354,0.997602,0.00019904,19.30
86,2,1.934713,1.000000,2.011120,0.997602,0.00019670,19.50
87,2,1.933874,1.000000,2.013478,0.996403,0.00019434,19.02
88,2,1.931845,1.000000,2.015275,0.996403,0.00019197,19.64
89,2,1.934098,1.000000,2.011896,0.997602,0.00018959,19.59
90,2,1.932690,1.000000,2.008885,0.997602,0.00018720,19.64
91,2,1.931972,1.000000,2.007044,0.997602,0.00018480,19.60
92,2,1.929788,1.000000,2.007173,0.996403,0.00018239,19.51
93,2,1.930830,1.000000,2.007746,0.997602,0.00017997,19.31
94,2,1.929327,1.000000,2.007408,0.998801,0.00017754,19.36
95,2,1.930000,1.000000,2.010070,0.997602,0.00017511,19.54
96,2,1.927381,1.000000,2.000929,0.996403,0.00017267,19.62
97,2,1.927851,1.000000,2.007380,0.997602,0.00017022,19.42
98,2,1.925981,1.000000,2.002492,0.997602,0.00016776,20.07
99,2,1.926908,1.000000,2.000213,0.997602,0.00016531,19.66
100,2,1.925772,1.000000,2.003179,0.996403,0.00016285,19.71
101,2,1.925075,1.000000,1.992652,0.997602,0.00016038,19.48
102,2,1.925755,1.000000,1.999922,0.996403,0.00015791,19.81
103,2,1.924127,1.000000,1.996659,0.997602,0.00015544,19.43
104,2,1.923176,1.000000,1.993697,0.997602,0.00015297,19.62
105,2,1.922467,1.000000,2.004421,0.996403,0.00015050,19.47
106,2,1.921943,1.000000,1.993435,0.996403,0.00014803,19.58
107,2,1.922116,1.000000,1.999091,0.998801,0.00014556,19.40
108,2,1.919278,1.000000,2.001070,0.997602,0.00014309,19.65
109,2,1.920392,1.000000,1.993330,0.998801,0.00014062,19.30
110,2,1.921508,1.000000,1.989168,0.997602,0.00013815,19.41
