epoch,phase,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1,6.824526,0.001202,6.773109,0.000000,0.00006240,23.95
2,1,6.801252,0.001803,6.691126,0.001199,0.00012180,22.09
3,1,6.720102,0.002855,6.590269,0.021583,0.00018120,21.96
4,1,6.614219,0.006010,6.463696,0.053957,0.00024060,22.03
5,1,6.457650,0.019982,6.303755,0.130695,0.00030000,22.15
6,2,6.244143,0.067157,6.150485,0.206235,0.00006240,46.08
7,2,5.889735,0.155649,5.532818,0.357314,0.00012180,45.55
8,2,5.389019,0.309495,4.878687,0.587530,0.00018120,45.63
9,2,4.744522,0.539062,4.075213,0.774580,0.00024060,45.72
10,2,3.915993,0.762620,3.180042,0.900480,0.00030000,45.58
11,2,3.046006,0.913612,2.477229,0.966427,0.00029998,45.57
12,2,2.480294,0.975811,2.244799,0.982014,0.00029992,45.62
13,2,2.266330,0.992338,2.183777,0.991607,0.00029982,45.77
14,2,2.189037,0.998197,2.142994,0.992806,0.00029967,45.77
15,2,2.153188,0.998798,2.125226,0.995204,0.00029949,45.74
16,2,2.120238,0.999249,2.104576,0.997602,0.00029926,45.74
17,2,2.099488,0.999700,2.081640,0.996403,0.00029900,45.84
18,2,2.083133,0.999700,2.068453,1.000000,0.00029869,45.86
19,2,2.070040,0.999850,2.066160,1.000000,0.00029835,45.60
20,2,2.054612,1.000000,2.054377,1.000000,0.00029796,45.80
21,2,2.049120,0.999700,2.042822,0.998801,0.00029753,45.79
22,2,2.038570,0.999549,2.030381,0.997602,0.00029707,45.73
23,2,2.033240,0.999700,2.027099,0.998801,0.00029656,45.72
24,2,2.022215,0.999850,2.016563,1.000000,0.00029601,45.81
25,2,2.020940,1.000000,2.019582,0.998801,0.00029543,45.80
26,2,2.013143,1.000000,2.018285,0.998801,0.00029480,45.58
27,2,2.008095,0.999700,2.002023,1.000000,0.00029413,45.81
28,2,2.003302,0.999850,1.999235,1.000000,0.00029343,45.75
29,2,1.999440,1.000000,1.991104,1.000000,0.00029268,45.56
30,2,1.995597,1.000000,1.999862,1.000000,0.00029190,45.64
31,2,1.993689,1.000000,1.988322,1.000000,0.00029108,45.73
32,2,1.993543,1.000000,1.990556,1.000000,0.00029022,45.78
33,2,1.985853,1.000000,1.989901,0.997602,0.00028932,45.87
34,2,1.982948,1.000000,1.983896,1.000000,0.00028838,45.78
35,2,1.980315,1.000000,1.977578,1.000000,0.00028741,45.93
36,2,1.975716,1.000000,1.978291,1.000000,0.00028640,45.86
37,2,1.975815,1.000000,1.974519,1.000000,0.00028535,45.78
38,2,1.973614,1.000000,1.978711,1.000000,0.00028426,45.74
39,2,1.970355,0.999850,1.968790,1.000000,0.00028314,45.78
40,2,1.966369,1.000000,1.963750,1.000000,0.00028198,45.79
41,2,1.965785,0.999850,1.970182,1.000000,0.00028079,45.87
42,2,1.965371,0.999850,1.972064,1.000000,0.00027956,45.95
43,2,1.963513,1.000000,1.960994,1.000000,0.00027829,45.80
44,2,1.959980,1.000000,1.963376,1.000000,0.00027699,45.81
45,2,1.958116,1.000000,1.964789,1.000000,0.00027566,45.79
46,2,1.957419,1.000000,1.959520,1.000000,0.00027429,46.01
47,2,1.954031,1.000000,1.954317,1.000000,0.00027288,46.04
48,2,1.953374,1.000000,1.958036,1.000000,0.00027145,45.74
49,2,1.952031,0.999850,1.955570,0.998801,0.00026998,45.89
50,2,1.950580,1.000000,1.957222,0.998801,0.00026848,45.75
51,2,1.948450,1.000000,1.945944,1.000000,0.00026694,45.70
52,2,1.949354,1.000000,1.949334,1.000000,0.00026538,45.62
53,2,1.948159,1.000000,1.951830,1.000000,0.00026378,45.77
54,2,1.945257,1.000000,1.950088,1.000000,0.00026215,45.63
55,2,1.942554,1.000000,1.950612,1.000000,0.00026049,45.74
56,2,1.943428,1.000000,1.950149,0.998801,0.00025880,45.80
57,2,1.942112,1.000000,1.943856,1.000000,0.00025708,45.64
58,2,1.940455,1.000000,1.942977,1.000000,0.00025533,45.79
59,2,1.939092,1.000000,1.940142,1.000000,0.00025356,45.95
60,2,1.937528,1.000000,1.948606,1.000000,0.00025175,45.65
61,2,1.937485,1.000000,1.942978,1.000000,0.00024992,45.72
62,2,1.936423,1.000000,1.940268,1.000000,0.00024806,45.86
63,2,1.935128,1.000000,1.937236,1.000000,0.00024618,45.87
64,2,1.933575,1.000000,1.937831,1.000000,0.00024426,45.90
65,2,1.932453,0.999850,1.942320,0.998801,0.00024232,45.81
66,2,1.932008,0.999850,1.936194,1.000000,0.00024036,45.68
67,2,1.930721,1.000000,1.936070,0.998801,0.00023837,45.76
68,2,1.929777,1.000000,1.930947,1.000000,0.00023636,45.77
69,2,1.928513,1.000000,1.935524,1.000000,0.00023433,45.79
70,2,1.928714,1.000000,1.930493,1.000000,0.00023227,45.63
71,2,1.927743,1.000000,1.930804,0.998801,0.00023019,45.72
72,2,1.926654,1.000000,1.932993,1.000000,0.00022809,45.80
73,2,1.924779,1.000000,1.925117,1.000000,0.00022596,45.76
74,2,1.925411,1.000000,1.925790,0.998801,0.00022382,45.62
75,2,1.924784,1.000000,1.931099,1.000000,0.00022165,45.70
76,2,1.922680,1.000000,1.930015,1.000000,0.00021947,45.64
77,2,1.921733,1.000000,1.923895,1.000000,0.00021727,45.80
78,2,1.920439,1.000000,1.923196,1.000000,0.00021505,45.77
79,2,1.919668,1.000000,1.922470,1.000000,0.00021281,45.87
80,2,1.919375,1.000000,1.923217,1.000000,0.00021055,45.71
81,2,1.919343,1.000000,1.922469,1.000000,0.00020828,45.86
82,2,1.918446,1.000000,1.924305,0.998801,0.00020599,45.92
83,2,1.918266,1.000000,1.921416,1.000000,0.00020369,45.69
84,2,1.917828,1.000000,1.923474,1.000000,0.00020137,45.45
85,2,1.917383,1.000000,1.918811,1.000000,0.00019904,45.66
86,2,1.915331,1.000000,1.920887,1.000000,0.00019670,45.63
87,2,1.914721,1.000000,1.916449,1.000000,0.00019434,45.67
88,2,1.914444,1.000000,1.918809,1.000000,0.00019197,45.55
89,2,1.913274,1.000000,1.916645,1.000000,0.00018959,45.52
90,2,1.913113,1.000000,1.920379,1.000000,0.00018720,45.61
91,2,1.913444,1.000000,1.917587,0.998801,0.00018480,45.60
92,2,1.912506,1.000000,1.913195,1.000000,0.00018239,45.61
93,2,1.911711,1.000000,1.913544,0.998801,0.00017997,45.58
94,2,1.911230,1.000000,1.912899,1.000000,0.00017754,45.58
95,2,1.911197,1.000000,1.912274,1.000000,0.00017511,45.58
96,2,1.910466,1.000000,1.911317,0.998801,0.00017267,45.58
97,2,1.910782,1.000000,1.915686,0.998801,0.00017022,45.53
98,2,1.908543,1.000000,1.914453,1.000000,0.00016776,45.54
99,2,1.909641,1.000000,1.911164,1.000000,0.00016531,45.67
100,2,1.907457,1.000000,1.910790,1.000000,0.00016285,45.74
101,2,1.907659,1.000000,1.911195,0.998801,0.00016038,45.58
102,2,1.907647,1.000000,1.911241,1.000000,0.00015791,45.61
103,2,1.906969,1.000000,1.911178,0.998801,0.00015544,45.65
104,2,1.906553,1.000000,1.907715,1.000000,0.00015297,45.56
105,2,1.905557,1.000000,1.908604,0.998801,0.00015050,45.78
106,2,1.904395,1.000000,1.909071,1.000000,0.00014803,45.64
107,2,1.904264,1.000000,1.907036,1.000000,0.00014556,45.73
108,2,1.904746,1.000000,1.907176,1.000000,0.00014309,45.56
109,2,1.904578,1.000000,1.909173,1.000000,0.00014062,45.54
110,2,1.903524,1.000000,1.909354,0.998801,0.00013815,46.62
111,2,1.902315,1.000000,1.907050,1.000000,0.00013569,47.11
112,2,1.903506,1.000000,1.906677,1.000000,0.00013324,46.85
113,2,1.901775,1.000000,1.906829,0.998801,0.00013078,46.87
114,2,1.901080,1.000000,1.906745,1.000000,0.00012833,46.35
115,2,1.902041,1.000000,1.905921,0.998801,0.00012589,47.34
116,2,1.901125,1.000000,1.905547,0.998801,0.00012346,47.90
117,2,1.901422,1.000000,1.903073,1.000000,0.00012103,48.06
118,2,1.899982,1.000000,1.906741,0.998801,0.00011861,45.56
119,2,1.900068,1.000000,1.902798,1.000000,0.00011620,45.47
120,2,1.899507,1.000000,1.905559,1.000000,0.00011380,45.70
121,2,1.898634,1.000000,1.905473,1.000000,0.00011141,45.59
122,2,1.899309,1.000000,1.905404,1.000000,0.00010903,45.71
123,2,1.898884,1.000000,1.903298,1.000000,0.00010666,45.63
124,2,1.898149,1.000000,1.904320,1.000000,0.00010430,45.53
125,2,1.898308,1.000000,1.901332,1.000000,0.00010196,45.64
126,2,1.897692,1.000000,1.903121,1.000000,0.00009963,45.68
127,2,1.897255,1.000000,1.900730,1.000000,0.00009731,45.57
128,2,1.897334,1.000000,1.899633,0.998801,0.00009501,45.57
129,2,1.897283,1.000000,1.900576,0.998801,0.00009272,45.58
130,2,1.896728,1.000000,1.899460,0.998801,0.00009045,45.55
131,2,1.896059,1.000000,1.902029,0.998801,0.00008819,45.65
132,2,1.896485,1.000000,1.899935,1.000000,0.00008595,45.58
133,2,1.895339,1.000000,1.900471,1.000000,0.00008373,45.56
134,2,1.895555,1.000000,1.897775,1.000000,0.00008153,45.64
135,2,1.895665,1.000000,1.898883,1.000000,0.00007935,45.54
136,2,1.894797,1.000000,1.897332,0.998801,0.00007718,45.58
137,2,1.894478,1.000000,1.899086,1.000000,0.00007504,45.76
138,2,1.894659,1.000000,1.897842,0.998801,0.00007291,45.63
139,2,1.894517,1.000000,1.898401,0.998801,0.00007081,45.65
140,2,1.893701,1.000000,1.896369,0.998801,0.00006873,45.60
141,2,1.893798,1.000000,1.898249,0.998801,0.00006667,45.60
142,2,1.893693,1.000000,1.898885,1.000000,0.00006464,45.50
143,2,1.892931,1.000000,1.897496,0.998801,0.00006263,45.56
144,2,1.892894,1.000000,1.898926,0.998801,0.00006064,45.79
145,2,1.892718,1.000000,1.898499,0.998801,0.00005868,45.68
146,2,1.892944,1.000000,1.897088,0.998801,0.00005674,45.51
147,2,1.892431,1.000000,1.897605,1.000000,0.00005482,45.47
148,2,1.892456,1.000000,1.898012,0.998801,0.00005294,45.55
149,2,1.891585,1.000000,1.897766,0.998801,0.00005108,45.54
150,2,1.891734,1.000000,1.896495,0.998801,0.00004925,45.78
