epoch,phase,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1,6.931107,0.000451,6.821615,0.001199,0.00006240,18.98
2,1,6.891283,0.000300,6.723114,0.002398,0.00012180,18.72
3,1,6.826217,0.002404,6.653253,0.005995,0.00018120,18.75
4,1,6.760240,0.003305,6.570665,0.015588,0.00024060,19.01
5,1,6.678206,0.004357,6.467476,0.026379,0.00030000,18.66
6,2,6.538546,0.009916,6.457209,0.029976,0.00006240,24.43
7,2,6.479319,0.016226,6.302746,0.086331,0.00012180,24.38
8,2,6.306297,0.031100,5.977602,0.200240,0.00018120,24.13
9,2,5.942419,0.081881,5.429376,0.314149,0.00024060,24.27
10,2,5.375926,0.199820,4.691794,0.562350,0.00030000,24.31
11,2,4.680943,0.401893,3.919299,0.742206,0.00029998,24.30
12,2,3.969819,0.638972,3.299927,0.853717,0.00029992,24.23
13,2,3.405290,0.797927,2.897895,0.917266,0.00029982,24.35
14,2,2.995639,0.887620,2.593517,0.949640,0.00029967,24.24
15,2,2.720176,0.942909,2.427646,0.965228,0.00029949,24.26
16,2,2.556840,0.967097,2.334150,0.978417,0.00029926,24.24
17,2,2.445629,0.981220,2.280237,0.984412,0.00029900,24.27
18,2,2.391758,0.988431,2.237447,0.985612,0.00029869,24.05
19,2,2.351460,0.991737,2.205589,0.988010,0.00029835,24.47
20,2,2.322593,0.993690,2.181748,0.988010,0.00029796,24.15
21,2,2.295011,0.996544,2.178218,0.990408,0.00029753,24.28
22,2,2.275629,0.996845,2.151713,0.995204,0.00029707,24.29
23,2,2.257717,0.997296,2.141094,0.994005,0.00029656,24.16
24,2,2.243328,0.998347,2.135434,0.992806,0.00029601,24.16
25,2,2.230507,0.998498,2.120141,0.992806,0.00029543,24.00
26,2,2.224761,0.998347,2.110532,0.996403,0.00029480,24.04
27,2,2.215631,0.999099,2.103139,0.995204,0.00029413,24.10
28,2,2.207379,0.998948,2.102720,0.996403,0.00029343,24.09
29,2,2.197424,0.999099,2.099081,0.998801,0.00029268,24.10
30,2,2.190046,0.998648,2.088955,0.997602,0.00029190,24.13
31,2,2.183213,0.999249,2.082646,0.994005,0.00029108,24.19
32,2,2.175150,0.999399,2.074747,0.997602,0.00029022,24.05
33,2,2.170155,0.999249,2.073207,0.992806,0.00028932,24.07
34,2,2.161686,0.999850,2.063219,0.998801,0.00028838,24.10
35,2,2.162795,0.999850,2.064811,0.996403,0.00028741,23.97
36,2,2.160850,0.999700,2.065245,0.997602,0.00028640,24.14
37,2,2.151714,0.999850,2.051902,0.997602,0.00028535,24.08
38,2,2.146843,0.999850,2.054747,0.995204,0.00028426,23.95
39,2,2.144557,0.999850,2.053578,0.997602,0.00028314,24.24
40,2,2.141876,1.000000,2.053209,0.995204,0.00028198,23.98
41,2,2.133243,1.000000,2.040916,0.998801,0.00028079,24.21
42,2,2.130205,1.000000,2.039717,0.997602,0.00027956,24.08
43,2,2.126825,1.000000,2.037832,0.994005,0.00027829,24.17
44,2,2.122203,1.000000,2.043960,0.994005,0.00027699,24.30
45,2,2.120312,1.000000,2.039527,0.994005,0.00027566,24.10
46,2,2.116585,0.999700,2.019449,0.996403,0.00027429,24.22
47,2,2.114317,1.000000,2.021585,0.996403,0.00027288,24.08
48,2,2.114054,1.000000,2.025715,0.997602,0.00027145,24.19
49,2,2.112047,1.000000,2.021674,0.996403,0.00026998,24.15
50,2,2.105283,1.000000,2.028718,0.996403,0.00026848,24.27
51,2,2.103840,1.000000,2.018687,0.997602,0.00026694,24.25
