epoch,phase,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1,6.730153,0.001953,6.731267,0.000000,0.00006240,19.13
2,1,6.726665,0.000901,6.712050,0.002398,0.00012180,18.95
3,1,6.700515,0.003606,6.676162,0.015588,0.00018120,18.99
4,1,6.661117,0.012620,6.627066,0.039568,0.00024060,19.13
5,1,6.605473,0.034405,6.563308,0.092326,0.00030000,19.04
6,2,6.556718,0.076472,6.560414,0.091127,0.00006240,25.80
7,2,6.533234,0.076623,6.508369,0.115108,0.00012180,25.53
8,2,6.445218,0.092097,6.343688,0.163070,0.00018120,25.78
9,2,6.226754,0.095853,5.921921,0.170264,0.00024060,25.70
10,2,5.753755,0.115234,5.235622,0.232614,0.00030000,25.72
11,2,5.150950,0.201022,4.455186,0.420863,0.00029998,25.83
12,2,4.480275,0.346755,3.848766,0.564748,0.00029992,25.64
13,2,3.953910,0.504357,3.363556,0.727818,0.00029982,25.72
14,2,3.533146,0.649489,3.056606,0.812950,0.00029967,25.66
15,2,3.238961,0.731370,2.881541,0.851319,0.00029949,25.85
16,2,2.993123,0.832332,2.701097,0.904077,0.00029926,25.65
17,2,2.812463,0.881611,2.594440,0.925659,0.00029900,25.71
18,2,2.688171,0.920974,2.493950,0.956835,0.00029869,25.68
19,2,2.575427,0.947115,2.438763,0.955635,0.00029835,25.74
20,2,2.480954,0.967548,2.370939,0.965228,0.00029796,25.65
21,2,2.411107,0.978816,2.324183,0.976019,0.00029753,25.72
22,2,2.353391,0.986328,2.283851,0.971223,0.00029707,25.74
23,2,2.307258,0.991887,2.257316,0.980815,0.00029656,25.75
24,2,2.272305,0.992788,2.237794,0.988010,0.00029601,25.67
25,2,2.241748,0.996394,2.211297,0.986811,0.00029543,25.84
26,2,2.212565,0.996695,2.184873,0.985612,0.00029480,25.74
27,2,2.187466,0.996995,2.167628,0.988010,0.00029413,25.71
28,2,2.167384,0.998498,2.154100,0.992806,0.00029343,25.75
29,2,2.151875,0.998498,2.136542,0.989209,0.00029268,25.72
30,2,2.133461,0.998948,2.128387,0.989209,0.00029190,25.71
31,2,2.121496,0.999099,2.118199,0.991607,0.00029108,25.76
32,2,2.105729,0.999549,2.112243,0.994005,0.00029022,25.70
33,2,2.097657,0.999549,2.100154,0.992806,0.00028932,25.68
34,2,2.086929,0.999549,2.098419,0.996403,0.00028838,25.82
35,2,2.077308,0.999850,2.083213,0.995204,0.00028741,25.91
36,2,2.068393,0.999700,2.080455,0.994005,0.00028640,25.74
37,2,2.060197,0.999700,2.071897,0.994005,0.00028535,25.75
38,2,2.056055,0.999549,2.066203,0.994005,0.00028426,25.61
39,2,2.046171,0.999700,2.055226,0.996403,0.00028314,25.80
40,2,2.040828,0.999850,2.056676,0.996403,0.00028198,25.94
41,2,2.032779,1.000000,2.053071,0.996403,0.00028079,25.78
42,2,2.026142,1.000000,2.052081,0.997602,0.00027956,25.98
43,2,2.025151,1.000000,2.048572,0.997602,0.00027829,25.59
44,2,2.020100,1.000000,2.044097,0.996403,0.00027699,25.76
45,2,2.015102,0.999700,2.039978,0.997602,0.00027566,25.87
46,2,2.014531,1.000000,2.034009,0.998801,0.00027429,25.75
47,2,2.008041,1.000000,2.030718,0.997602,0.00027288,25.83
48,2,2.005277,1.000000,2.030249,0.997602,0.00027145,25.79
49,2,2.001531,1.000000,2.021942,0.997602,0.00026998,25.83
50,2,1.997383,1.000000,2.024975,0.997602,0.00026848,25.75
51,2,1.995257,0.999850,2.022029,0.997602,0.00026694,25.77
52,2,1.991242,1.000000,2.018604,0.997602,0.00026538,25.82
53,2,1.991545,0.999700,2.017642,0.997602,0.00026378,25.81
54,2,1.989843,1.000000,2.013367,0.997602,0.00026215,25.70
55,2,1.985286,1.000000,2.014608,0.998801,0.00026049,25.68
56,2,1.983001,1.000000,2.011049,0.997602,0.00025880,25.83
57,2,1.979864,1.000000,2.008023,0.997602,0.00025708,25.85
58,2,1.977409,1.000000,2.007141,0.997602,0.00025533,25.66
59,2,1.978476,1.000000,2.006546,0.997602,0.00025356,25.62
60,2,1.975483,0.999850,2.003923,0.998801,0.00025175,25.77
61,2,1.971534,0.999850,2.002560,0.997602,0.00024992,25.65
62,2,1.971053,1.000000,2.002208,0.998801,0.00024806,25.77
63,2,1.969250,1.000000,1.999851,0.998801,0.00024618,25.79
64,2,1.966797,1.000000,2.000235,0.998801,0.00024426,25.82
65,2,1.967189,1.000000,2.001235,0.998801,0.00024232,25.80
66,2,1.966794,1.000000,1.993517,0.998801,0.00024036,25.79
67,2,1.964579,1.000000,1.993610,0.998801,0.00023837,25.92
68,2,1.963224,1.000000,1.996410,0.998801,0.00023636,25.60
69,2,1.961634,1.000000,1.993372,0.997602,0.00023433,25.79
70,2,1.960692,1.000000,1.992022,0.998801,0.00023227,25.82
71,2,1.960206,1.000000,1.993404,0.998801,0.00023019,25.64
72,2,1.957482,1.000000,1.991730,0.998801,0.00022809,25.71
73,2,1.956604,1.000000,1.993661,0.998801,0.00022596,25.82
74,2,1.957035,1.000000,1.991956,0.998801,0.00022382,25.77
75,2,1.953889,1.000000,1.989740,0.998801,0.00022165,25.67
76,2,1.952864,1.000000,1.990548,0.998801,0.00021947,25.73
77,2,1.955206,1.000000,1.987356,0.998801,0.00021727,25.78
78,2,1.950399,0.999850,1.987992,0.998801,0.00021505,25.69
79,2,1.950976,1.000000,1.988072,0.998801,0.00021281,25.82
80,2,1.949897,1.000000,1.985781,0.998801,0.00021055,25.84
81,2,1.947265,0.999850,1.986311,0.998801,0.00020828,25.84
82,2,1.948123,1.000000,1.983042,0.998801,0.00020599,25.68
83,2,1.947554,0.999850,1.984130,0.998801,0.00020369,25.84
84,2,1.947328,1.000000,1.980733,0.998801,0.00020137,25.78
85,2,1.945626,1.000000,1.981975,0.998801,0.00019904,25.63
86,2,1.944491,1.000000,1.981414,0.998801,0.00019670,25.81
