epoch,phase,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1,6.783859,0.000901,6.744897,0.000000,0.00006240,4.67
2,1,6.751192,0.001653,6.673579,0.004796,0.00012180,4.70
3,1,6.671806,0.004958,6.570816,0.022782,0.00018120,4.59
4,1,6.562096,0.011268,6.450382,0.069544,0.00024060,4.05
5,1,6.429997,0.032452,6.299789,0.181055,0.00030000,3.95
6,2,6.309306,0.070763,6.291135,0.183453,0.00006240,6.41
7,2,6.247590,0.083383,6.154027,0.237410,0.00012180,6.10
8,2,6.065523,0.131010,5.841888,0.302158,0.00018120,6.34
9,2,5.714794,0.208083,5.321901,0.383693,0.00024060,6.27
10,2,5.187805,0.333383,4.657798,0.533573,0.00030000,6.44
11,2,4.519321,0.496244,3.901890,0.679856,0.00029998,6.41
12,2,3.790843,0.686448,3.312583,0.829736,0.00029992,6.40
13,2,3.235271,0.823017,2.929428,0.882494,0.00029982,6.16
14,2,2.847662,0.907903,2.647606,0.925659,0.00029967,6.28
15,2,2.608324,0.947266,2.484262,0.959233,0.00029949,6.17
16,2,2.455572,0.971605,2.382203,0.964029,0.00029926,6.35
17,2,2.374012,0.981370,2.326284,0.972422,0.00029900,6.27
18,2,2.310160,0.990986,2.279389,0.984412,0.00029869,6.28
19,2,2.267474,0.993089,2.237148,0.985612,0.00029835,7.18
20,2,2.229017,0.996094,2.208233,0.990408,0.00029796,8.11
21,2,2.198913,0.998347,2.188942,0.989209,0.00029753,8.21
22,2,2.173736,0.998197,2.165355,0.988010,0.00029707,8.52
23,2,2.158054,0.998948,2.157150,0.989209,0.00029656,7.33
24,2,2.141916,0.998948,2.140032,0.985612,0.00029601,6.40
25,2,2.126302,0.999549,2.120980,0.985612,0.00029543,6.29
26,2,2.114523,0.999850,2.116298,0.989209,0.00029480,6.49
27,2,2.106029,0.999399,2.107465,0.990408,0.00029413,6.69
28,2,2.095559,0.999850,2.097778,0.995204,0.00029343,6.29
29,2,2.085137,0.999850,2.091717,0.994005,0.00029268,7.20
30,2,2.078133,0.999850,2.082863,0.992806,0.00029190,6.20
31,2,2.072878,0.999700,2.077983,0.992806,0.00029108,6.35
32,2,2.063246,0.999850,2.078062,0.994005,0.00029022,6.37
33,2,2.058716,0.999700,2.074063,0.992806,0.00028932,6.65
34,2,2.053230,0.999850,2.066986,0.994005,0.00028838,6.66
35,2,2.049816,0.999700,2.062288,0.994005,0.00028741,6.30
36,2,2.045918,0.999850,2.054874,0.994005,0.00028640,6.40
37,2,2.039347,1.000000,2.052001,0.996403,0.00028535,6.34
38,2,2.036892,0.999700,2.043833,0.994005,0.00028426,6.27
39,2,2.036189,0.999850,2.046113,0.994005,0.00028314,6.24
40,2,2.028301,1.000000,2.046839,0.994005,0.00028198,6.26
41,2,2.028486,0.999850,2.042235,0.995204,0.00028079,6.22
42,2,2.023781,1.000000,2.041765,0.995204,0.00027956,6.18
43,2,2.021340,1.000000,2.037843,0.996403,0.00027829,6.39
44,2,2.020066,0.999850,2.036469,0.995204,0.00027699,6.26
45,2,2.015711,1.000000,2.030597,0.995204,0.00027566,6.57
46,2,2.012534,1.000000,2.032171,0.995204,0.00027429,6.46
47,2,2.010033,1.000000,2.029596,0.996403,0.00027288,6.57
48,2,2.011103,1.000000,2.029632,0.995204,0.00027145,6.47
49,2,2.011202,1.000000,2.028965,0.996403,0.00026998,6.44
50,2,2.005642,1.000000,2.024107,0.997602,0.00026848,6.37
51,2,2.003962,1.000000,2.018887,0.997602,0.00026694,6.34
52,2,2.001509,1.000000,2.019680,0.996403,0.00026538,6.35
53,2,2.002693,1.000000,2.023284,0.997602,0.00026378,6.17
54,2,2.002482,1.000000,2.021305,0.996403,0.00026215,6.42
55,2,2.000224,1.000000,2.008950,0.996403,0.00026049,6.32
56,2,1.997510,0.999850,2.008221,0.998801,0.00025880,6.41
57,2,1.995058,1.000000,2.008510,0.997602,0.00025708,6.45
58,2,1.993063,1.000000,2.005736,0.998801,0.00025533,6.39
59,2,1.994120,1.000000,2.005786,0.997602,0.00025356,6.34
60,2,1.990284,1.000000,2.009090,0.996403,0.00025175,6.42
61,2,1.988456,1.000000,2.005918,0.997602,0.00024992,6.86
62,2,1.988718,1.000000,2.001287,0.998801,0.00024806,8.15
63,2,1.986647,1.000000,2.002481,0.997602,0.00024618,7.78
64,2,1.986192,1.000000,2.002919,0.997602,0.00024426,8.06
65,2,1.984806,1.000000,2.002798,0.998801,0.00024232,6.67
66,2,1.983271,1.000000,2.003021,0.997602,0.00024036,6.35
67,2,1.984010,1.000000,2.000114,0.997602,0.00023837,6.55
68,2,1.980701,1.000000,2.001143,0.998801,0.00023636,6.19
69,2,1.978956,1.000000,1.998006,0.998801,0.00023433,6.16
70,2,1.980255,1.000000,1.998126,0.998801,0.00023227,6.22
71,2,1.977598,1.000000,1.994971,0.997602,0.00023019,6.16
72,2,1.978414,1.000000,1.994205,0.997602,0.00022809,6.25
73,2,1.977516,1.000000,1.990833,0.997602,0.00022596,6.38
74,2,1.975977,1.000000,1.993946,0.998801,0.00022382,6.72
75,2,1.975709,1.000000,1.992478,0.998801,0.00022165,8.13
76,2,1.974481,1.000000,1.990211,0.998801,0.00021947,8.10
77,2,1.972343,1.000000,1.992916,0.997602,0.00021727,7.97
78,2,1.972283,1.000000,1.990991,0.997602,0.00021505,7.83
79,2,1.972700,1.000000,1.991340,0.997602,0.00021281,6.36
80,2,1.972034,1.000000,1.990648,0.997602,0.00021055,6.93
