epoch,phase,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1,6.763050,0.001653,6.733882,0.002398,0.00006240,20.74
2,1,6.759809,0.001803,6.704496,0.002398,0.00012180,20.46
3,1,6.720792,0.002554,6.660342,0.011990,0.00018120,20.41
4,1,6.664047,0.006611,6.596949,0.015588,0.00024060,20.47
5,1,6.585666,0.012019,6.528023,0.046763,0.00030000,20.41
6,2,6.498433,0.028696,6.496950,0.050360,0.00006240,29.72
7,2,6.273763,0.045523,5.997233,0.112710,0.00012180,29.50
8,2,5.528182,0.145583,4.728296,0.459233,0.00018120,29.61
9,2,4.275098,0.440204,3.229138,0.791367,0.00024060,29.34
10,2,3.081153,0.784255,2.519063,0.928058,0.00030000,29.50
11,2,2.560233,0.933143,2.313102,0.968825,0.00029998,29.58
12,2,2.347582,0.978816,2.223851,0.984412,0.00029992,29.37
13,2,2.241620,0.993239,2.162000,0.986811,0.00029982,29.46
14,2,2.183314,0.996995,2.118161,0.989209,0.00029967,29.29
15,2,2.140419,0.998948,2.088970,0.995204,0.00029949,29.50
16,2,2.107087,0.999249,2.078753,0.995204,0.00029926,29.28
17,2,2.083068,0.999850,2.057250,0.992806,0.00029900,29.38
18,2,2.066978,0.999549,2.035866,0.997602,0.00029869,29.48
19,2,2.048367,1.000000,2.035972,0.997602,0.00029835,29.52
20,2,2.037324,0.999850,2.011416,0.996403,0.00029796,29.36
21,2,2.026853,1.000000,2.000770,0.998801,0.00029753,29.54
22,2,2.017433,1.000000,1.999966,0.997602,0.00029707,29.53
23,2,2.009285,1.000000,1.991027,0.998801,0.00029656,29.41
24,2,2.000601,1.000000,1.989079,0.996403,0.00029601,29.43
25,2,1.995373,0.999850,1.979720,0.998801,0.00029543,29.58
26,2,1.989593,1.000000,1.982213,0.998801,0.00029480,29.54
27,2,1.986706,1.000000,1.973902,0.997602,0.00029413,29.28
28,2,1.982256,1.000000,1.968143,0.997602,0.00029343,29.49
29,2,1.975036,1.000000,1.967866,0.997602,0.00029268,29.47
30,2,1.973118,1.000000,1.963154,0.997602,0.00029190,29.42
31,2,1.968214,1.000000,1.955487,0.998801,0.00029108,29.40
32,2,1.966583,1.000000,1.955217,0.998801,0.00029022,29.55
33,2,1.963488,1.000000,1.946564,0.997602,0.00028932,29.52
34,2,1.959529,1.000000,1.951586,0.998801,0.00028838,29.47
35,2,1.956902,1.000000,1.946108,0.998801,0.00028741,29.59
36,2,1.952827,1.000000,1.942520,0.998801,0.00028640,29.34
37,2,1.951731,0.999850,1.940218,0.997602,0.00028535,29.45
38,2,1.952015,1.000000,1.934227,0.998801,0.00028426,29.51
39,2,1.945661,0.999850,1.938892,0.997602,0.00028314,29.70
40,2,1.944941,1.000000,1.933349,0.997602,0.00028198,29.35
41,2,1.944637,1.000000,1.934142,0.998801,0.00028079,29.61
42,2,1.942126,1.000000,1.928993,0.998801,0.00027956,29.29
43,2,1.940531,1.000000,1.928783,0.998801,0.00027829,29.43
44,2,1.938644,1.000000,1.930655,0.998801,0.00027699,29.41
45,2,1.938523,1.000000,1.919850,0.998801,0.00027566,29.32
46,2,1.935460,1.000000,1.923479,0.998801,0.00027429,29.45
47,2,1.933834,1.000000,1.923157,0.997602,0.00027288,29.45
48,2,1.931056,1.000000,1.920185,0.998801,0.00027145,29.56
49,2,1.930912,1.000000,1.923449,0.998801,0.00026998,29.57
50,2,1.930012,1.000000,1.921758,0.998801,0.00026848,29.44
51,2,1.928193,1.000000,1.918051,0.998801,0.00026694,29.44
52,2,1.927194,1.000000,1.915958,0.998801,0.00026538,29.36
53,2,1.924638,1.000000,1.915446,0.998801,0.00026378,29.47
54,2,1.923936,1.000000,1.912146,0.998801,0.00026215,29.59
55,2,1.927015,1.000000,1.910586,0.998801,0.00026049,29.53
56,2,1.922503,1.000000,1.912119,0.997602,0.00025880,29.59
57,2,1.921151,1.000000,1.907244,0.998801,0.00025708,29.17
58,2,1.919663,1.000000,1.906430,0.998801,0.00025533,29.56
59,2,1.919740,1.000000,1.908406,0.998801,0.00025356,29.28
60,2,1.917866,1.000000,1.904992,0.998801,0.00025175,29.43
61,2,1.917716,1.000000,1.906188,0.998801,0.00024992,29.45
62,2,1.916638,1.000000,1.899512,0.998801,0.00024806,29.53
63,2,1.916392,1.000000,1.907731,0.998801,0.00024618,29.48
64,2,1.915610,1.000000,1.904365,0.998801,0.00024426,29.39
65,2,1.913796,1.000000,1.902527,0.998801,0.00024232,29.38
66,2,1.913046,1.000000,1.900444,0.998801,0.00024036,29.41
67,2,1.911976,1.000000,1.901174,0.998801,0.00023837,29.46
68,2,1.913134,1.000000,1.900841,0.998801,0.00023636,29.58
69,2,1.912354,1.000000,1.900395,0.997602,0.00023433,29.39
70,2,1.910725,1.000000,1.902335,0.997602,0.00023227,29.32
71,2,1.909759,1.000000,1.896460,0.997602,0.00023019,29.39
72,2,1.909294,1.000000,1.901065,0.997602,0.00022809,29.60
73,2,1.908063,1.000000,1.899158,0.998801,0.00022596,29.41
74,2,1.907896,1.000000,1.899160,0.998801,0.00022382,29.45
75,2,1.907673,1.000000,1.895524,0.998801,0.00022165,29.47
76,2,1.906020,1.000000,1.891289,0.998801,0.00021947,29.41
77,2,1.905052,1.000000,1.895734,0.998801,0.00021727,29.43
78,2,1.904747,1.000000,1.896873,0.997602,0.00021505,29.47
79,2,1.904919,1.000000,1.892779,0.998801,0.00021281,29.39
80,2,1.904744,1.000000,1.893379,0.998801,0.00021055,29.48
81,2,1.904166,1.000000,1.893624,0.998801,0.00020828,29.54
82,2,1.902033,1.000000,1.890694,0.998801,0.00020599,29.41
83,2,1.902337,1.000000,1.888203,0.998801,0.00020369,29.41
84,2,1.901831,1.000000,1.891368,0.998801,0.00020137,29.52
85,2,1.901607,1.000000,1.889673,0.998801,0.00019904,29.49
86,2,1.900377,1.000000,1.889257,0.998801,0.00019670,29.55
87,2,1.900832,1.000000,1.887810,0.998801,0.00019434,29.46
88,2,1.900093,1.000000,1.886181,0.998801,0.00019197,29.53
89,2,1.898606,1.000000,1.887402,0.998801,0.00018959,29.60
90,2,1.899130,1.000000,1.887633,0.998801,0.00018720,29.32
91,2,1.898775,1.000000,1.890357,0.998801,0.00018480,29.53
92,2,1.897627,1.000000,1.886526,0.998801,0.00018239,29.66
93,2,1.897001,1.000000,1.887124,0.998801,0.00017997,29.45
94,2,1.896090,1.000000,1.886140,0.998801,0.00017754,29.59
95,2,1.897565,1.000000,1.884209,0.998801,0.00017511,29.37
96,2,1.896218,1.000000,1.884050,0.998801,0.00017267,29.57
97,2,1.895520,1.000000,1.882854,0.998801,0.00017022,29.53
98,2,1.894666,1.000000,1.882931,0.998801,0.00016776,29.59
99,2,1.894128,1.000000,1.880803,0.998801,0.00016531,29.35
100,2,1.893917,1.000000,1.882875,0.998801,0.00016285,29.60
101,2,1.893315,1.000000,1.880722,0.998801,0.00016038,29.46
102,2,1.893485,1.000000,1.880193,0.998801,0.00015791,29.38
103,2,1.892927,1.000000,1.880182,0.998801,0.00015544,29.58
104,2,1.892084,1.000000,1.881150,0.998801,0.00015297,29.49
105,2,1.891523,1.000000,1.880658,0.998801,0.00015050,29.50
106,2,1.892095,1.000000,1.881380,0.998801,0.00014803,29.42
107,2,1.891802,1.000000,1.880566,0.998801,0.00014556,29.58
108,2,1.891500,1.000000,1.878584,1.000000,0.00014309,29.52
109,2,1.891197,1.000000,1.878428,0.998801,0.00014062,29.42
110,2,1.890331,1.000000,1.878173,0.998801,0.00013815,29.67
111,2,1.890358,1.000000,1.875788,0.998801,0.00013569,29.45
112,2,1.890074,1.000000,1.879709,0.998801,0.00013324,29.51
113,2,1.890363,1.000000,1.876822,0.998801,0.00013078,29.47
