epoch,phase,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1,6.736037,0.001052,6.729234,0.000000,0.00006240,8.13
2,1,6.704985,0.003305,6.649695,0.007194,0.00012180,7.57
3,1,6.614767,0.017278,6.522670,0.051559,0.00018120,7.36
4,1,6.498952,0.047776,6.377256,0.109113,0.00024060,8.01
5,1,6.367106,0.086689,6.217196,0.148681,0.00030000,7.83
6,2,6.280905,0.123047,6.196483,0.153477,0.00006240,18.48
7,2,6.070870,0.150090,5.799639,0.165468,0.00012180,18.30
8,2,5.463196,0.238431,5.012604,0.323741,0.00018120,17.36
9,2,4.712810,0.379507,4.247241,0.502398,0.00024060,18.17
10,2,4.063753,0.526442,3.642184,0.664269,0.00030000,18.22
11,2,3.564733,0.657452,3.238749,0.776978,0.00029998,18.04
12,2,3.182126,0.777494,2.957264,0.846523,0.00029992,16.62
13,2,2.927471,0.852314,2.775209,0.888489,0.00029982,18.35
14,2,2.750273,0.904147,2.638583,0.911271,0.00029967,18.62
15,2,2.620524,0.937500,2.539384,0.936451,0.00029949,16.96
16,2,2.520263,0.960036,2.468285,0.953237,0.00029926,18.67
17,2,2.446403,0.975210,2.413223,0.952038,0.00029900,18.52
18,2,2.387142,0.980769,2.376507,0.960432,0.00029869,16.73
19,2,2.341742,0.987981,2.333749,0.962830,0.00029835,18.02
20,2,2.302763,0.992788,2.300303,0.966427,0.00029796,18.92
21,2,2.271882,0.994291,2.282023,0.968825,0.00029753,18.08
22,2,2.247673,0.995192,2.254062,0.974820,0.00029707,17.03
23,2,2.218696,0.998197,2.236131,0.979616,0.00029656,18.18
24,2,2.198814,0.998798,2.225570,0.977218,0.00029601,17.92
25,2,2.178996,0.998798,2.201977,0.980815,0.00029543,17.48
26,2,2.162070,0.998498,2.198758,0.978417,0.00029480,18.20
27,2,2.150854,0.999399,2.188134,0.977218,0.00029413,18.11
28,2,2.137032,0.999249,2.182092,0.982014,0.00029343,16.65
29,2,2.126900,0.999549,2.181108,0.980815,0.00029268,17.67
30,2,2.120155,1.000000,2.163581,0.986811,0.00029190,18.65
31,2,2.107216,0.999850,2.146039,0.985612,0.00029108,18.52
32,2,2.101471,0.999399,2.149376,0.986811,0.00029022,17.31
