epoch,phase,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1,9.618244,0.001653,6.746024,0.001199,0.00006240,19.48
2,1,9.559803,0.001653,6.704331,0.004796,0.00012180,19.03
3,1,9.359292,0.002554,6.654461,0.010791,0.00018120,19.06
4,1,9.126909,0.001953,6.594344,0.020384,0.00024060,18.84
5,1,8.834182,0.005258,6.528525,0.043165,0.00030000,18.98
6,2,8.557019,0.010667,6.514480,0.045564,0.00006240,26.75
7,2,8.384310,0.018780,6.286792,0.143885,0.00012180,26.55
8,2,7.906638,0.056040,5.834461,0.255396,0.00018120,26.65
9,2,7.155321,0.140625,5.039525,0.443645,0.00024060,26.45
10,2,6.073474,0.337290,4.035136,0.696643,0.00030000,26.70
11,2,4.973654,0.593149,3.130979,0.826139,0.00029998,26.29
12,2,4.133689,0.808594,2.631677,0.924460,0.00029992,26.64
13,2,3.646401,0.916767,2.385835,0.959233,0.00029982,26.77
14,2,3.410688,0.961989,2.291574,0.971223,0.00029967,26.48
15,2,3.288380,0.977464,2.229888,0.980815,0.00029949,26.54
16,2,3.208905,0.990986,2.194617,0.979616,0.00029926,26.81
17,2,3.161742,0.993239,2.171658,0.985612,0.00029900,26.37
18,2,3.129104,0.995343,2.141191,0.994005,0.00029869,26.67
19,2,3.089684,0.997596,2.108141,0.992806,0.00029835,26.87
20,2,3.065523,0.997596,2.104786,0.994005,0.00029796,26.38
21,2,3.050077,0.998498,2.100219,0.995204,0.00029753,26.40
22,2,3.023001,0.998948,2.091063,0.989209,0.00029707,26.33
23,2,3.012175,0.998948,2.081628,0.991607,0.00029656,26.74
24,2,3.000080,0.999249,2.076575,0.995204,0.00029601,26.92
25,2,2.992123,0.998798,2.073419,0.995204,0.00029543,26.52
26,2,2.975820,0.999249,2.075487,0.992806,0.00029480,26.76
27,2,2.970688,0.999549,2.053110,0.996403,0.00029413,26.65
28,2,2.952291,0.999549,2.045012,0.997602,0.00029343,26.68
29,2,2.946389,0.999700,2.058165,0.997602,0.00029268,26.56
30,2,2.942730,0.999850,2.042032,0.995204,0.00029190,26.58
31,2,2.932556,0.999850,2.035803,0.996403,0.00029108,26.52
32,2,2.924081,0.999549,2.032799,0.996403,0.00029022,26.75
33,2,2.920046,0.999850,2.033708,0.996403,0.00028932,26.68
34,2,2.911989,1.000000,2.018577,0.997602,0.00028838,26.71
35,2,2.910744,1.000000,2.021925,0.995204,0.00028741,26.79
36,2,2.899851,1.000000,2.014196,0.995204,0.00028640,26.70
37,2,2.898810,0.999700,2.012551,0.995204,0.00028535,26.66
38,2,2.894361,1.000000,2.016586,0.996403,0.00028426,26.40
39,2,2.887297,0.999549,2.005594,0.996403,0.00028314,26.21
40,2,2.881320,1.000000,2.006412,0.997602,0.00028198,26.55
41,2,2.880906,0.999850,2.007520,0.996403,0.00028079,26.70
42,2,2.873989,0.999700,2.006915,0.995204,0.00027956,26.70
43,2,2.872955,1.000000,2.002579,0.997602,0.00027829,26.59
44,2,2.867283,0.999850,2.002663,0.996403,0.00027699,26.61
45,2,2.862260,1.000000,2.009153,0.997602,0.00027566,26.54
46,2,2.863700,1.000000,2.002599,0.996403,0.00027429,26.30
47,2,2.858498,1.000000,1.996211,0.997602,0.00027288,26.44
48,2,2.853935,1.000000,1.988634,0.997602,0.00027145,26.63
49,2,2.849391,1.000000,1.994996,0.997602,0.00026998,26.34
50,2,2.844777,1.000000,1.989005,0.998801,0.00026848,26.55
51,2,2.846115,1.000000,1.977559,0.998801,0.00026694,26.70
52,2,2.840087,1.000000,1.982324,0.998801,0.00026538,26.81
53,2,2.834808,0.999850,1.990146,0.997602,0.00026378,26.52
54,2,2.836193,1.000000,1.977854,0.998801,0.00026215,26.67
55,2,2.827843,1.000000,1.972421,0.998801,0.00026049,26.57
56,2,2.830011,1.000000,1.978879,0.997602,0.00025880,26.82
57,2,2.825873,1.000000,1.955316,0.998801,0.00025708,26.89
58,2,2.825877,1.000000,1.969484,0.998801,0.00025533,26.78
59,2,2.820095,1.000000,1.972627,0.997602,0.00025356,26.60
60,2,2.821286,1.000000,1.978155,0.998801,0.00025175,26.67
61,2,2.814384,1.000000,1.970064,1.000000,0.00024992,26.77
62,2,2.814484,1.000000,1.963514,0.996403,0.00024806,26.64
63,2,2.811981,1.000000,1.959189,1.000000,0.00024618,26.42
64,2,2.811174,1.000000,1.962826,0.998801,0.00024426,26.62
65,2,2.806203,1.000000,1.963439,0.997602,0.00024232,26.69
66,2,2.805303,1.000000,1.964593,0.997602,0.00024036,26.65
67,2,2.802815,1.000000,1.963796,0.997602,0.00023837,26.94
68,2,2.804078,1.000000,1.954908,0.997602,0.00023636,26.55
69,2,2.797846,1.000000,1.967629,1.000000,0.00023433,26.59
70,2,2.794278,1.000000,1.961790,0.998801,0.00023227,26.66
71,2,2.794839,1.000000,1.959124,0.998801,0.00023019,26.66
72,2,2.793123,1.000000,1.952913,0.997602,0.00022809,26.67
73,2,2.789288,1.000000,1.955537,0.998801,0.00022596,26.67
74,2,2.789145,1.000000,1.948863,0.997602,0.00022382,26.70
75,2,2.786253,1.000000,1.949985,0.997602,0.00022165,26.66
76,2,2.783887,1.000000,1.950613,0.998801,0.00021947,26.64
77,2,2.782710,1.000000,1.950072,0.997602,0.00021727,26.53
78,2,2.780828,1.000000,1.946271,1.000000,0.00021505,27.10
79,2,2.780160,1.000000,1.949258,0.998801,0.00021281,26.37
80,2,2.776548,1.000000,1.954122,0.996403,0.00021055,26.79
81,2,2.777224,1.000000,1.944761,0.998801,0.00020828,26.92
82,2,2.775133,1.000000,1.946143,0.997602,0.00020599,26.95
83,2,2.774268,1.000000,1.943781,0.996403,0.00020369,26.70
84,2,2.769245,1.000000,1.941696,1.000000,0.00020137,26.66
85,2,2.768784,1.000000,1.945700,0.998801,0.00019904,26.62
86,2,2.769109,1.000000,1.939081,1.000000,0.00019670,26.48
87,2,2.768649,1.000000,1.944391,0.998801,0.00019434,26.73
88,2,2.765904,1.000000,1.942006,1.000000,0.00019197,26.76
89,2,2.764521,1.000000,1.940131,1.000000,0.00018959,26.77
90,2,2.763406,1.000000,1.941726,0.998801,0.00018720,26.74
91,2,2.760587,1.000000,1.939962,1.000000,0.00018480,26.43
92,2,2.759680,1.000000,1.937139,1.000000,0.00018239,26.71
93,2,2.759610,1.000000,1.931696,1.000000,0.00017997,26.67
94,2,2.755959,1.000000,1.935789,0.998801,0.00017754,26.52
95,2,2.758641,1.000000,1.936054,1.000000,0.00017511,26.41
96,2,2.754817,1.000000,1.931873,1.000000,0.00017267,26.60
97,2,2.755737,1.000000,1.936921,1.000000,0.00017022,26.78
98,2,2.752988,1.000000,1.927358,0.998801,0.00016776,26.71
99,2,2.750618,1.000000,1.928974,1.000000,0.00016531,26.55
