epoch,phase,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1,6.770303,0.001052,6.794198,0.001199,0.00006240,5.15
2,1,6.744327,0.001953,6.722399,0.001199,0.00012180,4.53
3,1,6.654317,0.006460,6.577948,0.014388,0.00018120,4.81
4,1,6.485206,0.021785,6.265637,0.059952,0.00024060,4.48
5,1,6.199734,0.054838,5.781711,0.171463,0.00030000,4.78
6,2,5.931057,0.104718,5.758677,0.182254,0.00006240,6.85
7,2,5.767662,0.134014,5.382421,0.276978,0.00012180,7.04
8,2,5.373790,0.179237,4.786234,0.412470,0.00018120,7.48
9,2,4.810720,0.295974,4.180172,0.545564,0.00024060,6.16
10,2,4.226440,0.437650,3.598957,0.683453,0.00030000,6.78
11,2,3.638623,0.624399,3.139893,0.799760,0.00029998,6.69
12,2,3.177266,0.776142,2.867406,0.868106,0.00029992,6.69
13,2,2.865784,0.868239,2.656105,0.911271,0.00029982,6.63
14,2,2.662641,0.926082,2.547897,0.935252,0.00029967,7.09
15,2,2.533446,0.955980,2.471330,0.948441,0.00029949,7.21
16,2,2.441411,0.975210,2.405762,0.956835,0.00029926,6.73
17,2,2.368433,0.985427,2.361386,0.971223,0.00029900,6.15
18,2,2.319473,0.991136,2.309614,0.968825,0.00029869,6.59
19,2,2.280552,0.993540,2.282299,0.976019,0.00029835,8.36
20,2,2.239919,0.997296,2.260376,0.978417,0.00029796,8.63
21,2,2.217172,0.996695,2.235444,0.980815,0.00029753,8.57
22,2,2.194551,0.998197,2.226789,0.983213,0.00029707,8.46
23,2,2.173733,0.998197,2.204539,0.990408,0.00029656,6.27
24,2,2.158353,0.998498,2.187681,0.983213,0.00029601,6.22
25,2,2.142981,0.999399,2.176487,0.988010,0.00029543,6.04
26,2,2.129886,0.999549,2.176974,0.990408,0.00029480,6.33
27,2,2.119117,0.999249,2.165103,0.990408,0.00029413,6.04
28,2,2.105087,1.000000,2.157289,0.988010,0.00029343,6.42
29,2,2.101390,0.999700,2.154468,0.991607,0.00029268,6.45
30,2,2.089253,0.999700,2.166336,0.990408,0.00029190,6.11
31,2,2.081951,0.999850,2.133098,0.992806,0.00029108,6.08
32,2,2.076004,1.000000,2.142505,0.994005,0.00029022,6.17
33,2,2.072679,0.999850,2.140467,0.994005,0.00028932,6.45
34,2,2.066707,0.999700,2.120251,0.995204,0.00028838,6.38
35,2,2.062344,0.999700,2.114613,0.994005,0.00028741,6.58
36,2,2.056191,1.000000,2.127854,0.992806,0.00028640,6.20
37,2,2.052574,0.999700,2.107336,0.994005,0.00028535,7.26
38,2,2.047761,1.000000,2.114928,0.992806,0.00028426,8.40
39,2,2.042123,1.000000,2.109145,0.990408,0.00028314,8.41
40,2,2.039840,1.000000,2.105697,0.995204,0.00028198,8.62
41,2,2.035685,0.999850,2.111983,0.992806,0.00028079,7.39
42,2,2.033466,0.999850,2.099234,0.992806,0.00027956,6.09
43,2,2.029732,1.000000,2.096040,0.991607,0.00027829,8.82
44,2,2.029609,1.000000,2.095501,0.994005,0.00027699,8.64
45,2,2.027413,1.000000,2.095872,0.994005,0.00027566,8.73
46,2,2.022321,1.000000,2.093426,0.995204,0.00027429,8.55
47,2,2.022649,1.000000,2.092691,0.994005,0.00027288,6.87
48,2,2.014990,1.000000,2.083570,0.991607,0.00027145,6.52
49,2,2.014960,0.999850,2.086640,0.995204,0.00026998,6.13
50,2,2.013675,1.000000,2.083554,0.996403,0.00026848,6.44
51,2,2.012017,1.000000,2.077376,0.994005,0.00026694,6.29
52,2,2.009984,0.999850,2.083842,0.995204,0.00026538,6.15
53,2,2.011244,1.000000,2.076901,0.994005,0.00026378,6.06
54,2,2.008535,0.999850,2.074722,0.996403,0.00026215,6.14
55,2,2.004424,1.000000,2.082022,0.992806,0.00026049,6.36
56,2,2.002919,1.000000,2.082855,0.995204,0.00025880,6.45
57,2,2.000807,1.000000,2.068241,0.995204,0.00025708,5.93
58,2,2.003573,1.000000,2.078452,0.995204,0.00025533,6.30
59,2,1.999018,1.000000,2.059975,0.995204,0.00025356,6.23
60,2,1.998760,1.000000,2.070464,0.992806,0.00025175,6.09
61,2,1.997395,1.000000,2.063798,0.994005,0.00024992,5.76
62,2,1.997833,1.000000,2.068019,0.994005,0.00024806,6.01
63,2,1.994553,1.000000,2.061525,0.995204,0.00024618,6.08
64,2,1.994128,1.000000,2.065205,0.995204,0.00024426,6.52
65,2,1.992302,1.000000,2.062300,0.996403,0.00024232,6.24
66,2,1.990674,0.999850,2.066514,0.998801,0.00024036,6.30
67,2,1.988743,1.000000,2.071199,0.995204,0.00023837,6.01
68,2,1.989012,1.000000,2.070962,0.996403,0.00023636,6.14
69,2,1.985578,1.000000,2.062501,0.995204,0.00023433,6.87
70,2,1.986819,1.000000,2.069018,0.995204,0.00023227,5.77
71,2,1.985976,1.000000,2.062592,0.995204,0.00023019,6.24
72,2,1.982042,1.000000,2.069692,0.996403,0.00022809,6.14
73,2,1.982400,1.000000,2.066713,0.995204,0.00022596,6.32
74,2,1.981699,1.000000,2.053363,0.996403,0.00022382,6.46
75,2,1.981277,1.000000,2.059233,0.995204,0.00022165,6.25
76,2,1.979447,1.000000,2.053776,0.997602,0.00021947,6.07
77,2,1.979371,1.000000,2.056748,0.996403,0.00021727,5.84
78,2,1.980553,1.000000,2.052981,0.996403,0.00021505,5.90
79,2,1.980003,1.000000,2.049897,0.997602,0.00021281,6.16
80,2,1.976958,1.000000,2.049693,0.998801,0.00021055,6.18
81,2,1.976084,1.000000,2.045299,0.998801,0.00020828,5.98
82,2,1.973085,1.000000,2.043796,0.996403,0.00020599,6.15
83,2,1.974283,1.000000,2.045332,0.998801,0.00020369,6.07
84,2,1.974933,1.000000,2.048733,0.997602,0.00020137,5.86
85,2,1.971717,1.000000,2.044147,0.996403,0.00019904,6.25
86,2,1.971356,1.000000,2.052795,0.998801,0.00019670,6.13
87,2,1.970809,1.000000,2.046030,0.996403,0.00019434,6.19
88,2,1.970761,1.000000,2.042819,0.997602,0.00019197,6.05
89,2,1.969631,1.000000,2.049643,0.997602,0.00018959,6.10
90,2,1.969414,1.000000,2.044286,0.996403,0.00018720,6.36
91,2,1.968574,1.000000,2.041719,0.997602,0.00018480,5.90
92,2,1.967273,1.000000,2.041936,0.997602,0.00018239,5.91
93,2,1.966121,1.000000,2.040226,0.997602,0.00017997,6.01
94,2,1.966844,1.000000,2.038626,0.996403,0.00017754,6.13
95,2,1.966515,1.000000,2.042509,0.996403,0.00017511,5.98
96,2,1.964500,1.000000,2.036493,0.997602,0.00017267,6.36
97,2,1.967251,1.000000,2.043395,0.997602,0.00017022,5.92
98,2,1.965072,1.000000,2.035791,0.997602,0.00016776,6.11
99,2,1.961872,1.000000,2.037745,0.996403,0.00016531,6.04
100,2,1.965516,1.000000,2.029548,0.997602,0.00016285,6.17
101,2,1.962067,1.000000,2.034652,0.997602,0.00016038,6.13
102,2,1.963704,1.000000,2.041864,0.998801,0.00015791,6.03
103,2,1.959671,1.000000,2.043081,0.997602,0.00015544,6.31
104,2,1.960522,1.000000,2.042196,0.997602,0.00015297,6.17
105,2,1.959877,1.000000,2.040004,0.996403,0.00015050,6.26
106,2,1.959345,1.000000,2.035574,0.995204,0.00014803,6.01
107,2,1.959218,1.000000,2.038685,0.997602,0.00014556,6.25
108,2,1.958282,1.000000,2.038869,0.998801,0.00014309,6.27
109,2,1.958427,1.000000,2.041933,0.997602,0.00014062,6.29
110,2,1.957649,1.000000,2.037432,0.997602,0.00013815,6.03
111,2,1.956246,1.000000,2.028802,0.998801,0.00013569,6.21
112,2,1.956111,1.000000,2.032699,0.998801,0.00013324,6.07
113,2,1.956023,1.000000,2.036761,0.998801,0.00013078,6.21
114,2,1.955829,1.000000,2.037176,0.998801,0.00012833,6.06
115,2,1.954914,1.000000,2.028607,0.998801,0.00012589,6.12
116,2,1.953912,1.000000,2.031816,0.998801,0.00012346,6.28
117,2,1.953640,1.000000,2.033769,0.997602,0.00012103,5.95
118,2,1.954193,1.000000,2.037518,0.998801,0.00011861,5.94
119,2,1.953288,1.000000,2.030953,0.998801,0.00011620,6.14
120,2,1.951649,1.000000,2.029165,0.998801,0.00011380,6.32
121,2,1.951277,1.000000,2.030783,0.998801,0.00011141,5.89
122,2,1.951182,1.000000,2.026864,0.998801,0.00010903,6.17
123,2,1.951401,1.000000,2.027698,0.998801,0.00010666,5.87
124,2,1.952157,1.000000,2.022697,0.997602,0.00010430,6.06
125,2,1.950052,1.000000,2.028245,0.996403,0.00010196,5.97
126,2,1.950992,1.000000,2.026679,0.998801,0.00009963,6.16
127,2,1.948207,1.000000,2.030278,0.998801,0.00009731,6.16
128,2,1.948860,1.000000,2.029454,0.998801,0.00009501,6.06
129,2,1.949822,1.000000,2.023176,0.998801,0.00009272,5.97
130,2,1.947290,1.000000,2.023810,0.998801,0.00009045,6.12
131,2,1.948034,1.000000,2.024500,0.998801,0.00008819,6.12
132,2,1.947508,1.000000,2.027217,0.998801,0.00008595,5.80
133,2,1.946623,1.000000,2.026388,0.997602,0.00008373,6.23
134,2,1.947111,1.000000,2.022703,0.997602,0.00008153,6.17
135,2,1.945348,1.000000,2.023557,0.998801,0.00007935,6.63
136,2,1.945094,1.000000,2.030591,0.998801,0.00007718,6.30
137,2,1.946180,1.000000,2.024242,0.998801,0.00007504,6.11
138,2,1.946002,1.000000,2.022728,0.998801,0.00007291,6.05
139,2,1.946174,1.000000,2.026148,0.998801,0.00007081,5.80
140,2,1.945516,1.000000,2.025346,0.998801,0.00006873,6.30
141,2,1.943513,1.000000,2.023183,0.997602,0.00006667,5.89
142,2,1.944121,1.000000,2.021099,0.998801,0.00006464,6.03
143,2,1.943178,1.000000,2.022901,0.998801,0.00006263,6.21
144,2,1.943989,1.000000,2.025779,0.998801,0.00006064,6.08
145,2,1.943022,1.000000,2.020027,0.998801,0.00005868,6.02
146,2,1.942915,1.000000,2.020186,0.998801,0.00005674,6.46
147,2,1.942221,1.000000,2.018887,0.998801,0.00005482,6.03
148,2,1.943188,1.000000,2.020399,0.998801,0.00005294,6.05
149,2,1.943075,1.000000,2.020822,0.998801,0.00005108,5.78
150,2,1.941543,1.000000,2.020532,0.998801,0.00004925,6.16
151,2,1.941768,1.000000,2.020731,0.998801,0.00004744,6.21
152,2,1.942093,1.000000,2.019010,0.998801,0.00004567,6.45
153,2,1.942310,1.000000,2.020517,0.998801,0.00004392,6.22
154,2,1.941712,1.000000,2.023559,0.998801,0.00004220,6.07
155,2,1.940493,1.000000,2.021359,0.998801,0.00004051,5.80
156,2,1.940210,1.000000,2.022780,0.998801,0.00003885,5.93
157,2,1.941704,1.000000,2.020118,0.998801,0.00003722,6.34
158,2,1.941384,1.000000,2.019453,0.998801,0.00003562,6.14
159,2,1.940665,1.000000,2.018433,0.998801,0.00003406,6.12
160,2,1.939957,1.000000,2.020191,0.998801,0.00003252,6.18
161,2,1.940845,1.000000,2.021070,0.998801,0.00003102,6.03
162,2,1.939685,1.000000,2.021981,0.998801,0.00002955,6.09
163,2,1.938894,1.000000,2.020670,0.998801,0.00002812,5.85
164,2,1.939726,1.000000,2.019779,0.998801,0.00002671,6.20
165,2,1.940319,1.000000,2.019389,0.998801,0.00002534,6.37
166,2,1.937993,1.000000,2.020376,0.998801,0.00002401,6.32
167,2,1.939745,1.000000,2.019317,0.998801,0.00002271,6.40
168,2,1.939111,1.000000,2.019559,0.998801,0.00002144,5.94
169,2,1.937691,1.000000,2.018741,0.998801,0.00002021,6.06
170,2,1.938650,1.000000,2.017967,0.998801,0.00001902,6.07
171,2,1.938006,1.000000,2.018988,0.998801,0.00001786,6.55
172,2,1.938122,1.000000,2.017862,0.998801,0.00001674,6.49
173,2,1.937378,1.000000,2.018971,0.998801,0.00001565,6.05
174,2,1.938269,1.000000,2.018755,0.998801,0.00001460,6.13
175,2,1.939223,0.999850,2.019500,0.998801,0.00001359,6.19
176,2,1.937859,1.000000,2.018287,0.998801,0.00001262,6.08
177,2,1.937292,1.000000,2.019613,0.998801,0.00001168,6.05
178,2,1.937881,1.000000,2.017231,0.998801,0.00001078,6.00
179,2,1.938312,1.000000,2.017804,0.998801,0.00000992,5.98
180,2,1.937025,1.000000,2.017497,0.998801,0.00000910,6.24
181,2,1.937506,1.000000,2.018038,0.998801,0.00000832,7.84
182,2,1.937588,1.000000,2.017777,0.998801,0.00000757,8.51
183,2,1.937647,1.000000,2.017967,0.998801,0.00000687,8.74
184,2,1.936471,1.000000,2.017745,0.998801,0.00000620,8.16
185,2,1.938476,1.000000,2.017165,0.998801,0.00000557,6.88
186,2,1.936129,1.000000,2.017799,0.998801,0.00000499,5.98
187,2,1.936247,1.000000,2.017900,0.998801,0.00000444,6.30
188,2,1.937034,1.000000,2.018064,0.998801,0.00000393,6.14
189,2,1.936382,1.000000,2.018566,0.998801,0.00000347,6.43
190,2,1.936488,1.000000,2.018181,0.998801,0.00000304,6.08
191,2,1.937469,1.000000,2.018395,0.998801,0.00000265,6.35
192,2,1.936461,1.000000,2.018478,0.998801,0.00000231,5.98
193,2,1.937134,1.000000,2.018507,0.998801,0.00000200,6.61
194,2,1.936438,1.000000,2.018211,0.998801,0.00000174,6.13
195,2,1.937210,1.000000,2.018129,0.998801,0.00000151,6.10
196,2,1.936871,1.000000,2.018296,0.998801,0.00000133,5.95
197,2,1.936854,1.000000,2.018135,0.998801,0.00000118,6.11
198,2,1.936235,1.000000,2.018241,0.998801,0.00000108,6.16
199,2,1.936306,1.000000,2.018130,0.998801,0.00000102,6.36
200,2,1.935794,1.000000,2.018316,0.998801,0.00000100,6.09
