epoch,phase,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1,6.755169,0.001052,6.735819,0.002398,0.00006240,23.55
2,1,6.735106,0.001653,6.659160,0.007194,0.00012180,23.14
3,1,6.639956,0.008564,6.553478,0.035971,0.00018120,23.10
4,1,6.518085,0.019531,6.428611,0.052758,0.00024060,23.07
5,1,6.361855,0.042067,6.275530,0.075540,0.00030000,23.19
6,2,6.190184,0.099459,6.247816,0.092326,0.00006240,37.89
7,2,5.824740,0.179537,5.451805,0.302158,0.00012180,37.92
8,2,4.929156,0.339694,4.121142,0.599520,0.00018120,37.77
9,2,3.722459,0.634165,3.056714,0.811751,0.00024060,37.85
10,2,2.808647,0.877103,2.530898,0.929257,0.00030000,37.87
11,2,2.432371,0.961689,2.328051,0.964029,0.00029998,37.87
12,2,2.251714,0.990685,2.229174,0.977218,0.00029992,37.87
13,2,2.165922,0.996845,2.181713,0.990408,0.00029982,37.84
14,2,2.122166,0.997897,2.134359,0.990408,0.00029967,37.77
15,2,2.088336,0.999700,2.128566,0.988010,0.00029949,37.86
16,2,2.067042,0.999399,2.103515,0.990408,0.00029926,37.90
17,2,2.048109,0.999399,2.094625,0.991607,0.00029900,37.80
18,2,2.033659,0.999850,2.078666,0.991607,0.00029869,37.69
19,2,2.026655,0.999850,2.073313,0.990408,0.00029835,37.86
20,2,2.015815,0.999850,2.062272,0.990408,0.00029796,37.79
21,2,2.009237,0.999700,2.057771,0.994005,0.00029753,37.84
22,2,2.000755,1.000000,2.051316,0.994005,0.00029707,37.79
23,2,1.995082,1.000000,2.046374,0.992806,0.00029656,37.72
24,2,1.989580,0.999850,2.042776,0.994005,0.00029601,37.91
25,2,1.982235,1.000000,2.032206,0.992806,0.00029543,38.03
26,2,1.980722,1.000000,2.039795,0.992806,0.00029480,37.90
27,2,1.976469,1.000000,2.028001,0.994005,0.00029413,37.88
28,2,1.973091,1.000000,2.028358,0.995204,0.00029343,38.07
29,2,1.969984,1.000000,2.011898,0.994005,0.00029268,37.85
30,2,1.966367,1.000000,2.016306,0.994005,0.00029190,37.91
31,2,1.963853,0.999850,2.011511,0.994005,0.00029108,37.84
32,2,1.959868,1.000000,2.001275,0.996403,0.00029022,37.99
33,2,1.957616,1.000000,2.001146,0.994005,0.00028932,37.97
34,2,1.956574,1.000000,2.000384,0.992806,0.00028838,38.07
35,2,1.952744,1.000000,1.996225,0.995204,0.00028741,37.99
36,2,1.950560,1.000000,1.999709,0.996403,0.00028640,37.68
37,2,1.948199,1.000000,1.983095,0.995204,0.00028535,37.80
38,2,1.947256,1.000000,1.984995,0.994005,0.00028426,37.84
39,2,1.944861,1.000000,1.989834,0.994005,0.00028314,37.68
40,2,1.942767,1.000000,1.989995,0.996403,0.00028198,37.62
41,2,1.941596,1.000000,1.984024,0.996403,0.00028079,37.92
42,2,1.939638,1.000000,1.985174,0.994005,0.00027956,37.96
43,2,1.937852,1.000000,1.971737,0.996403,0.00027829,38.19
44,2,1.936160,1.000000,1.975015,0.995204,0.00027699,37.92
45,2,1.935673,1.000000,1.974288,0.994005,0.00027566,37.89
46,2,1.933557,1.000000,1.977439,0.994005,0.00027429,37.79
47,2,1.934202,1.000000,1.972105,0.994005,0.00027288,37.81
48,2,1.930791,1.000000,1.979435,0.996403,0.00027145,37.72
49,2,1.930630,1.000000,1.968535,0.997602,0.00026998,37.79
50,2,1.928585,1.000000,1.969660,0.995204,0.00026848,37.76
51,2,1.927317,1.000000,1.963231,0.996403,0.00026694,37.78
52,2,1.926473,1.000000,1.965399,0.996403,0.00026538,38.08
53,2,1.924037,1.000000,1.961240,0.996403,0.00026378,37.80
54,2,1.922882,1.000000,1.964502,0.996403,0.00026215,37.97
55,2,1.921192,1.000000,1.958605,0.997602,0.00026049,37.81
56,2,1.921197,1.000000,1.956948,0.995204,0.00025880,37.76
57,2,1.920072,1.000000,1.955109,0.995204,0.00025708,37.86
58,2,1.918352,1.000000,1.959200,0.994005,0.00025533,37.98
59,2,1.918534,1.000000,1.952281,0.996403,0.00025356,38.09
60,2,1.917317,1.000000,1.955004,0.996403,0.00025175,37.98
61,2,1.918564,1.000000,1.954985,0.995204,0.00024992,37.82
62,2,1.917796,1.000000,1.955269,0.996403,0.00024806,37.81
63,2,1.915390,1.000000,1.953235,0.994005,0.00024618,37.84
64,2,1.915819,1.000000,1.945093,0.996403,0.00024426,37.88
65,2,1.915036,1.000000,1.960023,0.995204,0.00024232,37.82
66,2,1.913047,1.000000,1.946773,0.997602,0.00024036,38.03
67,2,1.912217,1.000000,1.952858,0.997602,0.00023837,37.81
68,2,1.911444,1.000000,1.946907,0.997602,0.00023636,37.87
69,2,1.910627,1.000000,1.943571,0.997602,0.00023433,37.86
