epoch,phase,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1,6.743167,0.001502,6.734205,0.002398,0.00006240,18.05
2,1,6.736016,0.001653,6.691949,0.002398,0.00012180,17.66
3,1,6.688861,0.003005,6.632877,0.015588,0.00018120,17.69
4,1,6.629669,0.006611,6.557880,0.035971,0.00024060,17.72
5,1,6.551725,0.016376,6.473027,0.050360,0.00030000,17.74
6,2,6.456448,0.047927,6.458350,0.059952,0.00006240,22.18
7,2,6.323366,0.068660,6.145934,0.135492,0.00012180,21.76
8,2,5.804353,0.151292,5.174923,0.342926,0.00018120,21.98
9,2,4.806107,0.352464,3.962013,0.610312,0.00024060,21.89
10,2,3.620982,0.653546,2.982144,0.845324,0.00030000,21.92
11,2,2.848189,0.874399,2.544417,0.936451,0.00029998,21.73
12,2,2.476757,0.964393,2.365566,0.965228,0.00029992,21.74
13,2,2.321878,0.988281,2.261133,0.980815,0.00029982,21.83
14,2,2.238535,0.994892,2.193491,0.985612,0.00029967,21.84
15,2,2.186745,0.996845,2.161097,0.986811,0.00029949,21.84
16,2,2.147561,0.998347,2.138284,0.988010,0.00029926,21.72
17,2,2.117742,0.999399,2.118400,0.990408,0.00029900,22.02
18,2,2.095845,0.999700,2.101723,0.989209,0.00029869,21.73
19,2,2.081585,0.999850,2.085329,0.989209,0.00029835,21.84
20,2,2.066635,0.999850,2.077528,0.992806,0.00029796,21.78
21,2,2.059826,0.999850,2.055094,0.990408,0.00029753,22.17
22,2,2.046489,0.999700,2.052231,0.991607,0.00029707,21.81
23,2,2.035781,0.999850,2.048885,0.992806,0.00029656,21.82
24,2,2.030208,0.999850,2.048780,0.992806,0.00029601,22.32
25,2,2.023439,1.000000,2.042808,0.991607,0.00029543,22.06
26,2,2.019995,1.000000,2.037905,0.992806,0.00029480,22.48
27,2,2.016847,1.000000,2.021374,0.995204,0.00029413,21.64
28,2,2.011386,0.999700,2.031937,0.992806,0.00029343,21.78
29,2,2.004604,0.999850,2.021980,0.994005,0.00029268,21.72
30,2,2.000741,1.000000,2.025804,0.994005,0.00029190,21.76
31,2,1.996591,1.000000,2.025550,0.996403,0.00029108,21.46
