epoch,phase,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1,6.726362,0.001202,6.726190,0.001199,0.00006240,4.92
2,1,6.726120,0.000751,6.723582,0.004796,0.00012180,4.83
3,1,6.723782,0.001953,6.719292,0.005995,0.00018120,4.39
4,1,6.719545,0.002404,6.713265,0.013189,0.00024060,4.83
5,1,6.713551,0.005409,6.705688,0.022782,0.00030000,4.52
6,2,6.704455,0.012770,6.705271,0.022782,0.00006240,6.90
7,2,6.702238,0.014273,6.696566,0.033573,0.00012180,6.65
8,2,6.690379,0.020733,6.672214,0.038369,0.00018120,6.80
9,2,6.652768,0.028095,6.593522,0.045564,0.00024060,7.63
10,2,6.548825,0.023287,6.405500,0.040767,0.00030000,9.43
11,2,6.374752,0.033954,6.204559,0.053957,0.00029998,9.37
12,2,6.154054,0.052885,5.939283,0.076739,0.00029992,9.64
13,2,5.909317,0.091346,5.688270,0.116307,0.00029982,8.19
14,2,5.665376,0.143179,5.441793,0.182254,0.00029967,6.93
15,2,5.423321,0.214243,5.216697,0.256595,0.00029949,6.70
16,2,5.199362,0.288912,4.995802,0.346523,0.00029926,7.01
17,2,4.990623,0.364633,4.795778,0.425659,0.00029900,6.70
18,2,4.795255,0.437350,4.602825,0.492806,0.00029869,6.53
19,2,4.603495,0.498498,4.437104,0.535971,0.00029835,7.09
20,2,4.432296,0.554237,4.253179,0.580336,0.00029796,6.76
21,2,4.260328,0.606971,4.118571,0.622302,0.00029753,6.31
22,2,4.113114,0.648738,3.932313,0.675060,0.00029707,6.45
23,2,3.968142,0.686599,3.787042,0.714628,0.00029656,6.33
24,2,3.816083,0.727314,3.662845,0.742206,0.00029601,6.48
25,2,3.686378,0.759165,3.529427,0.773381,0.00029543,6.89
26,2,3.562185,0.795072,3.400864,0.786571,0.00029480,6.63
27,2,3.448841,0.808143,3.309364,0.818945,0.00029413,8.37
28,2,3.328471,0.842548,3.189980,0.853717,0.00029343,8.83
29,2,3.224567,0.868990,3.099721,0.859712,0.00029268,9.26
30,2,3.132203,0.881160,3.033191,0.876499,0.00029190,8.47
31,2,3.053299,0.887770,2.948173,0.894484,0.00029108,6.67
32,2,2.971688,0.908804,2.882996,0.901679,0.00029022,7.98
33,2,2.903910,0.923227,2.825747,0.904077,0.00028932,9.01
34,2,2.840498,0.929988,2.766680,0.913669,0.00028838,9.15
35,2,2.787761,0.938552,2.721520,0.923261,0.00028741,8.65
36,2,2.729163,0.949369,2.678937,0.922062,0.00028640,7.15
37,2,2.693627,0.951472,2.633715,0.937650,0.00028535,6.63
38,2,2.638744,0.960036,2.599830,0.940048,0.00028426,6.78
39,2,2.608195,0.965144,2.559245,0.940048,0.00028314,7.05
40,2,2.574482,0.967548,2.533413,0.948441,0.00028198,6.68
41,2,2.553264,0.970403,2.501258,0.948441,0.00028079,6.67
42,2,2.517899,0.976412,2.484731,0.950839,0.00027956,6.93
43,2,2.494470,0.980619,2.462214,0.952038,0.00027829,6.69
44,2,2.475809,0.981370,2.429321,0.955635,0.00027699,7.37
45,2,2.449254,0.985126,2.424629,0.958034,0.00027566,6.39
46,2,2.420827,0.985877,2.399662,0.960432,0.00027429,6.84
47,2,2.407572,0.985577,2.390536,0.960432,0.00027288,6.68
48,2,2.390057,0.987230,2.370366,0.962830,0.00027145,6.87
49,2,2.374186,0.990835,2.353595,0.964029,0.00026998,7.15
50,2,2.358668,0.992188,2.342515,0.965228,0.00026848,6.60
51,2,2.346998,0.992488,2.323874,0.970024,0.00026694,6.61
52,2,2.333229,0.994291,2.316936,0.968825,0.00026538,6.66
53,2,2.322856,0.992788,2.306279,0.971223,0.00026378,6.83
54,2,2.308382,0.993840,2.288508,0.970024,0.00026215,6.49
55,2,2.298961,0.994591,2.289535,0.970024,0.00026049,7.06
56,2,2.288299,0.995343,2.278145,0.971223,0.00025880,6.21
57,2,2.276529,0.995793,2.269408,0.974820,0.00025708,6.67
58,2,2.269577,0.997746,2.257726,0.974820,0.00025533,6.62
59,2,2.262112,0.996244,2.249906,0.976019,0.00025356,6.79
60,2,2.249522,0.997596,2.244894,0.978417,0.00025175,6.60
61,2,2.245551,0.997145,2.239017,0.974820,0.00024992,7.06
62,2,2.238220,0.998047,2.226348,0.980815,0.00024806,6.47
63,2,2.231872,0.997446,2.220629,0.979616,0.00024618,6.38
64,2,2.223625,0.997446,2.211717,0.980815,0.00024426,6.87
65,2,2.217496,0.997596,2.211887,0.977218,0.00024232,6.58
66,2,2.211045,0.999249,2.209606,0.977218,0.00024036,6.52
67,2,2.204867,0.998648,2.195396,0.979616,0.00023837,6.51
68,2,2.202137,0.997596,2.197418,0.982014,0.00023636,6.79
69,2,2.194087,0.998197,2.192250,0.979616,0.00023433,6.52
70,2,2.193110,0.998347,2.180588,0.979616,0.00023227,6.73
71,2,2.183779,0.999399,2.172125,0.985612,0.00023019,6.80
72,2,2.179761,0.998948,2.177130,0.984412,0.00022809,6.52
73,2,2.176520,0.998648,2.170620,0.980815,0.00022596,6.49
74,2,2.172536,0.998948,2.166504,0.982014,0.00022382,6.88
75,2,2.168917,0.999399,2.164175,0.982014,0.00022165,6.44
76,2,2.165014,0.998498,2.159698,0.982014,0.00021947,6.31
77,2,2.160935,0.998648,2.157994,0.982014,0.00021727,6.59
78,2,2.157502,0.999549,2.148979,0.983213,0.00021505,6.89
79,2,2.153794,0.999549,2.148398,0.984412,0.00021281,6.92
80,2,2.148992,0.999099,2.146844,0.985612,0.00021055,6.62
81,2,2.147121,0.999399,2.145352,0.983213,0.00020828,6.51
82,2,2.138810,0.999850,2.138535,0.984412,0.00020599,6.50
83,2,2.141782,0.999249,2.137219,0.984412,0.00020369,6.38
84,2,2.136714,0.999700,2.133388,0.986811,0.00020137,6.42
85,2,2.135495,0.999099,2.128712,0.983213,0.00019904,6.30
86,2,2.128598,0.999700,2.128278,0.986811,0.00019670,6.58
87,2,2.129499,0.999399,2.124114,0.988010,0.00019434,6.67
88,2,2.128921,0.999850,2.123445,0.983213,0.00019197,6.67
89,2,2.125237,0.999399,2.122722,0.986811,0.00018959,6.50
90,2,2.124877,0.999399,2.119533,0.986811,0.00018720,6.56
91,2,2.120556,0.999700,2.116945,0.989209,0.00018480,6.51
92,2,2.117542,0.999700,2.115744,0.989209,0.00018239,6.57
93,2,2.115922,0.999850,2.111172,0.988010,0.00017997,6.65
94,2,2.116259,0.999399,2.107950,0.990408,0.00017754,6.41
95,2,2.109506,0.999549,2.110124,0.986811,0.00017511,6.57
96,2,2.109482,0.999700,2.109179,0.985612,0.00017267,6.71
97,2,2.106624,0.999549,2.108175,0.988010,0.00017022,6.82
98,2,2.106278,0.999850,2.106583,0.984412,0.00016776,6.83
99,2,2.102916,0.999850,2.102557,0.984412,0.00016531,7.12
100,2,2.101893,0.999549,2.103355,0.986811,0.00016285,6.28
101,2,2.100788,0.999700,2.098374,0.988010,0.00016038,6.18
102,2,2.095888,0.999850,2.095531,0.988010,0.00015791,6.74
103,2,2.098731,0.999549,2.094451,0.990408,0.00015544,6.73
104,2,2.095863,0.999549,2.094740,0.990408,0.00015297,6.83
105,2,2.093356,1.000000,2.092714,0.990408,0.00015050,6.71
106,2,2.094659,0.999850,2.090713,0.989209,0.00014803,6.74
107,2,2.092893,1.000000,2.088661,0.989209,0.00014556,7.60
108,2,2.088737,0.999549,2.092712,0.988010,0.00014309,6.66
109,2,2.090411,0.999700,2.090005,0.988010,0.00014062,6.69
110,2,2.090452,0.999700,2.090576,0.990408,0.00013815,7.08
111,2,2.087700,1.000000,2.084088,0.988010,0.00013569,6.78
112,2,2.083084,0.999850,2.084852,0.991607,0.00013324,6.73
113,2,2.085335,0.999700,2.083907,0.986811,0.00013078,6.46
114,2,2.081435,1.000000,2.082501,0.991607,0.00012833,6.69
115,2,2.081329,0.999850,2.082279,0.991607,0.00012589,6.59
116,2,2.079470,0.999549,2.084597,0.986811,0.00012346,6.59
117,2,2.079535,1.000000,2.080437,0.989209,0.00012103,6.62
118,2,2.078176,1.000000,2.079087,0.989209,0.00011861,6.40
119,2,2.075497,1.000000,2.078557,0.990408,0.00011620,6.22
120,2,2.076355,1.000000,2.079091,0.988010,0.00011380,6.31
121,2,2.074914,0.999700,2.080471,0.990408,0.00011141,6.54
122,2,2.076588,0.999700,2.073709,0.990408,0.00010903,6.62
123,2,2.075736,1.000000,2.075739,0.990408,0.00010666,6.83
124,2,2.072765,0.999850,2.071364,0.989209,0.00010430,6.73
125,2,2.071434,0.999700,2.073078,0.989209,0.00010196,6.68
126,2,2.071165,0.999850,2.073117,0.989209,0.00009963,6.48
127,2,2.070292,1.000000,2.069960,0.991607,0.00009731,6.29
128,2,2.066356,1.000000,2.067036,0.992806,0.00009501,6.65
129,2,2.068108,1.000000,2.070630,0.989209,0.00009272,6.70
130,2,2.068552,0.999850,2.068198,0.992806,0.00009045,6.53
131,2,2.070417,1.000000,2.069376,0.991607,0.00008819,6.36
132,2,2.066140,1.000000,2.070533,0.990408,0.00008595,6.57
133,2,2.066622,0.999850,2.068164,0.990408,0.00008373,6.43
134,2,2.065729,1.000000,2.067245,0.990408,0.00008153,6.23
135,2,2.065553,0.999850,2.067954,0.992806,0.00007935,6.33
136,2,2.064130,1.000000,2.068645,0.992806,0.00007718,6.46
137,2,2.064142,1.000000,2.070527,0.988010,0.00007504,6.80
138,2,2.064847,1.000000,2.068076,0.989209,0.00007291,6.86
139,2,2.060574,1.000000,2.064044,0.990408,0.00007081,7.59
140,2,2.060325,1.000000,2.066403,0.990408,0.00006873,8.08
141,2,2.060997,1.000000,2.064399,0.992806,0.00006667,6.49
142,2,2.059914,0.999700,2.063413,0.992806,0.00006464,6.76
143,2,2.061239,0.999850,2.063742,0.991607,0.00006263,6.59
144,2,2.061457,1.000000,2.069079,0.990408,0.00006064,6.81
145,2,2.058388,1.000000,2.063474,0.991607,0.00005868,6.69
146,2,2.060466,1.000000,2.061783,0.992806,0.00005674,6.48
147,2,2.059944,1.000000,2.062991,0.990408,0.00005482,7.41
148,2,2.056975,1.000000,2.061112,0.990408,0.00005294,6.46
149,2,2.059083,0.999850,2.059190,0.990408,0.00005108,6.51
150,2,2.057475,1.000000,2.059236,0.990408,0.00004925,6.69
151,2,2.053444,0.999850,2.059678,0.990408,0.00004744,7.15
152,2,2.055182,1.000000,2.059226,0.991607,0.00004567,6.56
153,2,2.057578,1.000000,2.059124,0.992806,0.00004392,6.71
154,2,2.057426,1.000000,2.058689,0.991607,0.00004220,5.98
