epoch,phase,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1,6.789991,0.000601,6.732132,0.002398,0.00006240,21.91
2,1,6.640371,0.004507,6.271257,0.040767,0.00012180,21.51
3,1,6.078586,0.038161,5.428305,0.158273,0.00018120,21.18
4,1,5.525953,0.107722,4.950236,0.231415,0.00024060,21.37
5,1,5.118115,0.175331,4.507731,0.357314,0.00030000,21.13
6,2,4.656761,0.287410,4.379609,0.399281,0.00006240,28.29
7,2,4.182192,0.436749,3.723557,0.617506,0.00012180,28.09
8,2,3.786891,0.547927,3.287393,0.738609,0.00018120,28.20
9,2,3.435463,0.640625,3.112496,0.762590,0.00024060,28.35
10,2,3.163190,0.728365,2.852675,0.827338,0.00030000,28.55
11,2,2.997668,0.779147,2.721059,0.859712,0.00029998,28.38
12,2,2.795305,0.847356,2.618595,0.890887,0.00029992,28.25
13,2,2.656782,0.894081,2.587821,0.889688,0.00029982,28.22
14,2,2.563617,0.924880,2.481915,0.924460,0.00029967,28.26
15,2,2.488437,0.945162,2.435991,0.934053,0.00029949,28.50
16,2,2.437259,0.957031,2.449634,0.928058,0.00029926,28.32
17,2,2.399110,0.966346,2.403741,0.944844,0.00029900,28.17
18,2,2.361447,0.977163,2.410529,0.932854,0.00029869,28.45
19,2,2.332803,0.978065,2.403953,0.940048,0.00029835,28.27
20,2,2.311078,0.980018,2.336892,0.954436,0.00029796,28.22
21,2,2.295982,0.985126,2.316393,0.959233,0.00029753,28.30
22,2,2.272886,0.988732,2.357083,0.960432,0.00029707,28.29
23,2,2.257305,0.989934,2.336404,0.946043,0.00029656,28.17
24,2,2.235071,0.990835,2.272990,0.962830,0.00029601,28.29
25,2,2.223250,0.993540,2.261289,0.966427,0.00029543,28.54
26,2,2.217650,0.992638,2.260152,0.967626,0.00029480,28.22
27,2,2.212016,0.994742,2.270207,0.959233,0.00029413,28.21
28,2,2.192679,0.995042,2.244496,0.964029,0.00029343,28.20
29,2,2.184484,0.996695,2.248544,0.966427,0.00029268,28.18
30,2,2.182621,0.995944,2.251945,0.976019,0.00029190,28.32
31,2,2.170846,0.996695,2.224904,0.971223,0.00029108,28.15
32,2,2.167629,0.995343,2.308233,0.973621,0.00029022,28.18
33,2,2.159013,0.996244,2.242887,0.971223,0.00028932,28.35
34,2,2.152741,0.996995,2.224430,0.977218,0.00028838,28.19
35,2,2.139959,0.998197,2.263644,0.968825,0.00028741,28.12
36,2,2.138727,0.998197,2.197639,0.982014,0.00028640,28.18
37,2,2.128258,0.998648,2.195066,0.976019,0.00028535,28.22
38,2,2.129119,0.997897,2.196065,0.979616,0.00028426,28.17
39,2,2.121187,0.998047,2.185494,0.983213,0.00028314,28.21
40,2,2.116091,0.998498,2.176841,0.978417,0.00028198,28.27
41,2,2.111382,0.998948,2.192266,0.979616,0.00028079,28.37
42,2,2.101099,0.998648,2.189010,0.978417,0.00027956,28.23
43,2,2.098711,0.998798,2.153442,0.979616,0.00027829,28.17
44,2,2.094686,0.999700,2.194338,0.972422,0.00027699,28.24
45,2,2.085534,0.999099,2.170792,0.974820,0.00027566,28.24
46,2,2.086303,0.999850,2.151922,0.980815,0.00027429,28.18
47,2,2.082700,0.998197,2.194702,0.977218,0.00027288,28.23
48,2,2.084338,0.999399,2.156435,0.972422,0.00027145,28.21
49,2,2.071130,0.999549,2.154560,0.979616,0.00026998,28.17
