epoch,train_loss,train_acc,val_loss,val_acc,lr,drop_path,epoch_time_sec
1,9.433935,0.001202,6.734035,0.001199,0.00010900,0.0007,28.19
2,9.431138,0.001502,6.728659,0.001199,0.00020800,0.0013,27.09
3,9.423743,0.001052,6.720837,0.003597,0.00030700,0.0020,26.88
4,9.402408,0.002404,6.679887,0.004796,0.00040600,0.0027,26.87
5,9.334724,0.002855,6.558558,0.007194,0.00050500,0.0033,26.94
6,9.201153,0.006911,6.408932,0.010791,0.00060400,0.0040,26.97
7,9.029585,0.009615,6.264111,0.009592,0.00070300,0.0047,26.90
8,8.855541,0.013522,6.252495,0.007194,0.00080200,0.0053,26.97
9,8.707202,0.017127,6.826629,0.009592,0.00090100,0.0060,26.86
10,8.596096,0.018480,6.492124,0.007194,0.00100000,0.0067,26.97
11,8.483717,0.024940,6.545938,0.003597,0.00099997,0.0073,27.02
12,8.379068,0.030198,6.899741,0.008393,0.00099988,0.0080,26.94
13,8.256633,0.040865,6.220934,0.022782,0.00099974,0.0087,26.98
14,8.128111,0.052284,5.946091,0.045564,0.00099953,0.0093,26.91
15,8.011882,0.057993,6.576295,0.008393,0.00099927,0.0100,26.98
16,7.913250,0.067608,5.819104,0.045564,0.00099895,0.0107,27.00
17,7.814193,0.080529,5.525520,0.101918,0.00099856,0.0113,26.96
18,7.718399,0.092398,6.449061,0.039568,0.00099813,0.0120,26.92
19,7.618239,0.116136,8.112743,0.009592,0.00099763,0.0127,27.04
20,7.539059,0.131460,5.280117,0.163070,0.00099707,0.0133,26.96
21,7.448001,0.146935,6.177119,0.025180,0.00099646,0.0140,26.93
22,7.338555,0.165114,6.005854,0.063549,0.00099579,0.0147,26.84
23,7.257655,0.184495,6.746985,0.021583,0.00099505,0.0153,26.91
24,7.183589,0.192608,8.701368,0.011990,0.00099427,0.0160,26.91
25,7.090200,0.215445,5.320502,0.146283,0.00099342,0.0167,26.92
26,6.998967,0.243540,6.199894,0.046763,0.00099252,0.0173,26.97
27,6.931912,0.250000,5.249489,0.143885,0.00099155,0.0180,26.95
28,6.859042,0.277794,5.038870,0.193046,0.00099053,0.0187,26.89
29,6.746961,0.303786,4.869875,0.247002,0.00098946,0.0193,26.95
30,6.689732,0.312200,5.266740,0.113909,0.00098832,0.0200,26.96
31,6.603614,0.341196,4.499409,0.375300,0.00098713,0.0207,26.92
32,6.509649,0.372296,4.983657,0.221823,0.00098588,0.0213,26.95
33,6.439057,0.390475,4.709894,0.303357,0.00098458,0.0220,26.95
34,6.384537,0.400240,5.410661,0.122302,0.00098321,0.0227,27.00
35,6.306640,0.424429,4.517287,0.338129,0.00098179,0.0233,26.95
36,6.236487,0.447716,5.701750,0.085132,0.00098032,0.0240,26.91
37,6.164944,0.467698,4.679745,0.281775,0.00097879,0.0247,26.95
38,6.076175,0.484675,6.720932,0.044365,0.00097720,0.0253,27.02
39,6.017888,0.507362,5.938709,0.115108,0.00097555,0.0260,26.94
40,5.927488,0.531250,4.367219,0.392086,0.00097385,0.0267,26.95
41,5.888595,0.537861,6.266561,0.069544,0.00097210,0.0273,26.92
42,5.795086,0.566106,3.916856,0.579137,0.00097029,0.0280,26.92
43,5.760701,0.567758,4.115703,0.505995,0.00096842,0.0287,26.92
44,5.692603,0.591196,4.742982,0.321343,0.00096650,0.0293,26.98
45,5.647731,0.602314,7.931814,0.086331,0.00096452,0.0300,26.87
46,5.558183,0.623648,4.003385,0.526379,0.00096249,0.0307,26.86
47,5.507514,0.640174,7.959219,0.077938,0.00096041,0.0313,26.99
48,5.449537,0.655198,6.068953,0.087530,0.00095827,0.0320,26.94
49,5.412824,0.657903,3.784983,0.600719,0.00095608,0.0327,26.88
50,5.335483,0.681641,4.161604,0.459233,0.00095383,0.0333,26.98
51,5.312190,0.683143,4.791457,0.288969,0.00095154,0.0340,26.97
52,5.234308,0.703275,4.479288,0.460432,0.00094918,0.0347,26.92
53,5.225456,0.699970,3.843832,0.601918,0.00094678,0.0353,26.97
54,5.177996,0.718299,4.254414,0.394484,0.00094432,0.0360,26.90
