epoch,train_loss,train_acc,val_loss,val_acc,lr,drop_path,epoch_time_sec
1,0.976665,0.500000,0.694380,0.500000,0.00010900,0.0020,2.17
2,0.992258,0.437500,0.693590,0.500000,0.00020800,0.0040,1.55
3,0.966646,0.687500,0.693250,0.500000,0.00030700,0.0060,1.58
4,0.992262,0.437500,0.693190,0.500000,0.00040600,0.0080,1.51
5,0.971021,0.562500,0.693329,0.500000,0.00050500,0.0100,1.38
6,0.965194,0.500000,0.694108,0.500000,0.00060400,0.0120,1.70
7,0.961917,0.625000,0.694717,0.500000,0.00070300,0.0140,1.56
8,0.966071,0.562500,0.693878,0.500000,0.00080200,0.0160,1.60
9,0.981323,0.500000,0.694693,0.500000,0.00090100,0.0180,1.62
10,0.956622,0.625000,0.693151,0.500000,0.00100000,0.0200,1.53
11,0.923817,0.687500,0.703968,0.500000,0.00099970,0.0220,1.52
12,0.948561,0.562500,0.719370,0.500000,0.00099878,0.0240,1.57
13,0.979252,0.625000,0.697881,0.500000,0.00099726,0.0260,1.67
14,0.959182,0.687500,0.701158,0.500000,0.00099514,0.0280,1.58
15,0.877622,0.875000,0.783199,0.500000,0.00099241,0.0300,1.59
16,0.895351,0.687500,0.991664,0.500000,0.00098908,0.0320,1.77
17,0.901742,0.687500,1.037803,0.500000,0.00098516,0.0340,1.56
18,0.970512,0.562500,0.952914,0.500000,0.00098065,0.0360,1.53
19,0.891402,0.687500,0.936728,0.500000,0.00097555,0.0380,1.63
20,0.956013,0.625000,0.658436,0.500000,0.00096988,0.0400,1.58
21,0.901080,0.687500,0.548668,1.000000,0.00096363,0.0420,1.59
22,0.935823,0.625000,0.510242,1.000000,0.00095682,0.0440,1.61
23,0.904676,0.687500,0.526447,1.000000,0.00094945,0.0460,1.60
24,0.895115,0.687500,0.515882,1.000000,0.00094153,0.0480,1.52
25,0.788471,0.750000,0.489504,1.000000,0.00093308,0.0500,1.45
26,0.968662,0.625000,0.578054,0.500000,0.00092410,0.0520,1.55
27,0.968230,0.687500,0.588171,0.500000,0.00091460,0.0540,1.52
28,0.907960,0.625000,0.445891,1.000000,0.00090460,0.0560,1.66
29,0.737919,0.875000,0.444651,1.000000,0.00089411,0.0580,1.72
30,0.866578,0.687500,0.486058,1.000000,0.00088314,0.0600,1.50
31,0.990547,0.562500,0.632822,0.500000,0.00087170,0.0620,1.55
32,1.039902,0.437500,0.538233,0.500000,0.00085981,0.0640,1.59
33,0.989141,0.687500,0.459834,1.000000,0.00084748,0.0660,1.50
34,0.928293,0.625000,0.445024,1.000000,0.00083473,0.0680,1.53
