global_epoch,stage,epoch,w_loss,a_loss,train_acc,val_loss,val_acc,lr,num_ops,epoch_time
1,1,1,6.698026,0.000000,0.0033,6.529035,0.0072,0.024976,8,66.3
2,1,2,6.402860,0.000000,0.0063,6.856076,0.0048,0.024905,8,64.8
3,1,3,6.042802,0.000000,0.0123,6.048611,0.0216,0.024787,8,65.3
4,1,4,5.767678,0.000000,0.0279,5.946480,0.0228,0.024623,8,67.7
5,1,5,5.531235,0.000000,0.0397,5.599569,0.0552,0.024413,8,69.5
6,1,6,5.278381,0.000000,0.0574,5.402085,0.0635,0.024157,8,66.5
7,1,7,5.069411,0.000000,0.0805,5.901829,0.0456,0.023858,8,65.0
8,1,8,4.826549,0.000000,0.1091,5.614875,0.0659,0.023516,8,65.0
9,1,9,4.577552,0.000000,0.1566,5.503642,0.0803,0.023132,8,64.9
10,1,10,4.274044,0.000000,0.2127,4.761049,0.1751,0.022708,8,65.5
11,1,11,3.939650,0.000000,0.2918,5.160344,0.1391,0.022246,8,65.1
12,1,12,3.630607,0.000000,0.3732,4.557657,0.2242,0.021748,8,65.1
13,1,13,3.324105,0.000000,0.4597,4.289266,0.2770,0.021215,8,65.5
14,1,14,3.070544,0.000000,0.5430,4.228643,0.3153,0.020649,8,65.4
15,1,15,2.849341,0.000000,0.6055,4.450073,0.2734,0.020053,8,65.6
16,1,16,2.682476,3.417899,0.6617,3.246295,0.5480,0.019430,8,126.1
17,1,17,2.536822,3.316824,0.7055,2.999448,0.6127,0.018781,8,126.4
18,1,18,2.400657,3.170979,0.7587,2.862650,0.6571,0.018109,8,126.6
19,1,19,2.301616,3.040165,0.7990,2.855158,0.6655,0.017417,8,126.4
20,1,20,2.190839,2.964011,0.8293,2.900228,0.6667,0.016708,8,126.5
21,1,21,2.132425,2.849524,0.8528,2.776421,0.6847,0.015984,8,125.6
22,1,22,2.038893,2.793719,0.8897,2.623544,0.7386,0.015249,8,125.8
23,1,23,1.976670,2.726160,0.9096,2.391155,0.7974,0.014504,8,126.6
24,1,24,1.921001,2.679685,0.9249,2.390311,0.8058,0.013753,8,127.3
25,1,25,1.867159,2.627457,0.9372,2.376175,0.8010,0.013000,8,125.3
26,1,26,1.838690,2.576533,0.9408,2.339787,0.8046,0.012247,8,125.4
27,1,27,1.789806,2.518944,0.9594,2.284413,0.8213,0.011496,8,127.1
28,1,28,1.757557,2.495581,0.9654,2.237810,0.8201,0.010751,8,123.9
29,1,29,1.740704,2.464893,0.9675,2.185383,0.8417,0.010016,8,127.5
30,1,30,1.707466,2.437348,0.9730,2.176206,0.8537,0.009292,8,127.2
31,1,31,1.672874,2.395647,0.9850,2.134552,0.8549,0.008583,8,126.8
32,1,32,1.658751,2.376975,0.9850,2.135190,0.8573,0.007891,8,127.2
33,1,33,1.646379,2.366728,0.9841,2.117192,0.8525,0.007219,8,123.5
34,1,34,1.623170,2.333591,0.9877,2.067019,0.8585,0.006570,8,123.0
35,1,35,1.616875,2.310950,0.9871,2.048079,0.8765,0.005947,8,126.4
36,1,36,1.594762,2.304227,0.9931,2.033477,0.8717,0.005351,8,123.4
37,1,37,1.578812,2.286821,0.9949,2.017199,0.8789,0.004785,8,125.9
38,1,38,1.564286,2.274939,0.9934,2.012881,0.8825,0.004252,8,128.2
39,1,39,1.562803,2.261581,0.9937,2.001295,0.8825,0.003754,8,128.9
40,1,40,1.551622,2.254255,0.9961,1.997699,0.8777,0.003292,8,127.0
41,1,41,1.544632,2.245432,0.9958,1.977847,0.8873,0.002868,8,128.6
42,1,42,1.537174,2.236516,0.9970,1.979177,0.8837,0.002484,8,128.6
43,1,43,1.531018,2.235564,0.9970,1.961791,0.8885,0.002142,8,128.8
44,1,44,1.521490,2.223465,0.9991,1.961111,0.8897,0.001843,8,128.8
45,1,45,1.518705,2.222916,0.9970,1.953938,0.8873,0.001587,8,128.2
46,1,46,1.514178,2.192044,0.9976,1.942993,0.8885,0.001377,8,128.8
47,1,47,1.515564,2.198229,0.9976,1.951181,0.8885,0.001213,8,128.4
48,1,48,1.510929,2.193675,0.9973,1.941347,0.8909,0.001095,8,129.6
49,1,49,1.507009,2.195025,0.9982,1.940882,0.8897,0.001024,8,129.4
50,1,50,1.503548,2.192060,0.9973,1.937280,0.8909,0.001000,8,128.2
51,2,1,6.705378,0.000000,0.0015,6.621429,0.0036,0.024976,5,67.6
52,2,2,6.531462,0.000000,0.0039,6.436709,0.0060,0.024905,5,67.7
53,2,3,6.235736,0.000000,0.0129,6.130024,0.0168,0.024787,5,67.8
54,2,4,5.895178,0.000000,0.0249,5.881684,0.0276,0.024623,5,67.9
55,2,5,5.534281,0.000000,0.0442,5.551406,0.0456,0.024413,5,67.6
56,2,6,5.142576,0.000000,0.0781,5.269077,0.0791,0.024157,5,68.2
57,2,7,4.717803,0.000000,0.1298,5.106595,0.1127,0.023858,5,68.4
58,2,8,4.345660,0.000000,0.1827,5.173576,0.1175,0.023516,5,66.6
59,2,9,3.997997,0.000000,0.2587,5.073440,0.1547,0.023132,5,67.3
60,2,10,3.715492,0.000000,0.3296,4.937846,0.1571,0.022708,5,67.5
61,2,11,3.394215,0.000000,0.4171,3.968582,0.3393,0.022246,5,67.9
62,2,12,3.106752,0.000000,0.5036,3.876488,0.3669,0.021748,5,68.0
63,2,13,2.862712,0.000000,0.5910,3.798987,0.3921,0.021215,5,67.5
64,2,14,2.663293,0.000000,0.6523,3.419923,0.5048,0.020649,5,68.1
65,2,15,2.508792,0.000000,0.7034,3.214886,0.5516,0.020053,5,68.2
