epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
0,,,,,,,,,,,,,,,,,,,,,,6.758938,0.0024,,,-0.864837
1,7.731379,6.967944,0.763435,30.337516,0.34055,0.999433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,6.761629,0.0012,0.00010095,64.6,-0.948436
2,8.313109,6.8159,1.497208,29.743687,0.353067,1.002408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,6.730729,0.0024,0.00020095,32.7,-0.460202
3,9.009222,6.772451,2.236771,29.622889,0.371195,1.003628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,6.722009,0.0024,0.00030095,32.9,-0.335479
4,9.724401,6.758348,2.966053,29.460349,0.371403,1.000886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,6.712426,0.0024,0.00040095,32.3,-0.286598
5,10.418823,6.744664,3.674159,29.194494,0.350326,0.993887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,6.676261,0.0024,0.00050095,32.5,-0.558369
6,11.08546,6.712567,4.372893,28.955511,0.315964,0.985557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,6.60343,0.0096,0.00060095,32.2,-0.554314
7,11.659532,6.620069,5.039463,28.602002,0.273453,0.974654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,6.439746,0.0048,0.00070095,32.8,-1.706756
8,12.11433,6.433037,5.681293,28.214393,0.230455,0.960355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,5.861517,0.0108,0.00080095,32.1,-1.303734
9,12.492335,6.184947,6.307388,27.843343,0.192269,0.947472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,6.820781,0.0048,0.00090095,32.4,-3.492801
10,12.885703,5.962257,6.923445,27.506934,0.152534,0.934233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144,5.483841,0.0312,0.001,32.4,-1.978056
11,13.269637,5.746669,7.522968,27.171749,0.126621,0.922485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,4.913124,0.0647,0.00099997,32.1,-1.351749
12,13.680177,5.56564,8.114537,26.865939,0.111702,0.912581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,4.537169,0.0899,0.00099988,32.6,-1.251612
13,14.130587,5.416818,8.713769,26.63069,0.101067,0.904536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0637,4.860311,0.042,0.00099974,32.1,-1.595319
14,14.513649,5.245539,9.26811,26.301237,0.092627,0.895382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0884,4.146751,0.1583,0.00099953,32.3,-0.997303
15,14.888156,5.082388,9.805769,25.97138,0.086783,0.886681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1302,3.867191,0.1811,0.00099927,32.0,-0.91533
16,15.338989,4.963517,10.375472,25.762821,0.083179,0.879299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1622,4.991081,0.0528,0.00099895,32.4,-2.53621
17,15.687812,4.802662,10.88515,25.437891,0.07968,0.871135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2106,4.776175,0.1007,0.00099856,32.7,-2.219431
18,16.064647,4.665035,11.399612,25.159859,0.075623,0.863061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2591,3.3368,0.3046,0.00099813,32.3,-0.63765
19,16.479434,4.549978,11.929456,24.943327,0.076301,0.856584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3003,2.913407,0.4508,0.00099763,32.1,-0.198635
20,16.846734,4.412444,12.43429,24.69864,0.073718,0.849704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3512,3.035869,0.3441,0.00099707,32.4,-0.525817
21,16.467393,4.23632,12.231073,24.294045,0.069563,0.840501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4257,2.81308,0.4365,0.00099646,32.2,-0.295156
22,16.25648,4.136121,12.120359,24.073756,0.069514,0.834808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4658,2.533617,0.5096,0.00099579,32.4,-0.032121
23,16.035903,4.028058,12.007845,23.849856,0.068468,0.829168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5048,3.043856,0.3777,0.00099505,32.3,-0.641219
24,15.770301,3.909773,11.860528,23.556545,0.067426,0.822551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5607,2.170608,0.5875,0.00099427,32.4,0.176475
25,15.594709,3.833389,11.76132,23.359124,0.067325,0.817578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.585,2.376926,0.494,0.00099342,32.1,-0.076735
26,15.337534,3.718928,11.618606,23.074928,0.065538,0.81142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6263,2.521752,0.4964,0.00099252,32.0,-0.155154
27,15.140035,3.636505,11.50353,22.845912,0.064502,0.805743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6659,1.779463,0.7578,0.00099155,32.1,0.807618
28,14.956648,3.565421,11.391227,22.622305,0.063866,0.800744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6978,1.919283,0.7338,0.00099053,32.3,0.815838
29,14.712706,3.461955,11.250752,22.342601,0.063668,0.794509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7376,1.46107,0.8321,0.00098946,32.0,1.177806
30,14.532652,3.409725,11.122927,22.088029,0.063339,0.789122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7516,1.779529,0.6799,0.00098832,32.5,0.675917
31,14.357995,3.340863,11.017132,21.877331,0.061217,0.784669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7763,1.701323,0.7386,0.00098713,32.3,0.884158
