epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
1,0.795475,0.375314,0.420161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005552,1.04971,0.0,0.0,1.0,0.366179,0.9976,6.06e-06,22.3,4.387992
2,1.212298,0.363367,0.848931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005673,1.060455,0.0,0.0,1.0,0.374318,0.9976,1.206e-05,20.7,4.3611
3,1.627872,0.385146,1.242727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00516,1.034961,0.0,0.0,1.0,0.403064,0.9976,1.806e-05,20.7,4.304264
4,2.005691,0.451767,1.553924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004632,0.970623,0.0,0.0,1.0,0.515362,0.9976,2.406e-05,20.6,4.072851
5,2.331332,0.580274,1.751058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005143,0.874886,0.0,0.0,1.0,0.653447,0.9964,3e-05,21.3,3.825064
6,2.620974,0.734094,1.886879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007316,0.785285,0.0,0.0,1.0,0.768772,0.9976,2.999e-05,20.6,3.665999
7,2.87403,0.855009,2.019021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009582,0.719881,0.0,0.0,0.9998,0.912795,0.9976,2.994e-05,20.7,3.493764
8,3.10981,0.987014,2.122796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012493,0.661812,0.0,0.0,0.9998,1.063435,0.9976,2.987e-05,20.8,3.336735
9,3.338379,1.133539,2.20484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015961,0.610461,0.0,0.0,1.0,1.18463,0.9964,2.977e-05,20.8,3.215043
10,3.546246,1.265999,2.280247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019256,0.567655,0.0,0.0,0.9998,1.320307,0.9952,2.964e-05,20.8,3.080523
11,3.721964,1.380698,2.341266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022211,0.52933,0.0,0.0,1.0,1.468282,0.9952,2.948e-05,20.7,2.964287
12,3.902675,1.526087,2.376587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026011,0.491871,0.0,0.0,0.9998,1.588576,0.9952,2.929e-05,20.6,2.874198
13,4.073655,1.655554,2.418101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029462,0.461337,0.0,0.0,1.0,1.704011,0.9964,2.908e-05,20.7,2.784767
14,4.237511,1.795823,2.441689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033242,0.431861,0.0,0.0,1.0,1.850489,0.9964,2.883e-05,20.8,2.68091
15,4.384355,1.919726,2.464629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366,0.406196,0.0,0.0,1.0,1.981894,0.9964,2.856e-05,20.7,2.587949
16,4.50595,2.030269,2.475681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03971,0.381861,0.0,0.0,1.0,2.104508,0.9952,2.827e-05,20.7,2.502516
17,4.645793,2.171605,2.474188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043574,0.358404,0.0,0.0,0.9997,2.23798,0.9964,2.795e-05,20.9,2.413085
18,4.758754,2.273187,2.485567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046402,0.339417,0.0,0.0,1.0,2.3472,0.9964,2.76e-05,20.7,2.347775
19,4.879931,2.404817,2.475114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050201,0.319398,0.0,0.0,1.0,2.476509,0.9964,2.723e-05,20.7,2.261813
20,4.989088,2.52349,2.465598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053546,0.301506,0.0,0.0,1.0,2.597609,0.9964,2.684e-05,20.6,2.18384
21,4.967379,2.556784,2.410595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054529,0.294508,0.0,0.0,1.0,2.615347,0.9952,2.642e-05,20.7,2.177661
22,4.965077,2.586147,2.37893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05537,0.290445,0.0,0.0,0.9998,2.620853,0.9952,2.598e-05,20.7,2.171651
23,4.954273,2.588574,2.365699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055474,0.288778,0.0,0.0,0.9998,2.623808,0.9964,2.552e-05,20.7,2.167276
24,4.940818,2.584548,2.356271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055354,0.287615,0.0,0.0,0.9998,2.63588,0.9952,2.504e-05,20.6,2.167251
