epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,weighted_center,weighted_feature,weighted_relation,center_weight_effective,feature_weight_effective,relation_weight_effective,grad_norm_ce,grad_norm_center,grad_norm_feature,grad_norm_relation,adaptive_stage,icd_sdc_active,icd_positive_pairs,icd_bank_occupancy,icd_true_class_margin,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000643,1.0,,,32.683366
1,0.998693,0.000499,0.998643,0.0,0.0,0.998643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.22857143,0.65437708,26.24285714,0.9999,0.000474,1.0,6.06e-06,37.6,32.923696
2,0.98956,0.000284,0.989532,0.0,0.0,0.989532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,26.17886905,1.0,0.001344,0.9988,1.206e-05,37.2,32.536805
3,0.970706,4.3e-05,0.970702,0.0,0.0,0.970702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,25.37589286,1.0,0.007345,0.9976,1.806e-05,37.1,30.948543
4,0.943093,0.003601,0.942733,0.0,0.0,0.942733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,23.22098214,1.0,0.013132,0.9964,2.406e-05,36.5,27.804609
5,0.911443,0.016262,0.909817,0.0,0.0,0.909817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,20.94017857,0.9999,0.012549,0.9964,3e-05,36.9,25.554212
6,0.884023,0.056783,0.878345,0.0,0.0,0.878345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,20.12142857,0.9994,0.004894,0.9976,2.999e-05,37.3,26.04239
7,0.862642,0.079753,0.854666,0.0,0.0,0.854666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,20.33139881,0.9996,0.004949,0.9988,2.997e-05,37.1,26.332777
8,0.846873,0.108555,0.836018,0.0,0.0,0.836018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,20.80104167,0.9999,0.006062,0.9976,2.993e-05,36.8,26.984056
9,0.832796,0.122725,0.820523,0.0,0.0,0.820523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,21.4875,0.9999,0.005021,0.9988,2.987e-05,36.6,27.883288
10,0.821155,0.147719,0.806383,0.0,0.0,0.806383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,22.11354167,1.0,0.003877,0.9988,2.98e-05,36.3,28.460603
11,0.815243,0.213145,0.793929,0.0,0.0,0.793929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,22.67886905,1.0,0.002716,0.9988,2.972e-05,36.9,29.242335
12,0.810036,0.26271,0.783765,0.0,0.0,0.783765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,23.40401786,0.9999,0.003359,0.9988,2.961e-05,36.6,29.957414
13,0.805295,0.326952,0.7726,0.0,0.0,0.7726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,23.96532738,0.9999,0.001769,1.0,2.95e-05,36.6,30.471213
14,0.808672,0.45721,0.762951,0.0,0.0,0.762951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,24.48660714,1.0,0.003698,0.9976,2.936e-05,36.5,30.997228
15,0.814242,0.598034,0.754438,0.0,0.0,0.754438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,24.91339286,0.9999,0.002479,0.9988,2.921e-05,36.7,31.497799
16,0.829661,0.833481,0.746313,0.0,0.0,0.746313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,25.2047619,1.0,0.002606,0.9988,2.905e-05,37.0,31.958412
17,0.850484,1.127964,0.737688,0.0,0.0,0.737688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,25.51235119,1.0,0.003054,0.9988,2.887e-05,36.6,32.097337
18,0.876384,1.469828,0.729401,0.0,0.0,0.729401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,25.8608631,1.0,0.001865,0.9988,2.868e-05,36.4,32.459152
19,0.929822,2.096043,0.720218,0.0,0.0,0.720218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,25.88467262,1.0,0.001698,0.9988,2.847e-05,36.8,32.623751
20,0.981241,2.70038,0.711203,0.0,0.0,0.711203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,26.06071429,1.0,0.00156,1.0,2.825e-05,36.4,32.765359
21,0.963781,2.63021,0.70076,0.0,0.0,0.70076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,26.21994048,0.9999,0.001454,1.0,2.802e-05,36.7,32.862719
22,0.946432,2.55091,0.691341,0.0,0.0,0.691341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,26.32901786,1.0,0.001858,1.0,2.777e-05,36.4,32.908754
23,0.93621,2.567873,0.679422,0.0,0.0,0.679422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,26.28244048,1.0,0.001013,1.0,2.751e-05,36.7,33.047636
24,0.915563,2.461431,0.66942,0.0,0.0,0.66942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,26.45372024,1.0,0.001827,0.9988,2.723e-05,36.6,33.045317
25,0.898309,2.392187,0.65909,0.0,0.0,0.65909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,26.50238095,1.0,0.001649,0.9988,2.694e-05,36.5,33.102343
26,0.898848,2.496053,0.649243,0.0,0.0,0.649243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,26.36785714,1.0,0.001213,1.0,2.664e-05,36.5,33.152603
27,0.890757,2.502133,0.640544,0.0,0.0,0.640544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,26.42395833,0.9999,0.002157,0.9988,2.633e-05,36.8,33.103385
28,0.874698,2.441928,0.630505,0.0,0.0,0.630505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,26.4608631,1.0,0.001165,1.0,2.6e-05,36.6,33.201673
29,0.854868,2.335441,0.621324,0.0,0.0,0.621324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,26.61889881,1.0,0.00147,0.9988,2.567e-05,36.4,33.252558
30,0.853609,2.404645,0.613144,0.0,0.0,0.613144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,26.52068452,0.9999,0.002181,0.9988,2.532e-05,36.6,33.236116
