epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,weighted_center,weighted_feature,weighted_relation,center_weight_effective,feature_weight_effective,relation_weight_effective,grad_norm_ce,grad_norm_center,grad_norm_feature,grad_norm_relation,adaptive_stage,icd_sdc_active,icd_positive_pairs,icd_bank_occupancy,icd_true_class_margin,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.754396,0.0024,,,-15.628503
1,2.724784,17.514046,0.973379,0.0,0.0,0.973379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.22857143,0.65437708,-14.9985119,0.001,11.579747,0.0012,0.00010095,34.7,-9.240955
2,2.49821,16.175749,0.880635,0.0,0.0,0.880635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-11.67857143,0.0016,8.289492,0.0024,0.00020095,34.1,-4.959847
3,2.494737,16.428866,0.85185,0.0,0.0,0.85185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-10.1625744,0.0003,7.359346,0.0048,0.00030095,34.1,-3.356714
4,2.613918,17.649571,0.848961,0.0,0.0,0.848961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-9.73482143,0.001,7.128498,0.006,0.00040095,33.9,-3.10981
5,2.759453,19.128112,0.846642,0.0,0.0,0.846642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-9.62898065,0.0006,7.018857,0.0072,0.00050095,34.3,-3.382961
6,2.889945,20.499051,0.84004,0.0,0.0,0.84004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-9.42849702,0.0009,7.161003,0.0084,0.00060095,34.3,-4.163742
7,2.991296,21.677459,0.82355,0.0,0.0,0.82355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-9.04940476,0.0013,7.588108,0.006,0.00070095,34.2,-5.230378
8,3.05805,22.562761,0.801774,0.0,0.0,0.801774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-8.38214286,0.0025,6.796628,0.0144,0.00080095,34.0,-4.448699
9,3.136147,23.500261,0.786121,0.0,0.0,0.786121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-7.77637649,0.0042,5.730982,0.0372,0.00090095,34.4,-3.51803
10,3.200771,24.28444,0.772327,0.0,0.0,0.772327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-6.97838542,0.0065,5.352427,0.054,0.001,34.6,-3.459867
11,3.272893,25.128739,0.760019,0.0,0.0,0.760019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-6.23184524,0.0083,5.048239,0.0695,0.00099997,34.3,-3.154598
12,3.337723,25.909754,0.746748,0.0,0.0,0.746748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-5.43311012,0.018,4.736883,0.0887,0.00099988,34.3,-3.006738
13,3.414475,26.793336,0.735141,0.0,0.0,0.735141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-4.71233259,0.0263,6.696606,0.0384,0.00099974,34.4,-4.971905
14,3.498956,27.761643,0.722792,0.0,0.0,0.722792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-4.1422433,0.0458,4.191085,0.1379,0.00099953,34.2,-2.450432
15,3.58875,28.782028,0.710547,0.0,0.0,0.710547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-3.62116815,0.0634,4.084978,0.1559,0.00099927,33.9,-2.384397
