epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,weighted_center,weighted_feature,weighted_relation,center_weight_effective,feature_weight_effective,relation_weight_effective,grad_norm_ce,grad_norm_center,grad_norm_feature,grad_norm_relation,adaptive_stage,icd_sdc_active,icd_positive_pairs,icd_bank_occupancy,icd_true_class_margin,loss_fcd,loss_arcface_raw,loss_arcface_weighted,loss_logit_kd_weighted,logit_kd_effective_weight,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.754396,0.0024,,,-15.628503
1,2.713172,17.288085,0.984364,0.0,0.0,0.973282,44.324942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.22857143,0.65437708,-14.77232143,0.97328238,17.288085,1.72880853,0.01108124,0.00025,0.001,11.326196,0.0012,0.00010095,35.6,-8.963119
2,2.49623,15.966074,0.899622,0.0,0.0,0.879526,40.193191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-11.46019345,0.87952586,15.96607433,1.59660746,0.0200966,0.0005,0.0018,8.112507,0.0012,0.00020095,35.3,-4.645459
3,2.513384,16.338113,0.879572,0.0,0.0,0.851583,37.319145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-10.0578125,0.85158312,16.33811305,1.63381133,0.02798936,0.00075,0.0009,7.241992,0.0036,0.00030095,35.2,-3.242443
4,2.650472,17.648717,0.8856,0.0,0.0,0.849111,36.489053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-9.7358631,0.84911119,17.64871723,1.76487175,0.03648905,0.001,0.0009,7.431341,0.0036,0.00040095,35.9,-3.736297
5,2.807664,19.153292,0.892335,0.0,0.0,0.846971,36.29171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-9.65379464,0.84697063,19.15329177,1.9153292,0.04536464,0.00125,0.0007,7.095066,0.0036,0.00050095,36.0,-3.575871
6,2.946606,20.516118,0.894995,0.0,0.0,0.840765,36.153346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-9.44520089,0.84076457,20.51611806,2.05161186,0.05423002,0.0015,0.0004,8.037139,0.0036,0.00060095,35.7,-5.51005
7,3.058793,21.70097,0.888696,0.0,0.0,0.825894,35.887216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-9.08058036,0.82589387,21.70096962,2.170097,0.06280263,0.00175,0.0015,7.524274,0.0072,0.00070095,35.7,-5.047441
8,3.138104,22.625192,0.875585,0.0,0.0,0.80443,35.577232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-8.44021577,0.80443028,22.62519241,2.26251928,0.07115447,0.002,0.0025,6.1813,0.0288,0.00080095,35.6,-3.736221
9,3.220198,23.539128,0.866285,0.0,0.0,0.78693,35.268639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-7.80539435,0.78693028,23.53912817,2.35391286,0.07935444,0.00225,0.003,5.328407,0.0504,0.00090095,35.8,-3.137209
10,3.288863,24.303472,0.858516,0.0,0.0,0.771293,34.888983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-6.99620536,0.77129329,24.30347167,2.43034721,0.08722245,0.0025,0.0055,6.395591,0.0264,0.001,36.1,-4.496881
11,3.364495,25.120238,0.852471,0.0,0.0,0.757614,34.493475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-6.21841518,0.7576138,25.12023808,2.51202386,0.09485706,0.00275,0.0088,5.407226,0.0612,0.00099997,36.1,-3.427821
12,3.43395,25.882326,0.845717,0.0,0.0,0.743543,34.058278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-5.39508929,0.74354265,25.88232556,2.5882326,0.10217484,0.003,0.0182,4.393175,0.1175,0.00099988,35.8,-2.7259
13,3.518612,26.776253,0.840987,0.0,0.0,0.731805,33.594363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-4.69936756,0.73180528,26.77625349,2.67762541,0.10918168,0.00325,0.0253,4.267144,0.1067,0.00099974,35.6,-2.531152
14,3.609241,27.741865,0.835055,0.0,0.0,0.718994,33.160261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-4.10072545,0.71899373,27.74186459,2.77418651,0.11606092,0.0035,0.0387,5.397652,0.054,0.00099953,35.2,-3.863971
15,3.705836,28.755857,0.83025,0.0,0.0,0.707291,32.788962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-3.57083333,0.70729144,28.75585669,2.87558571,0.12295861,0.00375,0.0656,3.274274,0.253,0.00099927,34.9,-1.635645
16,3.800021,29.759425,0.824079,0.0,0.0,0.694404,32.418671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-3.04324777,0.69440421,29.75942525,2.97594257,0.12967469,0.004,0.0966,3.367522,0.2206,0.00099895,35.3,-1.895784
17,3.907595,30.869551,0.82064,0.0,0.0,0.683807,32.195815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-2.68809524,0.68380735,30.86955129,3.08695518,0.13683222,0.00425,0.1251,3.505833,0.2326,0.00099856,34.8,-2.104454
