epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,0.255641,0.255641,2.412334,0.9977,0.23768,0.9796,2.019e-05,14.6
2,0.22242,0.22242,2.630504,0.9974,0.208174,0.982,4.019e-05,13.9
3,0.195049,0.195049,2.866269,0.997,0.193949,0.9808,6.019e-05,13.4
4,0.171337,0.171337,3.129877,0.9965,0.203501,0.9796,8.019e-05,13.1
5,0.152609,0.152609,3.382878,0.9968,0.164582,0.982,0.0001,12.8
6,0.142024,0.142024,3.636809,0.997,0.153917,0.9784,9.997e-05,13.0
7,0.127002,0.127002,3.89083,0.9965,0.150909,0.9808,9.989e-05,13.3
8,0.118149,0.118149,4.088709,0.997,0.170093,0.9748,9.976e-05,12.9
9,0.113252,0.113252,4.309549,0.9952,0.147326,0.976,9.957e-05,13.2
10,0.104814,0.104814,4.490107,0.995,0.129361,0.9796,9.932e-05,12.9
11,0.099683,0.099683,4.662538,0.9971,0.156158,0.9796,9.903e-05,13.3
12,0.092471,0.092471,4.855425,0.9952,0.11404,0.9832,9.868e-05,13.2
13,0.087196,0.087196,5.018574,0.9968,0.116532,0.9796,9.828e-05,12.9
14,0.085579,0.085579,5.189703,0.9959,0.117764,0.9796,9.782e-05,13.2
15,0.084941,0.084941,5.324867,0.9965,0.107412,0.9808,9.732e-05,13.1
16,0.08038,0.08038,5.494785,0.9961,0.108958,0.9796,9.676e-05,13.0
17,0.076046,0.076046,5.671106,0.9971,0.12366,0.9772,9.615e-05,13.3
18,0.076966,0.076966,5.802607,0.9973,0.10956,0.9808,9.55e-05,12.8
19,0.072438,0.072438,5.993732,0.9962,0.108473,0.9784,9.479e-05,13.0
20,0.069454,0.069454,6.068888,0.9967,0.104297,0.9796,9.403e-05,12.8
21,0.069703,0.069703,6.233861,0.9961,0.104781,0.9784,9.323e-05,12.7
22,0.069386,0.069386,6.322528,0.9959,0.101889,0.982,9.238e-05,13.2
23,0.06709,0.06709,6.476656,0.9962,0.100048,0.9796,9.149e-05,12.6
24,0.067163,0.067163,6.584854,0.9961,0.103093,0.9784,9.055e-05,12.8
25,0.068715,0.068715,6.727414,0.9965,0.109364,0.976,8.956e-05,12.8
