epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
0,,,,,,,,,,,,,,,,,,,,,,0.637768,0.9604,,,3.050462
1,3.067626,2.294275,0.773352,30.730787,0.032659,1.000074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9984,0.286774,0.9952,6.057e-05,52.1,4.24835
2,3.754434,2.261226,1.493208,29.664053,0.031171,0.984992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.312081,0.9928,0.00012057,32.3,4.159763
3,4.343634,2.253176,2.090458,27.679213,0.030785,0.952429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.31265,0.9916,0.00018057,32.8,4.186081
4,4.83679,2.259667,2.577123,25.585914,0.031573,0.910793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9988,0.333106,0.9916,0.00024057,32.1,4.08298
5,5.247603,2.259318,2.988284,23.729227,0.033156,0.868656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0.330382,0.9916,0.0003,31.9,4.110626
6,5.623358,2.263891,3.359467,22.226497,0.035851,0.831814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991,0.373377,0.9856,0.00029998,31.8,3.945014
7,5.98941,2.268079,3.721331,21.099965,0.037704,0.80506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.385033,0.9904,0.00029992,32.5,3.88221
8,6.35935,2.270204,4.089147,20.284923,0.037927,0.785087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993,0.341693,0.9904,0.00029983,31.7,4.062741
9,6.719943,2.271517,4.448425,19.612806,0.039714,0.770015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991,0.361304,0.994,0.00029969,31.7,4.012116
10,7.059023,2.267903,4.791119,19.009303,0.037868,0.756939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993,0.355913,0.9892,0.00029952,32.1,4.037154
11,7.415446,2.268187,5.147259,18.564129,0.038655,0.746547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993,0.380032,0.9916,0.0002993,31.7,4.016865
12,7.747603,2.265558,5.482045,18.122025,0.039163,0.737706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991,0.353692,0.9916,0.00029905,32.5,4.030521
13,8.092727,2.270699,5.822028,17.764006,0.038941,0.730174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993,0.39575,0.9892,0.00029876,31.9,3.868514
14,8.395156,2.268258,6.126899,17.357058,0.039027,0.722322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993,0.376914,0.9928,0.00029843,32.0,4.034137
15,8.707089,2.26716,6.439929,17.026151,0.038117,0.71591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994,0.369173,0.9904,0.00029806,31.9,4.05062
16,9.046894,2.274924,6.77197,16.783782,0.039131,0.711145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994,0.434427,0.9916,0.00029766,31.8,3.737553
17,9.356303,2.269222,7.087081,16.53023,0.039433,0.706551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993,0.356082,0.994,0.00029721,32.3,4.084842
18,9.638125,2.266088,7.372037,16.238175,0.038867,0.701211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994,0.413178,0.9928,0.00029673,32.2,3.869739
19,9.924204,2.273151,7.651053,15.964281,0.039109,0.696439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991,0.389239,0.9928,0.00029621,31.5,3.952699
20,10.205557,2.272766,7.932792,15.723165,0.038831,0.692679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993,0.43421,0.9892,0.00029566,32.1,3.8572
21,10.121541,2.273949,7.847592,15.553371,0.039446,0.689339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991,0.414765,0.994,0.00029506,31.8,3.926587
22,10.001924,2.272004,7.72992,15.318939,0.038592,0.685206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0.415674,0.9928,0.00029443,31.8,3.95197
23,9.908077,2.269536,7.638541,15.136758,0.039127,0.682061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993,0.431136,0.9916,0.00029376,31.6,3.911972
24,9.791251,2.269543,7.521708,14.90387,0.038813,0.678327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.411866,0.9916,0.00029305,31.6,3.945153
25,9.686124,2.267054,7.419069,14.69921,0.039019,0.675134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993,0.404498,0.9928,0.00029231,31.9,3.988832
26,9.609637,2.272075,7.337562,14.536797,0.039025,0.672117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994,0.407615,0.9928,0.00029153,31.7,3.908998
27,9.495941,2.270192,7.225749,14.313851,0.039236,0.668618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.401894,0.994,0.00029071,31.5,3.930316
28,9.441978,2.271423,7.170555,14.203851,0.039199,0.666694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994,0.39415,0.9904,0.00028985,31.8,4.05311
29,9.349604,2.266648,7.082956,14.029225,0.039662,0.663598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.405379,0.9904,0.00028896,31.7,4.027095
30,9.276839,2.270082,7.006757,13.877315,0.039517,0.661232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0.417455,0.994,0.00028804,31.7,3.971354
31,9.21993,2.272361,6.947569,13.75932,0.039391,0.659395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.384647,0.9916,0.00028708,32.3,4.090888
32,9.125539,2.269721,6.855817,13.576355,0.039792,0.656505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0.415608,0.9952,0.00028608,31.9,4.010121
33,9.001202,2.261643,6.739559,13.344594,0.039184,0.653025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0.395216,0.9928,0.00028505,31.8,4.101707
34,9.0133,2.275745,6.737555,13.340557,0.040086,0.652722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.388371,0.994,0.00028398,31.6,4.120314
35,8.885317,2.269447,6.61587,13.097942,0.039453,0.649265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.424687,0.9964,0.00028288,31.6,4.010806
