epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
0,,,,,,,,,,,,,,,,,,,,,,6.758938,0.0024,,,-0.864837
1,7.732139,6.967852,0.764286,30.337533,0.340309,0.999436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,6.76262,0.0024,0.00010095,64.3,-0.939992
2,8.314812,6.815717,1.499095,29.746191,0.352232,1.002463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,6.731729,0.0024,0.00020095,32.7,-0.463137
3,9.012381,6.772515,2.239866,29.627179,0.369675,1.003662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,6.72253,0.0012,0.00030095,32.9,-0.334836
4,9.729143,6.758725,2.970418,29.466992,0.369976,1.00097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,6.712466,0.0024,0.00040095,32.4,-0.284008
5,10.423911,6.744671,3.67924,29.200437,0.347192,0.993806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,6.684321,0.0024,0.00050095,32.4,-0.658699
6,11.090341,6.711137,4.379204,28.966474,0.3113,0.985444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,6.638591,0.0024,0.00060095,32.3,-0.955307
7,11.661016,6.616862,5.044154,28.60199,0.268609,0.974435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,6.263788,0.0144,0.00070095,32.9,-1.127648
8,12.132753,6.441604,5.691149,28.24086,0.227284,0.960786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,6.188527,0.0084,0.00080095,32.1,-2.277175
9,12.523192,6.204349,6.318843,27.875219,0.189392,0.947938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063,6.796355,0.0072,0.00090095,32.2,-3.359099
10,12.913321,5.978923,6.934398,27.535633,0.150324,0.934635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0129,5.047341,0.0659,0.001,32.4,-1.101494
11,13.303487,5.764249,7.539237,27.218141,0.126167,0.923254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238,5.085994,0.042,0.00099997,32.2,-1.526945
12,13.704542,5.575473,8.129069,26.903127,0.110668,0.913499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0378,4.879094,0.0612,0.00099988,32.8,-1.760732
13,14.178284,5.437245,8.741039,26.704113,0.101108,0.906408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,4.531227,0.0995,0.00099974,32.2,-1.375915
14,14.573694,5.271326,9.302369,26.389421,0.092744,0.897508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0818,4.850994,0.0707,0.00099953,32.3,-1.871864
15,14.989818,5.127267,9.862551,26.113256,0.088214,0.890293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1153,3.97313,0.1918,0.00099927,32.1,-0.803971
16,15.455015,5.012029,10.442987,25.922184,0.08508,0.883873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1424,3.636603,0.2518,0.00099895,32.4,-0.730554
17,15.824937,4.866234,10.958704,25.60189,0.081511,0.875713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1955,3.89757,0.1583,0.00099856,32.7,-1.200327
18,16.227578,4.747256,11.480322,25.330643,0.076552,0.867649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2269,3.323754,0.3177,0.00099813,32.6,-0.576609
19,16.618404,4.622611,11.995793,25.074447,0.077466,0.860545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2701,3.438886,0.2338,0.00099763,32.0,-0.967366
20,16.94919,4.464123,12.485067,24.792104,0.074349,0.852979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3368,3.08709,0.3213,0.00099707,32.4,-0.638
21,16.638974,4.317229,12.321745,24.467476,0.070345,0.844898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3897,2.919791,0.4053,0.00099646,32.2,-0.371828
22,16.435706,4.225938,12.209768,24.24461,0.071058,0.839098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4164,2.593879,0.5036,0.00099579,32.5,-0.047951
23,16.177128,4.104797,12.072331,23.971194,0.069572,0.83256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4784,3.023793,0.3669,0.00099505,32.2,-0.583999
24,15.928973,3.984893,11.94408,23.716046,0.068428,0.826353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5278,2.97399,0.3213,0.00099427,32.3,-0.744685
25,15.692453,3.885083,11.80737,23.444015,0.067784,0.819731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5658,2.667824,0.4269,0.00099342,32.1,-0.379375
26,15.444557,3.772381,11.672175,23.174967,0.066642,0.813593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6131,1.957315,0.6703,0.00099252,32.0,0.462242
27,15.19313,3.670662,11.522468,22.877095,0.064873,0.806771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6562,2.054816,0.6835,0.00099155,32.1,0.578755
28,14.995758,3.586799,11.408959,22.651207,0.064006,0.801553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6937,2.075728,0.6619,0.00099053,32.4,0.52052
29,14.750036,3.482999,11.267037,22.368685,0.063635,0.795132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7241,1.623794,0.741,0.00098946,32.1,0.926693
30,14.539614,3.420092,11.119523,22.075,0.062503,0.788974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7451,1.737931,0.7206,0.00098832,32.5,0.788608
31,14.410207,3.357222,11.052985,21.942772,0.060928,0.785526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7747,1.637955,0.7854,0.00098713,32.3,1.077502
32,14.197749,3.291689,10.906061,21.650202,0.060008,0.779589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7933,1.247612,0.8657,0.00098588,32.5,1.587697
33,13.940264,3.201488,10.738776,21.317035,0.059101,0.773031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8305,1.287824,0.8681,0.00098458,32.4,1.466329
