epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,weighted_center,weighted_feature,weighted_relation,center_weight_effective,feature_weight_effective,relation_weight_effective,grad_norm_ce,grad_norm_center,grad_norm_feature,grad_norm_relation,adaptive_stage,icd_sdc_active,icd_positive_pairs,icd_bank_occupancy,icd_true_class_margin,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.754396,0.0024,,,-15.628503
1,2.732443,17.514047,0.981038,0.0,0.0,0.981038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.22857143,0.65437708,-14.9999256,0.001,11.611028,0.0012,0.00010095,26.6,-9.299015
2,2.51707,16.167958,0.900274,0.0,0.0,0.900274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-11.66912202,0.0015,8.200094,0.0024,0.00020095,25.9,-4.753597
3,2.513373,16.430277,0.870345,0.0,0.0,0.870345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-10.16108631,0.0009,7.222485,0.0012,0.00030095,26.5,-3.273768
4,2.630322,17.628763,0.867446,0.0,0.0,0.867446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-9.70811012,0.0004,7.186441,0.0012,0.00040095,26.4,-3.367988
5,2.777638,19.120728,0.865565,0.0,0.0,0.865565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-9.60446429,0.0006,6.8368,0.0048,0.00050095,26.2,-3.077425
6,2.906742,20.461243,0.860618,0.0,0.0,0.860618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-9.37924107,0.0006,6.987673,0.0072,0.00060095,26.5,-4.093411
7,3.01657,21.677676,0.848802,0.0,0.0,0.848802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-9.02682292,0.0006,6.304754,0.012,0.00070095,26.4,-3.05568
8,3.092991,22.61768,0.831223,0.0,0.0,0.831223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-8.41309524,0.0019,6.442442,0.024,0.00080095,26.4,-3.974162
9,3.170409,23.577071,0.812701,0.0,0.0,0.812701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-7.82332589,0.0028,5.805001,0.0408,0.00090095,26.5,-3.752117
10,3.231404,24.34554,0.79685,0.0,0.0,0.79685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-7.03493304,0.0046,5.273771,0.0635,0.001,26.6,-3.370358
