epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
8,0.215009,0.100767,1.243188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.219103,0.9856,5e-07,33.6
9,0.21193,0.093756,1.275492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.210373,0.9856,4.9e-07,25.7
10,0.210058,0.090072,1.289936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.202537,0.9844,4.9e-07,33.1
11,0.207111,0.08337,1.320779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.196123,0.9844,4.9e-07,32.9
12,0.206376,0.080476,1.339475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.19039,0.9844,4.8e-07,32.8
13,0.20356,0.076076,1.350914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.185664,0.9832,4.8e-07,32.8
14,0.2041,0.074644,1.369203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18137,0.9832,4.7e-07,33.3
15,0.203153,0.072361,1.380274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.177674,0.9832,4.6e-07,30.4
16,0.200358,0.06744,1.396621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17476,0.9832,4.6e-07,31.0
17,0.199401,0.064548,1.413074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.172316,0.9832,4.5e-07,33.3
18,0.199598,0.064481,1.415654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.170115,0.9832,4.4e-07,33.4
19,0.199116,0.062846,1.425544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.168184,0.9832,4.3e-07,37.8
20,0.198815,0.061059,1.438619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.166362,0.9832,4.2e-07,38.6
21,0.198811,0.060735,1.441492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.164914,0.9832,4.1e-07,37.8
22,0.198649,0.06012,1.445402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.163481,0.9832,4e-07,29.8
23,0.198318,0.058571,1.456049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.161906,0.9832,3.9e-07,37.6
24,0.198759,0.058679,1.459481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.160852,0.9832,3.8e-07,38.0
25,0.198613,0.05774,1.466464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.160194,0.9832,3.7e-07,39.1
26,0.197779,0.056792,1.466658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.159717,0.9832,3.6e-07,39.2
27,0.198497,0.057555,1.466977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.158994,0.9832,3.4e-07,39.1
28,0.198115,0.056946,1.468635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.158033,0.9832,3.3e-07,38.9
29,0.196737,0.054587,1.476089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.157522,0.9832,3.2e-07,42.0
30,0.198184,0.056092,1.477009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.156964,0.9832,3.1e-07,40.1
31,0.197276,0.054883,1.478813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.156468,0.9832,2.9e-07,39.5
32,0.197615,0.054947,1.481626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.156122,0.9832,2.8e-07,41.9
33,0.197724,0.055164,1.480761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.155663,0.9832,2.7e-07,41.1
34,0.197151,0.054089,1.484708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.155221,0.9832,2.6e-07,39.9
35,0.19754,0.053997,1.489424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.155185,0.9832,2.4e-07,42.4
36,0.196441,0.052726,1.489878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.155248,0.9832,2.3e-07,40.8
37,0.196375,0.052747,1.489035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.155148,0.9832,2.2e-07,39.8
38,0.195946,0.052025,1.491233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.154859,0.9832,2.1e-07,40.2
39,0.196896,0.052972,1.492209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.154814,0.9832,1.9e-07,37.0
40,0.196897,0.052858,1.493251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.154924,0.9832,1.8e-07,42.2
41,0.196418,0.053043,1.486793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.154579,0.9832,1.7e-07,39.7
42,0.197079,0.052964,1.494121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.154395,0.9832,1.6e-07,40.9
43,0.196907,0.05299,1.492156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.154303,0.9832,1.5e-07,41.1
44,0.196624,0.052992,1.489321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.154065,0.9832,1.4e-07,39.9
45,0.196513,0.052686,1.490957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.154136,0.9832,1.3e-07,39.2
46,0.197498,0.054159,1.487541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.153773,0.9832,1.2e-07,41.3
47,0.196426,0.052664,1.490287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.153806,0.9832,1.1e-07,40.5
48,0.196865,0.05255,1.4957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15372,0.9832,1e-07,33.2
49,0.196499,0.052141,1.495721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.153625,0.9832,9e-08,31.3
50,0.197193,0.052859,1.496198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.153641,0.9832,9e-08,24.8
51,0.195888,0.051317,1.497027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.153678,0.9832,8e-08,34.5
52,0.196349,0.052135,1.494273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.153596,0.9832,7e-08,34.4
53,0.196705,0.052523,1.494344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.153639,0.9832,7e-08,33.9
54,0.197132,0.053182,1.492684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.153629,0.9832,6e-08,33.0
55,0.196387,0.051853,1.497194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.153534,0.9832,6e-08,31.8
56,0.195983,0.050994,1.50088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.153575,0.9832,6e-08,32.2
57,0.196469,0.052746,1.489972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.153573,0.9832,5e-08,34.2
58,0.196035,0.051593,1.496017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.153483,0.9832,5e-08,34.4
59,0.195875,0.051849,1.492111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.153391,0.9832,5e-08,33.8
60,0.196519,0.052313,1.494369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.153384,0.9832,5e-08,32.3
