epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
1,0.179115,0.178745,0.252727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.30854,0.9832,2e-07,34.1
2,0.169397,0.168948,0.258885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29115,0.9844,4e-07,33.1
3,0.153769,0.153191,0.268651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.266787,0.9856,6e-07,31.8
4,0.13764,0.136886,0.287668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.239081,0.9856,8e-07,32.1
5,0.115519,0.11451,0.316331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.212422,0.9856,1e-06,33.2
6,0.099285,0.098056,0.343838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.190029,0.9856,1e-06,33.3
7,0.083193,0.081696,0.381145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.172608,0.9832,1e-06,33.4
8,0.073957,0.072281,0.407473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.159096,0.982,1e-06,32.0
9,0.065199,0.063312,0.440775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.148178,0.982,1e-06,30.0
10,0.061195,0.059177,0.46277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.138573,0.9808,1e-06,32.3
11,0.053797,0.05157,0.496977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.130761,0.9808,1e-06,32.6
12,0.048781,0.046387,0.5252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.123663,0.982,1e-06,32.1
13,0.044673,0.042151,0.546514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.118112,0.9808,1e-06,33.3
14,0.04204,0.039376,0.572219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.113114,0.9808,1e-06,29.3
15,0.038856,0.036047,0.597861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.108431,0.9808,1e-06,27.6
16,0.035193,0.032235,0.623722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.104681,0.9808,1e-06,32.5
17,0.032746,0.029648,0.649206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.101277,0.9808,1e-06,32.1
18,0.031261,0.028059,0.66846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.097937,0.9808,1e-06,32.1
19,0.029915,0.026592,0.691306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.095307,0.9808,1e-06,32.0
20,0.028128,0.024674,0.715376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.092762,0.9808,1e-06,32.5
21,0.026886,0.023309,0.738669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.090377,0.9808,1e-06,30.3
22,0.026079,0.022425,0.753348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.088247,0.9808,1e-06,29.7
23,0.024281,0.020497,0.777482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.086104,0.9808,1e-06,32.3
24,0.02299,0.019112,0.794704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.084329,0.9808,1e-06,32.4
25,0.023299,0.019317,0.815618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.082437,0.9808,1e-06,32.4
