epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
1,0.661827,0.170484,1.15317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.263315,0.9856,6.06e-06,45.7
2,0.649332,0.181169,1.117494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.283855,0.9868,1.206e-05,46.8
3,0.634871,0.211341,1.058402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.316039,0.988,1.806e-05,47.4
4,0.621733,0.244854,0.998611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.345907,0.9856,2.406e-05,46.4
5,0.612598,0.269654,0.955542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.364982,0.988,3e-05,47.3
6,0.606926,0.288508,0.925345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.375657,0.9844,2.999e-05,48.8
7,0.599291,0.296251,0.902332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.384683,0.982,2.998e-05,49.1
8,0.597883,0.307416,0.888351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3849,0.9868,2.995e-05,49.0
9,0.592532,0.305791,0.879274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.384495,0.9832,2.991e-05,49.0
10,0.590438,0.308781,0.872096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.388007,0.9844,2.986e-05,50.3
11,0.587516,0.310288,0.864744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.397923,0.9844,2.981e-05,48.8
12,0.585963,0.312991,0.858935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.391761,0.9856,2.974e-05,48.5
13,0.583881,0.311468,0.856294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.393369,0.9856,2.966e-05,39.5
14,0.581497,0.315944,0.84705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.393757,0.9856,2.956e-05,38.3
