epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
1,0.689901,0.14925,1.230552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.243174,0.9796,2.019e-05,39.6
2,0.653538,0.196809,1.110267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.301765,0.9832,4.019e-05,38.3
3,0.621043,0.266221,0.975865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.347901,0.9808,6.019e-05,38.3
4,0.607389,0.303185,0.911593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.371542,0.9832,8.019e-05,38.4
5,0.598076,0.316907,0.879245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.378221,0.9832,0.0001,31.9
6,0.589142,0.319008,0.859277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.37289,0.9808,9.999e-05,23.6
7,0.582567,0.321006,0.844128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.38894,0.9796,9.996e-05,35.7
8,0.577557,0.319026,0.836089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.382775,0.9832,9.991e-05,39.7
9,0.571584,0.317683,0.825484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.372667,0.982,9.984e-05,43.5
10,0.566359,0.311338,0.82138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.377903,0.982,9.975e-05,45.3
11,0.56131,0.311165,0.811454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.375377,0.9808,9.963e-05,46.2
12,0.560046,0.311545,0.808546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.387689,0.9796,9.95e-05,47.0
13,0.558061,0.314275,0.801846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.384896,0.9796,9.935e-05,47.3
14,0.553455,0.306102,0.800808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.376249,0.9796,9.918e-05,47.4
15,0.551276,0.307242,0.795311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37296,0.982,9.899e-05,47.3
16,0.548779,0.306441,0.791116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.377574,0.9784,9.877e-05,48.0
17,0.544481,0.302452,0.786509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.373171,0.9796,9.854e-05,47.0
18,0.544707,0.302899,0.786515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.369658,0.9784,9.829e-05,46.9
19,0.543799,0.305552,0.782046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.362765,0.982,9.802e-05,47.6
