epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
1,0.657373,0.176167,1.138578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.287511,0.9856,2.019e-05,30.4
2,0.630547,0.21808,1.043014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.335963,0.9868,4.019e-05,29.7
3,0.611405,0.272939,0.949871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.373551,0.9856,6.019e-05,29.5
4,0.600535,0.302303,0.898766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.376904,0.9844,8.019e-05,29.4
5,0.592807,0.312214,0.8734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.391879,0.9832,0.0001,29.2
6,0.588057,0.31898,0.857134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.390072,0.9832,9.999e-05,29.5
7,0.579412,0.316633,0.842191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.403607,0.9808,9.996e-05,29.4
8,0.577332,0.321198,0.833465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.391809,0.9856,9.991e-05,29.4
9,0.570774,0.314265,0.827283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.380117,0.9808,9.984e-05,29.6
10,0.567622,0.313044,0.822201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.388351,0.9844,9.975e-05,29.4
11,0.563359,0.312348,0.814371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.406902,0.9856,9.963e-05,29.4
12,0.560848,0.311894,0.809802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.386907,0.9868,9.95e-05,29.7
13,0.557487,0.307484,0.807491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.402638,0.9844,9.935e-05,29.4
14,0.554556,0.309934,0.799179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.383552,0.9844,9.918e-05,29.4
15,0.553279,0.307485,0.799072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.399592,0.9844,9.899e-05,29.1
16,0.55261,0.309752,0.795467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.378019,0.9856,9.877e-05,29.5
17,0.55003,0.308215,0.791846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.392842,0.9832,9.854e-05,29.5
18,0.546849,0.303161,0.790538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.38169,0.982,9.829e-05,30.0
19,0.547045,0.308052,0.786038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37691,0.9856,9.802e-05,29.1
20,0.542621,0.300671,0.784572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.380216,0.9856,9.773e-05,29.2
21,0.542584,0.301001,0.784167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.375178,0.9868,9.742e-05,29.2
22,0.54018,0.301491,0.778869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.382335,0.9832,9.709e-05,29.5
23,0.539314,0.30103,0.777598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.369226,0.9856,9.674e-05,29.4
24,0.537933,0.30065,0.775216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37236,0.9844,9.637e-05,31.7
25,0.536396,0.298023,0.774768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.357822,0.9868,9.599e-05,34.0
