epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
1,0.615177,0.33595,0.279227,0.0,0.0,0.0,0.0,0.0,0.2699,0.188802,0.279422,1.0,0.0,0.0,0.9998,0.370488,0.9904,1.01e-06,29.9
2,0.589442,0.284878,0.304564,0.0,0.0,0.0,0.0,0.0,0.29486,0.196224,0.290765,1.0,0.0,0.0,0.9998,0.331975,0.988,2.01e-06,27.8
3,0.586745,0.266852,0.319893,0.0,0.0,0.0,0.0,0.0,0.309898,0.198577,0.300089,1.0,0.0,0.0,0.9995,0.320983,0.9892,3.01e-06,28.5
4,0.578451,0.256955,0.321496,0.0,0.0,0.0,0.0,0.0,0.311381,0.199819,0.303839,1.0,0.0,0.0,0.9998,0.315779,0.9904,4.01e-06,27.3
5,0.572512,0.251862,0.32065,0.0,0.0,0.0,0.0,0.0,0.310523,0.199471,0.304308,1.0,0.0,0.0,0.9998,0.322288,0.9904,5e-06,26.6
6,0.571532,0.253443,0.31809,0.0,0.0,0.0,0.0,0.0,0.308029,0.203971,0.301354,1.0,0.0,0.0,0.9997,0.316886,0.9892,5e-06,25.9
7,0.569704,0.249027,0.320677,0.0,0.0,0.0,0.0,0.0,0.310509,0.199468,0.305691,1.0,0.0,0.0,0.9997,0.317542,0.9904,4.99e-06,26.0
8,0.567254,0.246176,0.321078,0.0,0.0,0.0,0.0,0.0,0.310913,0.203636,0.304896,1.0,0.0,0.0,0.9997,0.321228,0.9904,4.97e-06,30.5
9,0.563524,0.24736,0.316165,0.0,0.0,0.0,0.0,0.0,0.306298,0.198425,0.29581,1.0,0.0,0.0,0.9998,0.31761,0.9916,4.94e-06,29.9
10,0.571676,0.249816,0.32186,0.0,0.0,0.0,0.0,0.0,0.312039,0.202956,0.293538,1.0,0.0,0.0,0.9998,0.314901,0.9904,4.91e-06,30.6
11,0.565532,0.247677,0.317855,0.0,0.0,0.0,0.0,0.0,0.307894,0.198997,0.298843,1.0,0.0,0.0,0.9998,0.32149,0.9904,4.87e-06,25.8
12,0.567896,0.24818,0.319716,0.0,0.0,0.0,0.0,0.0,0.309692,0.199408,0.300892,1.0,0.0,0.0,0.9998,0.30678,0.9904,4.82e-06,30.9
13,0.566559,0.246471,0.320088,0.0,0.0,0.0,0.0,0.0,0.310057,0.200813,0.300888,1.0,0.0,0.0,0.9995,0.309912,0.9904,4.77e-06,31.2
14,0.562744,0.244227,0.318517,0.0,0.0,0.0,0.0,0.0,0.308418,0.200829,0.303171,1.0,0.0,0.0,0.9997,0.3145,0.9904,4.71e-06,31.1
15,0.568153,0.246272,0.321881,0.0,0.0,0.0,0.0,0.0,0.3117,0.198709,0.306244,1.0,0.0,0.0,1.0,0.317384,0.9916,4.64e-06,29.0
16,0.563346,0.24379,0.319556,0.0,0.0,0.0,0.0,0.0,0.309314,0.200617,0.307954,1.0,0.0,0.0,0.9997,0.318483,0.9916,4.57e-06,29.9
17,0.56487,0.24577,0.3191,0.0,0.0,0.0,0.0,0.0,0.308959,0.200719,0.304576,1.0,0.0,0.0,0.9998,0.312089,0.9916,4.49e-06,29.6
18,0.560422,0.241014,0.319408,0.0,0.0,0.0,0.0,0.0,0.309331,0.198854,0.30278,1.0,0.0,0.0,0.9997,0.314602,0.9916,4.41e-06,30.7
19,0.557818,0.241351,0.316466,0.0,0.0,0.0,0.0,0.0,0.306644,0.198805,0.294283,1.0,0.0,0.0,0.9998,0.310119,0.9916,4.32e-06,28.9
20,0.561485,0.242869,0.318616,0.0,0.0,0.0,0.0,0.0,0.308523,0.201514,0.302849,1.0,0.0,0.0,1.0,0.316139,0.9904,4.22e-06,28.6
21,0.561891,0.243797,0.318094,0.0,0.0,0.0,0.0,0.0,0.308105,0.202709,0.299198,1.0,0.0,0.0,1.0,0.310182,0.9916,4.12e-06,26.8
