epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
1,0.353528,0.340221,0.013307,0.0,0.0,0.0,0.665094,0.000107,0.0,0.0,0.0,0.0,0.003606,1.0,1.0,0.388098,0.9904,4e-07,21.9
2,0.316073,0.301914,0.014159,0.0,0.0,0.0,0.705144,0.001113,0.0,0.0,0.0,0.0,0.003155,1.000451,0.9995,0.330394,0.9892,8e-07,21.2
3,0.256707,0.240222,0.016485,0.0,0.0,0.0,0.822692,0.000616,0.0,0.0,0.0,0.0,0.002404,1.0003,0.9997,0.262968,0.988,1.2e-06,21.4
4,0.205484,0.184905,0.020579,0.0,0.0,0.0,1.028706,0.000102,0.0,0.0,0.0,0.0,0.002404,1.0,1.0,0.206623,0.9892,1.6e-06,21.3
5,0.171144,0.146105,0.025039,0.0,0.0,0.0,1.249726,0.000887,0.0,0.0,0.0,0.0,0.003005,1.0003,0.9997,0.16702,0.9892,2e-06,22.7
6,0.141864,0.111549,0.030315,0.0,0.0,0.0,1.513151,0.001031,0.0,0.0,0.0,0.0,0.002855,1.000451,0.9995,0.141556,0.9892,2e-06,26.0
7,0.129909,0.095093,0.034816,0.0,0.0,0.0,1.738554,0.0009,0.0,0.0,0.0,0.0,0.002103,1.0003,0.9997,0.126196,0.9892,1.99e-06,30.4
8,0.123902,0.085306,0.038596,0.0,0.0,0.0,1.925116,0.001868,0.0,0.0,0.0,0.0,0.002404,1.000451,0.9995,0.115215,0.9892,1.97e-06,28.3
9,0.118029,0.076262,0.041767,0.0,0.0,0.0,2.082771,0.002225,0.0,0.0,0.0,0.0,0.002855,1.000751,0.9992,0.107899,0.9892,1.94e-06,29.4
10,0.113745,0.070199,0.043546,0.0,0.0,0.0,2.173023,0.001718,0.0,0.0,0.0,0.0,0.003155,1.000901,0.9991,0.103676,0.988,1.91e-06,30.2
11,0.109079,0.062454,0.046626,0.0,0.0,0.0,2.330649,0.000256,0.0,0.0,0.0,0.0,0.001803,1.0,1.0,0.098842,0.9892,1.87e-06,29.5
12,0.109112,0.061078,0.048034,0.0,0.0,0.0,2.399955,0.000697,0.0,0.0,0.0,0.0,0.001803,1.000451,0.9995,0.096385,0.9892,1.83e-06,27.7
13,0.106692,0.057128,0.049564,0.0,0.0,0.0,2.477913,0.000113,0.0,0.0,0.0,0.0,0.002404,1.0,1.0,0.093846,0.9892,1.78e-06,26.7
