epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
1,0.927716,0.189148,1.666284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.285138,0.9856,2.019e-05,35.4
2,0.850301,0.338761,1.361841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.436315,0.9856,4.019e-05,31.8
3,0.815681,0.422675,1.208686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992,0.444142,0.9868,6.019e-05,31.9
4,0.80449,0.452431,1.15655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.502773,0.9868,8.019e-05,34.4
5,0.791439,0.462132,1.120747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.465118,0.9868,0.0001,34.7
6,0.782942,0.473752,1.092132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994,0.467146,0.988,9.999e-05,33.1
7,0.773007,0.471431,1.074582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994,0.503763,0.9856,9.996e-05,30.1
8,0.768273,0.476601,1.059944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.485232,0.9868,9.991e-05,34.4
9,0.763039,0.475453,1.050626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.473434,0.9904,9.984e-05,35.7
10,0.757813,0.475605,1.040021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992,0.484409,0.9904,9.975e-05,34.3
11,0.756761,0.477796,1.035727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.479292,0.988,9.963e-05,29.1
12,0.751566,0.473714,1.029418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.478044,0.9892,9.95e-05,32.3
13,0.748636,0.473113,1.02416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.463731,0.9892,9.935e-05,37.9
