epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
1,0.557715,0.389271,0.950751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.39566,0.988,2.02e-06,22.4
2,0.554471,0.375885,0.971172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991,0.370214,0.988,4.02e-06,21.7
3,0.543809,0.347856,1.001032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.349685,0.988,6.02e-06,21.7
4,0.536812,0.323974,1.033432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.331783,0.988,8.02e-06,21.6
5,0.535745,0.309786,1.062982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.30598,0.988,1e-05,21.6
6,0.52877,0.288217,1.090061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.296891,0.988,1e-05,22.4
7,0.527182,0.277879,1.10889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.288673,0.9892,9.98e-06,28.0
8,0.52605,0.27281,1.116941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.281565,0.9868,9.96e-06,26.7
9,0.524648,0.265572,1.129159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992,0.274338,0.988,9.94e-06,29.4
10,0.524752,0.263533,1.134264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.273837,0.988,9.9e-06,26.5
11,0.52177,0.255357,1.143401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.272409,0.988,9.86e-06,25.9
12,0.521872,0.25381,1.147352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.263762,0.988,9.81e-06,25.7
13,0.521435,0.250008,1.154763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.262823,0.988,9.75e-06,25.8
14,0.521834,0.250591,1.154735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.266417,0.988,9.68e-06,30.0
15,0.519883,0.24591,1.159153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991,0.261089,0.988,9.61e-06,30.0
16,0.519615,0.244064,1.162566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.263838,0.988,9.53e-06,29.7
17,0.519598,0.244502,1.161488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994,0.262592,0.988,9.44e-06,26.4
18,0.519248,0.241945,1.166287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991,0.257933,0.988,9.35e-06,30.1
19,0.522501,0.246207,1.167186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.257094,0.988,9.25e-06,30.7
20,0.521745,0.244118,1.169541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.252479,0.988,9.14e-06,30.2
21,0.520241,0.241767,1.170014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.251048,0.988,9.03e-06,29.4
22,0.519714,0.240405,1.171437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.255852,0.9904,8.91e-06,29.1
23,0.518287,0.237737,1.172903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.255477,0.988,8.78e-06,29.6
24,0.516433,0.234133,1.175135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.250473,0.988,8.65e-06,29.7
25,0.516128,0.23225,1.17851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.250773,0.988,8.51e-06,29.5
26,0.519632,0.239551,1.173154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.249946,0.988,8.37e-06,26.8
