epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
18,0.924219,0.712275,1.136163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9958,0.935726,0.9652,0.00029673,46.2
1,1.198789,0.348996,2.048582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976,0.562537,0.9736,6.058e-05,48.9
19,0.915229,0.701829,1.12863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947,0.657986,0.9796,0.00029621,45.4
2,1.062956,0.64533,1.480581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9964,0.618093,0.9784,0.00012058,47.8
20,0.913457,0.704408,1.122506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9959,0.75674,0.9676,0.00029566,40.7
3,1.030401,0.706239,1.354563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9971,0.636708,0.976,0.00018058,47.9
21,0.911735,0.702536,1.120933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9949,0.704003,0.9712,0.00029506,39.1
4,1.008966,0.729081,1.28885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9973,0.671054,0.9736,0.00024058,46.9
22,0.909556,0.703868,1.115244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9949,0.758038,0.9688,0.00029443,42.9
5,0.999499,0.743119,1.255879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9961,0.701214,0.9808,0.0003,46.7
23,0.905683,0.698243,1.113123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9959,0.740189,0.9724,0.00029376,42.8
6,0.989392,0.745786,1.232997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9962,0.685054,0.9736,0.00029998,48.1
24,0.90222,0.69332,1.111119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9956,0.708537,0.9784,0.00029305,44.8
7,0.98046,0.74653,1.214391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9965,0.703828,0.976,0.00029992,49.6
25,0.902839,0.70199,1.103688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9935,0.672909,0.9736,0.00029231,46.8
8,0.967349,0.734751,1.199948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9952,0.700671,0.982,0.00029983,45.8
26,0.896612,0.69277,1.100454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.619008,0.976,0.00029153,47.9
9,0.962058,0.734627,1.189488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9967,0.619341,0.9844,0.00029969,49.2
27,0.902619,0.702718,1.10252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9955,0.572672,0.9832,0.00029071,48.3
10,0.953443,0.727279,1.179607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9965,0.744909,0.9736,0.00029952,47.5
28,0.891754,0.685978,1.097531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9946,0.745171,0.9724,0.00028985,49.6
11,0.950372,0.724569,1.176176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9961,0.735668,0.9736,0.0002993,47.2
29,0.890964,0.690101,1.091828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947,0.654462,0.9748,0.00028896,48.3
12,0.946215,0.725235,1.167196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9968,0.623264,0.982,0.00029905,46.7
13,0.941993,0.725864,1.158123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953,0.625979,0.9832,0.00029876,39.1
14,0.938218,0.721777,1.154659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9971,0.725348,0.9796,0.00029843,40.9
15,0.932132,0.715964,1.148299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953,0.684044,0.9772,0.00029806,40.8
16,0.930264,0.716447,1.144081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953,0.619076,0.9808,0.00029766,40.6
17,0.919828,0.704117,1.135539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9971,0.793623,0.97,0.00029721,42.7
18,0.924219,0.712275,1.136163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9958,0.935726,0.9652,0.00029673,46.1
19,0.915229,0.701829,1.12863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947,0.657986,0.9796,0.00029621,42.5
20,0.913457,0.704408,1.122506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9959,0.75674,0.9676,0.00029566,43.9
21,0.911735,0.702536,1.120933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9949,0.704003,0.9712,0.00029506,45.9
22,0.909556,0.703868,1.115244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9949,0.758038,0.9688,0.00029443,46.5
23,0.905683,0.698243,1.113123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9959,0.740189,0.9724,0.00029376,48.0
24,0.90222,0.69332,1.111119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9956,0.708537,0.9784,0.00029305,47.0
25,0.902839,0.70199,1.103688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9935,0.672909,0.9736,0.00029231,45.6
26,0.896612,0.69277,1.100454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.619008,0.976,0.00029153,48.6
27,0.902619,0.702718,1.10252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9955,0.572672,0.9832,0.00029071,46.6
28,0.891754,0.685978,1.097531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9946,0.745171,0.9724,0.00028985,45.8
29,0.890964,0.690101,1.091828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947,0.654462,0.9748,0.00028896,47.6
30,0.891641,0.686922,1.09636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9955,0.625553,0.9748,0.00028804,44.9
31,0.893055,0.691275,1.094834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9955,0.693424,0.9748,0.00028708,45.6
32,0.889021,0.691943,1.086099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9956,0.59297,0.982,0.00028608,46.8
33,0.888965,0.69475,1.08318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9952,0.698067,0.9736,0.00028505,47.1
34,0.8837,0.683262,1.084138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941,0.655702,0.9808,0.00028398,47.0
35,0.878854,0.680715,1.076992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9955,0.577307,0.9808,0.00028288,48.1
36,0.885627,0.691239,1.080016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9946,0.819351,0.9628,0.00028174,47.9
37,0.886074,0.692947,1.079201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953,0.570065,0.9772,0.00028057,46.1
38,0.882411,0.686227,1.078594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9961,0.636527,0.9772,0.00027936,48.1
39,0.875041,0.67887,1.071211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947,0.608719,0.9796,0.00027813,47.1
40,0.878681,0.683903,1.07346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9929,0.667809,0.982,0.00027686,45.5
41,0.878674,0.688194,1.069153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994,0.719245,0.9736,0.00027555,42.3
42,0.870745,0.677552,1.063938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9943,0.684297,0.9832,0.00027422,47.8
43,0.875085,0.686185,1.063985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947,0.597325,0.9712,0.00027285,47.2
44,0.872788,0.681563,1.064012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9943,0.54725,0.982,0.00027145,46.1
45,0.874403,0.685049,1.063757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9949,0.626161,0.9808,0.00027002,49.0
46,0.872586,0.682139,1.063034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9944,0.543563,0.9856,0.00026855,46.9
47,0.872034,0.683212,1.060855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.551511,0.9856,0.00026706,48.2
48,0.868844,0.677615,1.060073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941,0.860332,0.964,0.00026554,48.0
49,0.872663,0.684442,1.060884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9937,0.556571,0.9808,0.00026398,48.2
50,0.866028,0.676069,1.055988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9958,0.630634,0.9688,0.0002624,47.2
51,0.871244,0.686245,1.056243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9937,0.624177,0.9784,0.00026079,48.6
52,0.862658,0.673043,1.052272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.546245,0.982,0.00025915,46.3
53,0.869993,0.685134,1.054852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9938,0.552784,0.982,0.00025748,44.5
54,0.865594,0.676183,1.055005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953,0.568459,0.9808,0.00025579,49.2
55,0.869003,0.686819,1.051186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9938,0.552,0.9832,0.00025406,46.4
56,0.865186,0.682749,1.047622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9946,0.548597,0.9844,0.00025231,46.2
57,0.860114,0.675009,1.045219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9935,0.529837,0.9808,0.00025054,48.6
58,0.862239,0.67964,1.044838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9922,0.590821,0.982,0.00024873,46.7
59,0.862433,0.677592,1.047274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9926,0.583227,0.9856,0.0002469,48.0
60,0.859867,0.676685,1.043048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9949,0.50538,0.9832,0.00024505,48.0
