epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
1,0.695042,0.149513,1.240571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.244497,0.9796,2.019e-05,18.6
2,0.657258,0.19891,1.115605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.305105,0.982,4.019e-05,18.1
3,0.624134,0.269757,0.978512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.351036,0.9808,6.019e-05,17.9
4,0.610427,0.306752,0.914101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.375574,0.9832,8.019e-05,17.5
5,0.601124,0.320386,0.881861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.380874,0.9832,0.0001,18.1
6,0.592229,0.322581,0.861877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.376507,0.982,9.999e-05,17.4
7,0.585647,0.324564,0.846729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.392727,0.9796,9.996e-05,18.3
8,0.580729,0.322682,0.838775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.385546,0.9832,9.991e-05,18.0
9,0.574737,0.321404,0.828069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.376301,0.982,9.984e-05,16.9
10,0.569581,0.315042,0.82412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.381629,0.982,9.975e-05,17.6
11,0.564521,0.314864,0.814178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.379239,0.9808,9.963e-05,18.0
12,0.563275,0.315333,0.811217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.391373,0.9796,9.95e-05,18.2
13,0.561307,0.318019,0.804595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.391306,0.9796,9.935e-05,18.0
14,0.556737,0.309786,0.803688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.378425,0.9796,9.918e-05,18.3
15,0.554561,0.311036,0.798085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.377301,0.9808,9.899e-05,18.0
16,0.552035,0.310208,0.793862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.383235,0.9784,9.877e-05,17.6
17,0.547775,0.30622,0.789329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.376573,0.9796,9.854e-05,18.3
18,0.547997,0.306567,0.789426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.374695,0.9784,9.829e-05,17.7
19,0.547127,0.309366,0.784887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.367243,0.982,9.802e-05,17.3
20,0.542085,0.30324,0.78093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.383616,0.9808,9.773e-05,16.1
21,0.538076,0.298625,0.777527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.356983,0.982,9.742e-05,18.4
22,0.540569,0.304678,0.77646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.348841,0.9832,9.709e-05,18.2
23,0.538159,0.30224,0.774078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.355858,0.9832,9.674e-05,18.3
24,0.536199,0.300627,0.77177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.360693,0.9796,9.637e-05,18.3
25,0.534282,0.300021,0.768544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.361431,0.9796,9.599e-05,19.3
26,0.533403,0.298743,0.768064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.363174,0.982,9.558e-05,17.7
27,0.531903,0.297493,0.766312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.352344,0.9832,9.516e-05,18.5
28,0.531693,0.298088,0.765299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.347045,0.9832,9.472e-05,18.7
29,0.530529,0.299071,0.761987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.345634,0.982,9.426e-05,17.6
30,0.527307,0.295713,0.758901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.337738,0.9832,9.378e-05,18.4
31,0.524359,0.289096,0.759621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.349185,0.9832,9.328e-05,18.5
32,0.525035,0.296393,0.753677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.34881,0.982,9.277e-05,17.9
33,0.521057,0.288617,0.753496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.353,0.982,9.224e-05,18.1
34,0.521956,0.291704,0.752208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.363638,0.982,9.169e-05,18.4
35,0.518457,0.286291,0.750623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.336508,0.9832,9.113e-05,18.3
36,0.521658,0.293237,0.750079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.34394,0.9844,9.055e-05,17.2
37,0.516367,0.284942,0.747792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.337187,0.9832,8.995e-05,17.4
38,0.51639,0.28705,0.74573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.349748,0.9832,8.933e-05,17.8
39,0.516769,0.291258,0.742279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.348291,0.9832,8.87e-05,18.2
40,0.515452,0.288406,0.742497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.341529,0.9832,8.806e-05,18.2
41,0.5157,0.289186,0.742214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.328745,0.9856,8.74e-05,17.4
42,0.51377,0.287033,0.740506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.354869,0.9832,8.672e-05,16.4
43,0.51152,0.28441,0.73863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.344704,0.9832,8.603e-05,16.7
44,0.512553,0.286909,0.738198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.325182,0.9832,8.532e-05,18.7
45,0.511154,0.284941,0.737368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.335364,0.9832,8.46e-05,17.7
46,0.511326,0.286639,0.736012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.330303,0.9832,8.387e-05,18.4
47,0.50982,0.286299,0.73334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.347552,0.9844,8.312e-05,17.1
48,0.508855,0.284892,0.732817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.32426,0.9832,8.236e-05,18.1
49,0.509717,0.285094,0.734341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.338168,0.9832,8.159e-05,18.5
50,0.506285,0.281592,0.730977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.325134,0.9844,8.08e-05,18.6
51,0.505934,0.282099,0.729769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.337256,0.9844,8e-05,18.4
52,0.508847,0.288198,0.729497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.333982,0.9832,7.919e-05,18.4
53,0.505385,0.2807,0.73007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.323078,0.9844,7.836e-05,18.3
54,0.506252,0.28409,0.728415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.327735,0.9856,7.753e-05,17.6
55,0.505896,0.283664,0.728128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.320418,0.9856,7.668e-05,18.5
56,0.503287,0.28036,0.726215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.329012,0.9844,7.583e-05,18.3
57,0.505156,0.283898,0.726415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.324328,0.9856,7.496e-05,18.5
58,0.50241,0.280818,0.724003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.32504,0.9868,7.408e-05,18.2
59,0.503416,0.283747,0.723085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.321836,0.9856,7.32e-05,18.9
60,0.503411,0.281898,0.724923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.323255,0.9844,7.23e-05,18.3
61,0.50371,0.284659,0.722761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.309587,0.9856,7.139e-05,18.3
62,0.502182,0.281033,0.723331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.329102,0.9844,7.048e-05,18.4
63,0.504577,0.287784,0.721369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.31083,0.9844,6.956e-05,18.4
64,0.502718,0.282858,0.722579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.326855,0.9832,6.863e-05,18.5
65,0.502224,0.282033,0.722415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.310813,0.9856,6.769e-05,18.2
66,0.503623,0.285771,0.721474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.318156,0.9844,6.675e-05,18.6
67,0.50095,0.280288,0.721611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.303403,0.9856,6.58e-05,17.1
68,0.500436,0.280634,0.720238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.317811,0.9844,6.484e-05,18.2
69,0.503315,0.286092,0.720538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.308177,0.9856,6.388e-05,18.3
70,0.500968,0.283535,0.718401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.311394,0.9856,6.291e-05,18.7
71,0.50127,0.283122,0.719418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.302481,0.9844,6.193e-05,18.2
72,0.501275,0.28388,0.718671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.306685,0.9856,6.096e-05,17.6
73,0.498994,0.279322,0.718666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.304998,0.9856,5.997e-05,18.1
74,0.497502,0.278108,0.716897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.303408,0.9856,5.899e-05,18.1
75,0.500596,0.284825,0.716367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.306624,0.9844,5.8e-05,17.7
76,0.499423,0.28231,0.716536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.300146,0.9856,5.7e-05,18.4
77,0.498587,0.28072,0.716454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.307533,0.9856,5.601e-05,17.5
78,0.500445,0.28487,0.71602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.296663,0.9868,5.501e-05,18.1
79,0.497757,0.278433,0.717081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.301687,0.9868,5.401e-05,16.2
80,0.496947,0.279562,0.714333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.323885,0.9844,5.301e-05,17.8
81,0.499492,0.283941,0.715043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.299645,0.9856,5.2e-05,17.8
82,0.500795,0.287292,0.714297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.308851,0.9856,5.1e-05,18.6
83,0.498212,0.280766,0.715659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.301723,0.9844,5e-05,17.7
84,0.496957,0.280029,0.713885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.320521,0.9868,4.9e-05,17.6
85,0.500392,0.288491,0.712293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.30451,0.9844,4.799e-05,17.4
86,0.497352,0.279927,0.714776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.312567,0.9856,4.699e-05,17.7
87,0.498075,0.282344,0.713806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.311453,0.9844,4.599e-05,18.1
88,0.49647,0.279449,0.713491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.300904,0.9868,4.499e-05,17.2
89,0.498176,0.282212,0.714139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.302294,0.9856,4.4e-05,18.1
