epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
1,0.292795,0.159452,0.133343,0.0,0.0,0.0,0.0,0.0,0.231688,0.202287,0.309516,1.0,0.0,0.0,0.9998,0.282017,0.9856,1e-08,23.0
2,0.290327,0.15697,0.133358,0.0,0.0,0.0,0.0,0.0,0.231407,0.200435,0.312996,1.0,0.0,0.0,0.9997,0.281447,0.9856,2e-08,22.5
3,0.293892,0.160082,0.133811,0.0,0.0,0.0,0.0,0.0,0.233006,0.199322,0.306281,1.0,0.0,0.0,1.0,0.280458,0.9856,3e-08,22.2
4,0.290885,0.156848,0.134037,0.0,0.0,0.0,0.0,0.0,0.233265,0.203248,0.307444,1.0,0.0,0.0,1.0,0.279195,0.9856,4e-08,22.7
5,0.289339,0.154819,0.13452,0.0,0.0,0.0,0.0,0.0,0.234065,0.205366,0.308672,1.0,0.0,0.0,1.0,0.277578,0.9856,5e-08,22.4
6,0.291463,0.155287,0.136176,0.0,0.0,0.0,0.0,0.0,0.236461,0.204574,0.317988,1.0,0.0,0.0,1.0,0.2759,0.9856,5e-08,22.3
7,0.292303,0.154767,0.137536,0.0,0.0,0.0,0.0,0.0,0.2388,0.204653,0.32179,1.0,0.0,0.0,0.9998,0.274402,0.9856,5e-08,22.5
8,0.291525,0.153568,0.137957,0.0,0.0,0.0,0.0,0.0,0.239916,0.205628,0.318859,1.0,0.0,0.0,1.0,0.272848,0.9856,5e-08,22.5
9,0.290283,0.152553,0.137731,0.0,0.0,0.0,0.0,0.0,0.239193,0.206801,0.321321,1.0,0.0,0.0,1.0,0.271312,0.9856,5e-08,22.4
10,0.287999,0.150628,0.137371,0.0,0.0,0.0,0.0,0.0,0.238834,0.207351,0.317603,1.0,0.0,0.0,1.0,0.269838,0.9856,5e-08,22.5
11,0.286039,0.148182,0.137857,0.0,0.0,0.0,0.0,0.0,0.239487,0.20818,0.320645,1.0,0.0,0.0,0.9998,0.268415,0.9856,5e-08,22.7
12,0.285755,0.146606,0.139149,0.0,0.0,0.0,0.0,0.0,0.242324,0.207072,0.318331,1.0,0.0,0.0,0.9998,0.267133,0.9856,5e-08,22.3
13,0.288553,0.148609,0.139944,0.0,0.0,0.0,0.0,0.0,0.243347,0.206723,0.324069,1.0,0.0,0.0,1.0,0.265838,0.9856,5e-08,22.7
14,0.286825,0.146032,0.140793,0.0,0.0,0.0,0.0,0.0,0.244379,0.210886,0.329901,1.0,0.0,0.0,1.0,0.264687,0.9856,5e-08,22.4
15,0.286526,0.145618,0.140908,0.0,0.0,0.0,0.0,0.0,0.245396,0.210495,0.322106,1.0,0.0,0.0,1.0,0.263483,0.9856,5e-08,22.0
16,0.285643,0.145144,0.140498,0.0,0.0,0.0,0.0,0.0,0.244497,0.20994,0.323013,1.0,0.0,0.0,1.0,0.262449,0.9856,5e-08,22.5
17,0.282729,0.140063,0.142666,0.0,0.0,0.0,0.0,0.0,0.247401,0.211448,0.337028,1.0,0.0,0.0,1.0,0.261485,0.9856,5e-08,22.8
18,0.284589,0.142457,0.142132,0.0,0.0,0.0,0.0,0.0,0.246536,0.213329,0.33462,1.0,0.0,0.0,1.0,0.260488,0.9856,4e-08,22.9
19,0.283791,0.14053,0.143261,0.0,0.0,0.0,0.0,0.0,0.248755,0.215487,0.334581,1.0,0.0,0.0,1.0,0.259567,0.9856,4e-08,22.6
20,0.281894,0.137966,0.143928,0.0,0.0,0.0,0.0,0.0,0.250825,0.214336,0.327438,1.0,0.0,0.0,1.0,0.258741,0.9856,4e-08,23.1
21,0.283563,0.140188,0.143375,0.0,0.0,0.0,0.0,0.0,0.249459,0.214769,0.329959,1.0,0.0,0.0,1.0,0.257942,0.9856,4e-08,23.4
22,0.282001,0.138376,0.143625,0.0,0.0,0.0,0.0,0.0,0.249649,0.213541,0.333298,1.0,0.0,0.0,1.0,0.257153,0.9856,4e-08,24.3
23,0.285676,0.141264,0.144411,0.0,0.0,0.0,0.0,0.0,0.251549,0.215267,0.329681,1.0,0.0,0.0,1.0,0.25635,0.9856,4e-08,24.5
24,0.283807,0.138657,0.145149,0.0,0.0,0.0,0.0,0.0,0.252456,0.215294,0.335367,1.0,0.0,0.0,1.0,0.255633,0.9856,4e-08,25.3
25,0.283514,0.13879,0.144724,0.0,0.0,0.0,0.0,0.0,0.252191,0.216769,0.32922,1.0,0.0,0.0,1.0,0.255025,0.9856,4e-08,25.6
26,0.282489,0.136787,0.145702,0.0,0.0,0.0,0.0,0.0,0.253897,0.216797,0.331709,1.0,0.0,0.0,1.0,0.254313,0.9856,4e-08,21.9
27,0.284614,0.138813,0.145801,0.0,0.0,0.0,0.0,0.0,0.253972,0.213095,0.333677,1.0,0.0,0.0,1.0,0.253699,0.9856,4e-08,20.9
28,0.283119,0.137035,0.146084,0.0,0.0,0.0,0.0,0.0,0.253753,0.217558,0.340634,1.0,0.0,0.0,1.0,0.253093,0.9856,4e-08,21.0
29,0.284583,0.138412,0.146171,0.0,0.0,0.0,0.0,0.0,0.254249,0.213982,0.338136,1.0,0.0,0.0,1.0,0.252459,0.9856,3e-08,20.9
30,0.281497,0.135751,0.145746,0.0,0.0,0.0,0.0,0.0,0.25334,0.21697,0.338133,1.0,0.0,0.0,1.0,0.25193,0.9856,3e-08,21.0
31,0.281867,0.13438,0.147487,0.0,0.0,0.0,0.0,0.0,0.257375,0.21986,0.332016,1.0,0.0,0.0,1.0,0.251484,0.9856,3e-08,21.0
32,0.282868,0.135662,0.147206,0.0,0.0,0.0,0.0,0.0,0.25594,0.218399,0.341034,1.0,0.0,0.0,1.0,0.251056,0.9856,3e-08,21.0
33,0.283194,0.13535,0.147844,0.0,0.0,0.0,0.0,0.0,0.257568,0.21806,0.337597,1.0,0.0,0.0,1.0,0.250675,0.9856,3e-08,21.0
34,0.282582,0.135257,0.147325,0.0,0.0,0.0,0.0,0.0,0.256776,0.21771,0.335185,1.0,0.0,0.0,1.0,0.250217,0.9856,3e-08,20.9
35,0.284415,0.135897,0.148518,0.0,0.0,0.0,0.0,0.0,0.258343,0.218967,0.343142,1.0,0.0,0.0,1.0,0.249812,0.9856,3e-08,21.0
36,0.2805,0.13155,0.14895,0.0,0.0,0.0,0.0,0.0,0.259296,0.218247,0.34239,1.0,0.0,0.0,1.0,0.249505,0.9856,3e-08,21.1
37,0.284896,0.136267,0.148629,0.0,0.0,0.0,0.0,0.0,0.258808,0.220683,0.340359,1.0,0.0,0.0,0.9998,0.249153,0.9856,2e-08,20.9
38,0.2814,0.132778,0.148622,0.0,0.0,0.0,0.0,0.0,0.258838,0.221004,0.339853,1.0,0.0,0.0,1.0,0.248872,0.9856,2e-08,20.8
39,0.281547,0.13266,0.148887,0.0,0.0,0.0,0.0,0.0,0.259309,0.219194,0.340805,1.0,0.0,0.0,1.0,0.24864,0.9856,2e-08,21.0
40,0.280861,0.131375,0.149486,0.0,0.0,0.0,0.0,0.0,0.25995,0.221329,0.345961,1.0,0.0,0.0,1.0,0.248432,0.9856,2e-08,20.8
41,0.280362,0.131173,0.149189,0.0,0.0,0.0,0.0,0.0,0.260039,0.21805,0.339786,1.0,0.0,0.0,1.0,0.248194,0.9856,2e-08,21.0
42,0.282279,0.132065,0.150214,0.0,0.0,0.0,0.0,0.0,0.261511,0.221736,0.344822,1.0,0.0,0.0,1.0,0.247991,0.9856,2e-08,21.0
43,0.280561,0.13073,0.149831,0.0,0.0,0.0,0.0,0.0,0.261086,0.221243,0.341518,1.0,0.0,0.0,1.0,0.247779,0.9856,2e-08,20.9
44,0.281194,0.13163,0.149564,0.0,0.0,0.0,0.0,0.0,0.260207,0.222725,0.344673,1.0,0.0,0.0,1.0,0.247595,0.9856,2e-08,20.8
45,0.281116,0.131151,0.149965,0.0,0.0,0.0,0.0,0.0,0.261182,0.218535,0.343783,1.0,0.0,0.0,1.0,0.247428,0.9856,2e-08,21.0
46,0.281222,0.132849,0.148373,0.0,0.0,0.0,0.0,0.0,0.258464,0.218545,0.339103,1.0,0.0,0.0,1.0,0.247237,0.9856,2e-08,21.1
47,0.283819,0.133102,0.150717,0.0,0.0,0.0,0.0,0.0,0.262711,0.221082,0.343016,1.0,0.0,0.0,1.0,0.247043,0.9856,2e-08,21.0
48,0.280266,0.130124,0.150142,0.0,0.0,0.0,0.0,0.0,0.261421,0.2212,0.344387,1.0,0.0,0.0,1.0,0.246914,0.9856,1e-08,21.0
49,0.281295,0.131054,0.150241,0.0,0.0,0.0,0.0,0.0,0.261031,0.221755,0.35016,1.0,0.0,0.0,1.0,0.246801,0.9856,1e-08,20.9
50,0.280516,0.131193,0.149323,0.0,0.0,0.0,0.0,0.0,0.260387,0.220492,0.338489,1.0,0.0,0.0,1.0,0.246671,0.9856,1e-08,21.0
51,0.279627,0.12876,0.150868,0.0,0.0,0.0,0.0,0.0,0.262746,0.221918,0.345509,1.0,0.0,0.0,1.0,0.246604,0.9856,1e-08,21.0
52,0.282394,0.133324,0.149069,0.0,0.0,0.0,0.0,0.0,0.260146,0.22106,0.335711,1.0,0.0,0.0,1.0,0.24646,0.9856,1e-08,20.8
53,0.28232,0.130745,0.151575,0.0,0.0,0.0,0.0,0.0,0.263771,0.219402,0.349919,1.0,0.0,0.0,1.0,0.246352,0.9856,1e-08,20.9
54,0.282118,0.13117,0.150947,0.0,0.0,0.0,0.0,0.0,0.263176,0.223244,0.342539,1.0,0.0,0.0,1.0,0.24625,0.9856,1e-08,21.0
55,0.279293,0.128656,0.150637,0.0,0.0,0.0,0.0,0.0,0.262685,0.224277,0.341024,0.99985,0.0,0.0,1.0,0.246164,0.9856,1e-08,21.0
56,0.278369,0.128561,0.149808,0.0,0.0,0.0,0.0,0.0,0.261041,0.222425,0.341277,1.0,0.0,0.0,1.0,0.246084,0.9856,1e-08,20.9
57,0.283387,0.132664,0.150723,0.0,0.0,0.0,0.0,0.0,0.262787,0.221396,0.342301,1.0,0.0,0.0,1.0,0.245973,0.9856,1e-08,20.8
58,0.28101,0.129722,0.151288,0.0,0.0,0.0,0.0,0.0,0.263343,0.222225,0.347877,1.0,0.0,0.0,1.0,0.245895,0.9856,1e-08,20.7
59,0.279516,0.129055,0.150461,0.0,0.0,0.0,0.0,0.0,0.26228,0.219387,0.342546,1.0,0.0,0.0,1.0,0.245814,0.9856,1e-08,20.8
60,0.281657,0.130631,0.151026,0.0,0.0,0.0,0.0,0.0,0.263246,0.222581,0.343551,1.0,0.0,0.0,1.0,0.245735,0.9856,1e-08,20.8
