epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
1,0.310077,0.185217,0.12486,0.0,0.0,0.0,0.0,0.0,0.217172,0.188684,0.287744,1.0,0.0,0.0,0.9998,0.314115,0.9832,2e-08,22.5
2,0.306402,0.181698,0.124705,0.0,0.0,0.0,0.0,0.0,0.216505,0.186868,0.291667,1.0,0.0,0.0,0.9997,0.31251,0.9832,4e-08,21.2
3,0.30949,0.183974,0.125516,0.0,0.0,0.0,0.0,0.0,0.218724,0.186138,0.285852,1.0,0.0,0.0,1.0,0.309781,0.9832,6e-08,21.2
4,0.304705,0.178747,0.125958,0.0,0.0,0.0,0.0,0.0,0.219301,0.190775,0.28799,1.0,0.0,0.0,1.0,0.306238,0.9832,8e-08,21.1
5,0.301507,0.174708,0.126799,0.0,0.0,0.0,0.0,0.0,0.220653,0.193605,0.290721,1.0,0.0,0.0,1.0,0.301852,0.9832,1e-07,21.1
6,0.302025,0.17305,0.128974,0.0,0.0,0.0,0.0,0.0,0.223961,0.193946,0.301094,1.0,0.0,0.0,1.0,0.297297,0.9832,1e-07,21.0
7,0.301221,0.170574,0.130647,0.0,0.0,0.0,0.0,0.0,0.22674,0.195081,0.306521,1.0,0.0,0.0,0.9998,0.293327,0.9832,1e-07,20.7
8,0.299042,0.16737,0.131672,0.0,0.0,0.0,0.0,0.0,0.228877,0.196812,0.305316,1.0,0.0,0.0,1.0,0.289352,0.9832,1e-07,21.5
9,0.296752,0.164651,0.1321,0.0,0.0,0.0,0.0,0.0,0.229295,0.199103,0.309236,1.0,0.0,0.0,1.0,0.285658,0.9844,1e-07,21.2
10,0.293432,0.161051,0.132381,0.0,0.0,0.0,0.0,0.0,0.230026,0.200571,0.307244,1.0,0.0,0.0,0.9998,0.282185,0.9856,1e-07,21.1
11,0.29035,0.157072,0.133278,0.0,0.0,0.0,0.0,0.0,0.231385,0.202067,0.31129,1.0,0.0,0.0,0.9998,0.278985,0.9856,1e-07,20.9
12,0.289319,0.154206,0.135114,0.0,0.0,0.0,0.0,0.0,0.235171,0.201802,0.310202,1.0,0.0,0.0,0.9998,0.27615,0.9856,1e-07,21.0
13,0.29154,0.155074,0.136466,0.0,0.0,0.0,0.0,0.0,0.237179,0.202256,0.317078,1.0,0.0,0.0,1.0,0.27336,0.9856,1e-07,21.2
14,0.28913,0.151374,0.137756,0.0,0.0,0.0,0.0,0.0,0.238978,0.207071,0.323919,1.0,0.0,0.0,1.0,0.270964,0.9856,9e-08,20.9
15,0.288437,0.15003,0.138407,0.0,0.0,0.0,0.0,0.0,0.240951,0.207303,0.31718,1.0,0.0,0.0,1.0,0.268524,0.9856,9e-08,21.0
16,0.287098,0.1486,0.138498,0.0,0.0,0.0,0.0,0.0,0.240934,0.207416,0.319137,1.0,0.0,0.0,1.0,0.266389,0.9856,9e-08,21.1
17,0.283643,0.142624,0.141019,0.0,0.0,0.0,0.0,0.0,0.24446,0.209452,0.333887,1.0,0.0,0.0,1.0,0.264452,0.9856,9e-08,20.9
18,0.285298,0.144391,0.140907,0.0,0.0,0.0,0.0,0.0,0.244346,0.211824,0.33232,1.0,0.0,0.0,1.0,0.262524,0.9856,9e-08,20.9
19,0.284229,0.141839,0.14239,0.0,0.0,0.0,0.0,0.0,0.24719,0.214426,0.333003,1.0,0.0,0.0,1.0,0.260855,0.9856,9e-08,21.0
20,0.282123,0.138717,0.143406,0.0,0.0,0.0,0.0,0.0,0.249885,0.213725,0.326524,1.0,0.0,0.0,1.0,0.259415,0.9856,8e-08,20.9
21,0.283618,0.140426,0.143193,0.0,0.0,0.0,0.0,0.0,0.249131,0.214553,0.329638,1.0,0.0,0.0,1.0,0.258017,0.9856,8e-08,21.4
22,0.281888,0.138148,0.14374,0.0,0.0,0.0,0.0,0.0,0.249848,0.213679,0.333586,1.0,0.0,0.0,1.0,0.256657,0.9856,8e-08,21.9
23,0.285426,0.140606,0.14482,0.0,0.0,0.0,0.0,0.0,0.252279,0.215762,0.330462,1.0,0.0,0.0,1.0,0.25533,0.9856,8e-08,21.0
24,0.283443,0.137602,0.14584,0.0,0.0,0.0,0.0,0.0,0.25369,0.216132,0.336682,1.0,0.0,0.0,1.0,0.254161,0.9856,8e-08,21.0
25,0.283031,0.137389,0.145641,0.0,0.0,0.0,0.0,0.0,0.253836,0.217857,0.33089,1.0,0.0,0.0,1.0,0.253141,0.9856,7e-08,21.0
26,0.281967,0.135121,0.146846,0.0,0.0,0.0,0.0,0.0,0.255949,0.218158,0.333793,1.0,0.0,0.0,1.0,0.252021,0.9856,7e-08,21.0
27,0.283957,0.136819,0.147138,0.0,0.0,0.0,0.0,0.0,0.256368,0.214653,0.336143,1.0,0.0,0.0,1.0,0.251071,0.9856,7e-08,21.0
28,0.282399,0.134783,0.147616,0.0,0.0,0.0,0.0,0.0,0.256491,0.219387,0.343533,1.0,0.0,0.0,1.0,0.250134,0.9856,7e-08,20.9
29,0.283774,0.135895,0.14788,0.0,0.0,0.0,0.0,0.0,0.257311,0.215981,0.341286,1.0,0.0,0.0,1.0,0.249205,0.9856,6e-08,20.9
30,0.280699,0.133053,0.147646,0.0,0.0,0.0,0.0,0.0,0.256743,0.219216,0.341641,1.0,0.0,0.0,1.0,0.248435,0.9856,6e-08,21.1
31,0.281154,0.131561,0.149593,0.0,0.0,0.0,0.0,0.0,0.261175,0.222267,0.33566,1.0,0.0,0.0,1.0,0.247872,0.9856,6e-08,21.0
32,0.282028,0.13269,0.149337,0.0,0.0,0.0,0.0,0.0,0.259771,0.22086,0.344862,1.0,0.0,0.0,1.0,0.247338,0.9856,6e-08,20.9
33,0.282355,0.132267,0.150088,0.0,0.0,0.0,0.0,0.0,0.261602,0.220658,0.341605,1.0,0.0,0.0,1.0,0.246856,0.9856,5e-08,21.0
34,0.281672,0.132047,0.149624,0.0,0.0,0.0,0.0,0.0,0.260913,0.220363,0.339281,1.0,0.0,0.0,1.0,0.246261,0.9856,5e-08,20.9
35,0.283505,0.13261,0.150895,0.0,0.0,0.0,0.0,0.0,0.262622,0.221661,0.347353,1.0,0.0,0.0,1.0,0.245742,0.9856,5e-08,22.5
36,0.279729,0.12832,0.151409,0.0,0.0,0.0,0.0,0.0,0.263723,0.221058,0.346739,1.0,0.0,0.0,1.0,0.245403,0.9856,5e-08,22.0
37,0.283943,0.132884,0.151059,0.0,0.0,0.0,0.0,0.0,0.263173,0.223508,0.344737,1.0,0.0,0.0,0.9998,0.244958,0.9856,4e-08,22.6
38,0.280565,0.129419,0.151146,0.0,0.0,0.0,0.0,0.0,0.263381,0.223881,0.344332,1.0,0.0,0.0,1.0,0.244657,0.9856,4e-08,22.2
39,0.280705,0.129236,0.151469,0.0,0.0,0.0,0.0,0.0,0.263961,0.222132,0.345331,1.0,0.0,0.0,1.0,0.244406,0.9856,4e-08,21.9
40,0.280094,0.12797,0.152124,0.0,0.0,0.0,0.0,0.0,0.264705,0.224306,0.350565,1.0,0.0,0.0,1.0,0.244215,0.9856,4e-08,22.1
41,0.27952,0.127754,0.151766,0.0,0.0,0.0,0.0,0.0,0.264677,0.221015,0.344357,1.0,0.0,0.0,1.0,0.243988,0.9856,3e-08,22.5
42,0.281495,0.128618,0.152876,0.0,0.0,0.0,0.0,0.0,0.266309,0.224753,0.349488,1.0,0.0,0.0,1.0,0.243784,0.9856,3e-08,22.5
