epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
1,0.297948,0.183837,0.114112,0.0,0.0,0.0,0.187357,0.002567,0.216572,0.0,0.0,1.0,0.314115,0.9832,2e-08,29.6
2,0.29934,0.184734,0.114606,0.0,0.0,0.0,0.187342,0.002825,0.21752,0.0,0.0,1.0,0.312463,0.9832,4e-08,29.0
3,0.296414,0.180956,0.115458,0.0,0.0,0.0,0.187559,0.002046,0.219335,0.0,0.0,1.0,0.309726,0.9832,6e-08,29.0
4,0.29235,0.177395,0.114954,0.0,0.0,0.0,0.189164,0.001888,0.218257,0.0,0.0,1.0,0.305968,0.9832,8e-08,29.3
5,0.290922,0.174659,0.116263,0.0,0.0,0.0,0.190859,0.002409,0.220689,0.0,0.0,1.0,0.301721,0.9832,1e-07,29.2
6,0.289221,0.172525,0.116696,0.0,0.0,0.0,0.190148,0.002215,0.221628,0.0,0.0,1.0,0.297013,0.9832,1e-07,29.2
7,0.286656,0.167719,0.118937,0.0,0.0,0.0,0.195957,0.002649,0.225692,0.0,0.0,1.0,0.292958,0.9844,1e-07,29.4
8,0.281151,0.161798,0.119353,0.0,0.0,0.0,0.197431,0.002215,0.226506,0.0,0.0,1.0,0.288882,0.9844,1e-07,29.3
9,0.285838,0.164255,0.121583,0.0,0.0,0.0,0.19856,0.001842,0.230958,0.0,0.0,1.0,0.285197,0.9844,1e-07,29.2
10,0.284085,0.162748,0.121337,0.0,0.0,0.0,0.201036,0.001608,0.230355,0.0,0.0,1.0,0.281574,0.9856,1e-07,29.7
11,0.280347,0.157278,0.123069,0.0,0.0,0.0,0.199705,0.001651,0.233892,0.0,0.0,1.0,0.27819,0.9856,1e-07,29.7
12,0.279332,0.155285,0.124047,0.0,0.0,0.0,0.2017,0.00191,0.235687,0.0,0.0,1.0,0.275068,0.9856,1e-07,29.8
13,0.278817,0.153421,0.125396,0.0,0.0,0.0,0.205326,0.003385,0.237932,0.0,0.0,0.9998,0.272458,0.9856,1e-07,30.1
14,0.276237,0.150226,0.126011,0.0,0.0,0.0,0.206495,0.002687,0.239202,0.0,0.0,1.0,0.269824,0.9856,9e-08,29.4
15,0.278156,0.150528,0.127627,0.0,0.0,0.0,0.208009,0.00176,0.242493,0.0,0.0,1.0,0.267426,0.9856,9e-08,29.8
16,0.273255,0.145613,0.127642,0.0,0.0,0.0,0.20917,0.001377,0.242512,0.0,0.0,1.0,0.265083,0.9856,9e-08,30.2
17,0.272361,0.144073,0.128288,0.0,0.0,0.0,0.210053,0.002208,0.243619,0.0,0.0,1.0,0.263012,0.9856,9e-08,29.8
18,0.274937,0.144699,0.130237,0.0,0.0,0.0,0.211648,0.0022,0.247423,0.0,0.0,1.0,0.261022,0.9856,9e-08,29.7
19,0.271152,0.14151,0.129642,0.0,0.0,0.0,0.209487,0.002134,0.246372,0.0,0.0,1.0,0.259131,0.9856,9e-08,29.6
20,0.27055,0.138723,0.131827,0.0,0.0,0.0,0.21661,0.001531,0.250413,0.0,0.0,1.0,0.257588,0.9856,8e-08,29.7
21,0.271603,0.139077,0.132525,0.0,0.0,0.0,0.216115,0.002344,0.251709,0.0,0.0,0.9998,0.256192,0.9856,8e-08,29.9
22,0.270337,0.138125,0.132213,0.0,0.0,0.0,0.214332,0.00211,0.251227,0.0,0.0,1.0,0.254719,0.9856,8e-08,30.1
23,0.270841,0.137523,0.133318,0.0,0.0,0.0,0.215179,0.002528,0.253321,0.0,0.0,1.0,0.25338,0.9856,8e-08,29.8
24,0.269482,0.135325,0.134156,0.0,0.0,0.0,0.215554,0.001374,0.255159,0.0,0.0,1.0,0.252183,0.9856,8e-08,29.9
25,0.268814,0.133628,0.135185,0.0,0.0,0.0,0.220423,0.002378,0.256765,0.0,0.0,0.9998,0.251311,0.9856,7e-08,29.5
26,0.272929,0.136649,0.13628,0.0,0.0,0.0,0.219759,0.001796,0.259087,0.0,0.0,1.0,0.250136,0.9856,7e-08,29.4
27,0.27088,0.135181,0.135699,0.0,0.0,0.0,0.218562,0.001368,0.258066,0.0,0.0,1.0,0.249251,0.9856,7e-08,29.8
28,0.269123,0.133096,0.136027,0.0,0.0,0.0,0.217875,0.002029,0.258657,0.0,0.0,1.0,0.248225,0.9856,7e-08,29.6
29,0.26928,0.132114,0.137165,0.0,0.0,0.0,0.223567,0.001537,0.260671,0.0,0.0,1.0,0.247383,0.9856,6e-08,30.0
30,0.268347,0.131275,0.137072,0.0,0.0,0.0,0.219427,0.002136,0.260636,0.0,0.0,1.0,0.246561,0.9856,6e-08,29.9
31,0.267093,0.129086,0.138007,0.0,0.0,0.0,0.221258,0.00117,0.262552,0.0,0.0,1.0,0.245921,0.9856,6e-08,29.5
32,0.268159,0.129981,0.138178,0.0,0.0,0.0,0.222633,0.001703,0.262725,0.0,0.0,1.0,0.245322,0.9856,6e-08,29.3
33,0.268157,0.130389,0.137767,0.0,0.0,0.0,0.223074,0.001533,0.261905,0.0,0.0,1.0,0.244782,0.9856,5e-08,29.6
34,0.268439,0.129883,0.138556,0.0,0.0,0.0,0.220631,0.001714,0.263599,0.0,0.0,1.0,0.244232,0.9856,5e-08,29.4
35,0.270454,0.130351,0.140103,0.0,0.0,0.0,0.223943,0.002219,0.266414,0.0,0.0,1.0,0.243744,0.9856,5e-08,29.5
36,0.268613,0.129284,0.13933,0.0,0.0,0.0,0.226013,0.002713,0.264664,0.0,0.0,1.0,0.243367,0.9856,5e-08,29.8
37,0.267664,0.128478,0.139186,0.0,0.0,0.0,0.222846,0.001377,0.264781,0.0,0.0,1.0,0.242917,0.9856,4e-08,29.5
38,0.268615,0.128724,0.139891,0.0,0.0,0.0,0.226589,0.002724,0.265751,0.0,0.0,0.9998,0.242466,0.9856,4e-08,30.0
39,0.269169,0.128424,0.140745,0.0,0.0,0.0,0.225395,0.001443,0.267736,0.0,0.0,1.0,0.242139,0.9856,4e-08,29.8
40,0.266954,0.126026,0.140927,0.0,0.0,0.0,0.225954,0.002132,0.267956,0.0,0.0,1.0,0.24198,0.9856,4e-08,29.7
41,0.267978,0.127869,0.14011,0.0,0.0,0.0,0.222778,0.002863,0.266395,0.0,0.0,1.0,0.241629,0.9856,3e-08,29.7
42,0.268517,0.126591,0.141926,0.0,0.0,0.0,0.225715,0.002306,0.269939,0.0,0.0,1.0,0.241416,0.9856,3e-08,29.4
43,0.267601,0.12692,0.140681,0.0,0.0,0.0,0.22584,0.00146,0.267578,0.0,0.0,1.0,0.241212,0.9856,3e-08,28.9
44,0.267634,0.127218,0.140417,0.0,0.0,0.0,0.225589,0.001869,0.266999,0.0,0.0,1.0,0.240899,0.9856,3e-08,29.7
45,0.264934,0.124707,0.140227,0.0,0.0,0.0,0.223716,0.00183,0.266738,0.0,0.0,1.0,0.240657,0.9856,3e-08,29.1
46,0.267817,0.127654,0.140163,0.0,0.0,0.0,0.223926,0.002051,0.266563,0.0,0.0,0.9998,0.240412,0.9856,2e-08,29.5
47,0.268129,0.126805,0.141324,0.0,0.0,0.0,0.227397,0.002306,0.268635,0.0,0.0,1.0,0.24024,0.9856,2e-08,29.2
48,0.269538,0.126779,0.142759,0.0,0.0,0.0,0.226871,0.002036,0.271581,0.0,0.0,1.0,0.240092,0.9856,2e-08,29.3
49,0.264195,0.122719,0.141476,0.0,0.0,0.0,0.227165,0.001407,0.269097,0.0,0.0,1.0,0.239996,0.9856,2e-08,29.5
50,0.267937,0.126381,0.141556,0.0,0.0,0.0,0.227842,0.002727,0.269004,0.0,0.0,1.0,0.239897,0.9856,2e-08,29.3
51,0.267311,0.124886,0.142425,0.0,0.0,0.0,0.226665,0.001845,0.270954,0.0,0.0,1.0,0.239813,0.9856,2e-08,29.4
52,0.267453,0.125016,0.142436,0.0,0.0,0.0,0.228859,0.001123,0.270961,0.0,0.0,1.0,0.23975,0.9856,1e-08,29.5
53,0.267248,0.125741,0.141507,0.0,0.0,0.0,0.225182,0.001668,0.269236,0.0,0.0,1.0,0.239672,0.9856,1e-08,29.5
54,0.266497,0.125448,0.141049,0.0,0.0,0.0,0.226462,0.002793,0.268064,0.0,0.0,0.9998,0.239588,0.9856,1e-08,21.9
55,0.266844,0.125438,0.141405,0.0,0.0,0.0,0.225293,0.002093,0.268958,0.0,0.0,1.0,0.239516,0.9856,1e-08,20.6
56,0.266395,0.124663,0.141732,0.0,0.0,0.0,0.229062,0.002137,0.269378,0.0,0.0,0.9998,0.239462,0.9856,1e-08,20.7
57,0.267646,0.125688,0.141958,0.0,0.0,0.0,0.22488,0.001144,0.270239,0.0,0.0,1.0,0.239363,0.9856,1e-08,20.9
58,0.26782,0.125601,0.142219,0.0,0.0,0.0,0.225407,0.002382,0.270532,0.0,0.0,0.9998,0.239291,0.9856,1e-08,20.7
59,0.268311,0.125678,0.142633,0.0,0.0,0.0,0.226753,0.001657,0.271396,0.0,0.0,1.0,0.23922,0.9856,1e-08,20.7
60,0.264947,0.12302,0.141926,0.0,0.0,0.0,0.226758,0.001574,0.269996,0.0,0.0,1.0,0.239172,0.9856,1e-08,20.7
