epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
1,0.21593,0.205987,0.009944,0.0,0.0,0.0,0.183118,0.031406,0.653696,1.0,1.0,0.313512,0.9832,4e-08,23.2
2,0.212892,0.203691,0.0092,0.0,0.0,0.0,0.184529,0.027549,0.653696,1.0,1.0,0.310025,0.9832,8e-08,23.8
3,0.209765,0.199924,0.009842,0.0,0.0,0.0,0.184085,0.030801,0.641526,1.0,1.0,0.304574,0.9832,1.2e-07,24.5
4,0.208362,0.198284,0.010078,0.0,0.0,0.0,0.187928,0.031599,0.648287,1.0,1.0,0.296843,0.9832,1.6e-07,24.2
5,0.199549,0.189475,0.010074,0.0,0.0,0.0,0.189183,0.031454,0.61854,1.0,1.0,0.287719,0.9844,2e-07,23.6
6,0.191356,0.181279,0.010077,0.0,0.0,0.0,0.194404,0.030946,0.618389,1.0,1.0,0.278071,0.9856,2e-07,23.1
7,0.181507,0.17236,0.009147,0.0,0.0,0.0,0.197706,0.025962,0.583984,1.0,1.0,0.268928,0.9856,2e-07,22.8
8,0.176027,0.166887,0.00914,0.0,0.0,0.0,0.20216,0.025484,0.579928,1.0,1.0,0.260712,0.9856,2e-07,22.4
9,0.16922,0.160103,0.009117,0.0,0.0,0.0,0.208398,0.024747,0.56866,1.0,1.0,0.253163,0.9856,2e-07,22.5
10,0.168157,0.158829,0.009328,0.0,0.0,0.0,0.21245,0.025394,0.570613,1.0,1.0,0.246039,0.9856,2e-07,22.3
11,0.159176,0.149727,0.009449,0.0,0.0,0.0,0.217077,0.025539,0.548227,1.0,1.0,0.239262,0.9856,1.9e-07,22.1
12,0.154084,0.14436,0.009724,0.0,0.0,0.0,0.223843,0.026233,0.522837,1.0,1.0,0.232717,0.9856,1.9e-07,22.4
13,0.148195,0.139333,0.008862,0.0,0.0,0.0,0.224782,0.021833,0.51848,1.0,1.0,0.226812,0.9856,1.9e-07,22.0
14,0.146466,0.137454,0.009012,0.0,0.0,0.0,0.228846,0.022177,0.516977,1.0,1.0,0.221413,0.9856,1.9e-07,21.7
15,0.142589,0.133057,0.009532,0.0,0.0,0.0,0.234486,0.02421,0.501502,1.0,1.0,0.216073,0.9856,1.9e-07,21.4
16,0.136434,0.126855,0.009579,0.0,0.0,0.0,0.237923,0.024103,0.483474,1.0,1.0,0.211051,0.9856,1.8e-07,21.6
17,0.130823,0.121545,0.009279,0.0,0.0,0.0,0.242779,0.022117,0.478816,1.0,1.0,0.20675,0.9856,1.8e-07,21.6
18,0.12904,0.120344,0.008696,0.0,0.0,0.0,0.245594,0.01892,0.467849,1.0,1.0,0.202448,0.9856,1.8e-07,21.7
19,0.125922,0.116677,0.009245,0.0,0.0,0.0,0.250653,0.02116,0.467548,1.0,1.0,0.198488,0.9856,1.7e-07,21.4
20,0.123196,0.113161,0.010035,0.0,0.0,0.0,0.258269,0.024349,0.455228,1.0,1.0,0.194743,0.9856,1.7e-07,21.7
21,0.121714,0.112008,0.009705,0.0,0.0,0.0,0.262606,0.022266,0.453125,1.0,1.0,0.191253,0.9856,1.6e-07,21.8
22,0.119989,0.110549,0.00944,0.0,0.0,0.0,0.259821,0.021218,0.440355,1.0,1.0,0.187924,0.9856,1.6e-07,21.9
23,0.114488,0.10539,0.009098,0.0,0.0,0.0,0.267758,0.018715,0.434946,1.0,1.0,0.184771,0.9844,1.6e-07,22.0
24,0.111621,0.102976,0.008646,0.0,0.0,0.0,0.26868,0.01636,0.432091,1.0,1.0,0.181732,0.9844,1.5e-07,21.6
25,0.11377,0.104224,0.009546,0.0,0.0,0.0,0.273344,0.020397,0.422927,1.00015,0.9998,0.178766,0.9832,1.5e-07,22.0
26,0.110294,0.10078,0.009515,0.0,0.0,0.0,0.27597,0.019976,0.417518,1.0,1.0,0.17631,0.9844,1.4e-07,21.8
27,0.107618,0.098066,0.009552,0.0,0.0,0.0,0.278163,0.019943,0.415264,1.0,1.0,0.174034,0.9844,1.4e-07,21.1
28,0.106028,0.09617,0.009858,0.0,0.0,0.0,0.283097,0.02098,0.408353,1.0,1.0,0.1716,0.982,1.3e-07,21.6
29,0.10294,0.09334,0.009601,0.0,0.0,0.0,0.284803,0.019523,0.405799,1.0,1.0,0.169426,0.982,1.3e-07,21.2
30,0.102564,0.092978,0.009585,0.0,0.0,0.0,0.290819,0.018845,0.394982,1.00015,0.9998,0.167373,0.982,1.2e-07,21.5
31,0.101236,0.092013,0.009223,0.0,0.0,0.0,0.292839,0.016834,0.397386,1.0,1.0,0.165552,0.982,1.2e-07,21.5
32,0.100432,0.090608,0.009824,0.0,0.0,0.0,0.294197,0.019701,0.398588,1.0,1.0,0.163719,0.982,1.1e-07,21.8
33,0.100022,0.090326,0.009696,0.0,0.0,0.0,0.29604,0.018876,0.384315,1.0,1.0,0.162049,0.982,1.1e-07,21.9
34,0.095428,0.086238,0.00919,0.0,0.0,0.0,0.298409,0.016109,0.38146,1.00015,0.9998,0.160558,0.982,1e-07,21.6
35,0.095465,0.085686,0.009779,0.0,0.0,0.0,0.30169,0.018727,0.37485,1.0,1.0,0.159263,0.982,1e-07,21.9
36,0.094025,0.084277,0.009748,0.0,0.0,0.0,0.306076,0.01813,0.373047,1.0,1.0,0.1579,0.982,9e-08,21.7
37,0.092365,0.082597,0.009768,0.0,0.0,0.0,0.310093,0.017831,0.366286,1.0,1.0,0.15665,0.982,9e-08,21.3
38,0.091565,0.081354,0.010211,0.0,0.0,0.0,0.313424,0.019713,0.360877,1.0,1.0,0.155425,0.982,8e-08,21.1
