epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
1,0.193142,0.183797,0.009345,0.0,0.0,0.0,0.186892,0.0,0.0,1.0,1.0,0.311585,0.9832,1e-07,25.0
2,0.188033,0.1785,0.009533,0.0,0.0,0.0,0.19066,0.0,0.0,1.0,1.0,0.302466,0.9832,2e-07,24.0
3,0.17918,0.16957,0.00961,0.0,0.0,0.0,0.192196,0.0,0.0,1.0,1.0,0.288748,0.9844,3e-07,23.6
4,0.171159,0.161085,0.010074,0.0,0.0,0.0,0.201481,0.0,0.0,1.0,1.0,0.271392,0.9856,4e-07,22.4
5,0.155209,0.144732,0.010477,0.0,0.0,0.0,0.209547,0.0,0.0,1.0,1.0,0.252808,0.9856,5e-07,22.3
6,0.142883,0.131783,0.0111,0.0,0.0,0.0,0.222003,2e-06,0.00015,1.0,1.0,0.235167,0.9856,5e-07,22.3
7,0.129122,0.117367,0.011755,0.0,0.0,0.0,0.235095,0.0,0.0,1.0,1.0,0.220246,0.9856,5e-07,21.5
8,0.121121,0.108845,0.012276,0.0,0.0,0.0,0.245516,0.0,0.0,1.0,1.0,0.207598,0.9856,5e-07,21.8
9,0.112612,0.099601,0.013011,0.0,0.0,0.0,0.260218,0.0,0.0,1.0,1.0,0.196809,0.9856,5e-07,21.7
10,0.10932,0.095874,0.013446,0.0,0.0,0.0,0.268918,0.0,0.0,1.0,1.0,0.186906,0.9844,5e-07,21.8
11,0.10058,0.086358,0.014221,0.0,0.0,0.0,0.284425,0.0,0.0,1.0,1.0,0.178462,0.9844,4.9e-07,22.1
12,0.0952,0.080332,0.014868,0.0,0.0,0.0,0.297366,0.0,0.0,1.0,1.0,0.170607,0.982,4.9e-07,21.8
13,0.090456,0.075238,0.015217,0.0,0.0,0.0,0.304342,0.0,0.0,1.0,1.0,0.163988,0.982,4.9e-07,22.2
14,0.087905,0.072141,0.015764,0.0,0.0,0.0,0.315283,0.0,0.0,1.0,1.0,0.15811,0.982,4.8e-07,22.1
15,0.084047,0.067593,0.016454,0.0,0.0,0.0,0.329081,0.0,0.0,1.0,1.0,0.152288,0.982,4.8e-07,22.0
16,0.079737,0.062777,0.01696,0.0,0.0,0.0,0.339206,0.0,0.00015,1.0,1.0,0.147322,0.982,4.8e-07,21.9
17,0.076208,0.058741,0.017467,0.0,0.0,0.0,0.349347,0.0,0.0,1.0,1.0,0.142937,0.982,4.7e-07,22.2
18,0.074542,0.056651,0.01789,0.0,0.0,0.0,0.357807,0.0,0.0,1.0,1.0,0.138737,0.982,4.7e-07,22.0
19,0.07242,0.054056,0.018364,0.0,0.0,0.0,0.367272,0.0,0.0,1.0,1.0,0.134985,0.982,4.6e-07,21.8
20,0.070393,0.05129,0.019103,0.0,0.0,0.0,0.382053,0.0,0.0,1.0,1.0,0.131629,0.9832,4.6e-07,21.8
21,0.069268,0.049748,0.01952,0.0,0.0,0.0,0.3904,0.0,0.0,1.0,1.0,0.128515,0.982,4.5e-07,21.9
22,0.067982,0.048335,0.019647,0.0,0.0,0.0,0.392937,0.0,0.0,1.0,1.0,0.125548,0.9808,4.5e-07,21.8
23,0.065386,0.045056,0.020331,0.0,0.0,0.0,0.406615,0.0,0.0,1.0,1.0,0.122781,0.982,4.4e-07,22.4
24,0.063714,0.043144,0.02057,0.0,0.0,0.0,0.411398,0.0,0.0,1.0,1.0,0.12024,0.9808,4.3e-07,21.8
