epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,2.668836,5.441633,0.820305,0.0941,4.168995,0.3885,6.058e-05,64.8
2,1.95065,3.791711,0.723276,0.5433,3.208564,0.6871,0.00012058,62.6
3,1.678526,2.996281,0.800022,0.8101,3.231167,0.6391,0.00018058,62.0
4,1.545665,2.587746,0.850943,0.8942,3.015013,0.6055,0.00024058,62.0
5,1.467119,2.340736,0.884707,0.9202,2.22549,0.8909,0.0003,62.3
6,1.401246,2.13074,0.914916,0.9476,1.958336,0.9281,0.00029998,62.3
7,1.363091,2.020223,0.925002,0.9552,1.703658,0.9353,0.00029992,62.3
8,1.333524,1.928687,0.936749,0.9581,1.87115,0.9221,0.00029983,62.4
9,1.306072,1.845873,0.946204,0.9639,1.614296,0.9496,0.00029969,62.1
10,1.28943,1.801715,0.947906,0.9695,1.63541,0.94,0.00029952,62.0
11,1.271574,1.753051,0.950589,0.9695,1.672608,0.9412,0.0002993,62.2
12,1.260428,1.721644,0.95295,0.9715,1.543833,0.9508,0.00029905,62.2
13,1.251866,1.694655,0.956673,0.9697,1.624782,0.9269,0.00029876,62.4
14,1.241895,1.672319,0.954947,0.9689,1.417502,0.9592,0.00029843,62.3
15,1.233667,1.649977,0.956126,0.9721,1.446456,0.9484,0.00029806,62.3
16,1.227759,1.626526,0.961915,0.9758,1.524794,0.9353,0.00029766,62.7
17,1.229001,1.630283,0.96148,0.9704,1.414567,0.9604,0.00029721,62.4
18,1.213012,1.591182,0.960898,0.9731,1.561613,0.9436,0.00029673,62.2
19,1.209006,1.579744,0.961848,0.9751,1.401028,0.9544,0.00029621,62.0
20,1.200974,1.565938,0.957664,0.9772,1.487043,0.946,0.00029566,62.3
21,1.202403,1.562882,0.962084,0.9739,1.600276,0.9257,0.00029506,62.2
22,1.197588,1.555665,0.95887,0.9755,1.30085,0.9616,0.00029443,62.2
23,1.192641,1.537902,0.962467,0.9751,1.367404,0.9592,0.00029376,62.3
24,1.186034,1.530562,0.956348,0.9737,1.410576,0.946,0.00029305,62.2
25,1.183079,1.51254,0.963439,0.9769,1.26702,0.9592,0.00029231,62.1
26,1.181562,1.515139,0.959178,0.9749,1.29143,0.958,0.00029153,62.2
27,1.176523,1.505466,0.957227,0.9752,1.264372,0.9568,0.00029071,62.6
28,1.172967,1.494836,0.958388,0.9761,1.272607,0.9556,0.00028985,62.1
29,1.168042,1.484818,0.956858,0.9766,1.280689,0.9496,0.00028896,62.3
30,1.168571,1.482231,0.959464,0.9742,1.291075,0.9592,0.00028804,62.3
31,1.162827,1.4734,0.955779,0.9764,1.139488,0.964,0.00028708,62.2
32,1.162556,1.470506,0.957256,0.9773,1.253616,0.9616,0.00028608,62.4
33,1.160525,1.465476,0.957224,0.9794,1.41881,0.9281,0.00028505,62.4
34,1.155197,1.45402,0.955981,0.9788,1.421761,0.9317,0.00028398,62.1
35,1.150144,1.442179,0.955453,0.9772,1.231761,0.9592,0.00028288,62.6
36,1.151921,1.450123,0.953119,0.9737,1.260396,0.9568,0.00028174,62.2
37,1.150078,1.444774,0.953614,0.9751,1.213491,0.964,0.00028057,62.2
38,1.144264,1.4237,0.957973,0.9781,1.194389,0.9616,0.00027936,62.3
39,1.149832,1.447828,0.951168,0.9763,1.274306,0.946,0.00027813,62.4
40,1.148697,1.440617,0.954084,0.9778,1.151288,0.9664,0.00027686,62.4
41,1.144621,1.436146,0.95027,0.9728,1.04422,0.9688,0.00027555,62.1
42,1.140909,1.419181,0.955394,0.9767,1.196763,0.9556,0.00027422,62.3
43,1.143847,1.43857,0.947364,0.9737,1.12699,0.958,0.00027285,62.1
44,1.13974,1.419521,0.953219,0.9761,1.158899,0.9556,0.00027145,62.7
45,1.138541,1.418364,0.951993,0.9782,1.294661,0.9532,0.00027002,62.4
46,1.141406,1.431465,0.948034,0.976,1.075314,0.964,0.00026855,62.5
47,1.141494,1.428097,0.950425,0.9745,1.119416,0.9604,0.00026706,62.4
48,1.131559,1.399522,0.952918,0.9779,1.198832,0.9544,0.00026554,56.0
49,1.136129,1.419468,0.947237,0.9763,1.106499,0.9592,0.00026398,23.4
50,1.134977,1.418373,0.946047,0.9779,1.286824,0.9472,0.0002624,23.0
51,1.130403,1.403799,0.948139,0.9767,1.139955,0.9628,0.00026079,22.7
52,1.129744,1.404093,0.946844,0.9769,1.182678,0.9532,0.00025915,22.9
53,1.132404,1.409731,0.94752,0.9775,1.457987,0.94,0.00025748,23.1
