epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,0.311836,0.18298,1.471539,0.9998,0.244961,0.9892,4.04e-06,29.8
2,0.310257,0.178717,1.494119,0.9994,0.234769,0.988,8.04e-06,28.8
3,0.305088,0.170363,1.517613,0.9997,0.222369,0.9904,1.204e-05,28.5
4,0.298068,0.158451,1.554628,0.9998,0.212645,0.988,1.604e-05,28.2
5,0.299275,0.156778,1.58175,0.9997,0.207784,0.988,2e-05,27.9
6,0.293625,0.146884,1.614291,0.9998,0.199473,0.988,1.999e-05,30.3
7,0.289308,0.13881,1.643791,0.9995,0.194997,0.9892,1.996e-05,30.8
8,0.289014,0.135751,1.668375,0.9995,0.190922,0.9892,1.991e-05,31.0
9,0.286863,0.132155,1.679235,0.9997,0.184903,0.9868,1.985e-05,31.5
10,0.287062,0.130529,1.695855,0.9998,0.183133,0.988,1.976e-05,33.7
11,0.284944,0.125917,1.716185,0.9998,0.179441,0.988,1.966e-05,35.7
12,0.283438,0.123873,1.719523,0.9995,0.180713,0.9892,1.954e-05,37.9
13,0.277805,0.11536,1.739814,0.9997,0.175638,0.9904,1.939e-05,40.6
14,0.279284,0.116804,1.741606,0.9997,0.174895,0.9892,1.924e-05,41.2
15,0.279887,0.117076,1.745184,0.9998,0.173882,0.9892,1.906e-05,42.0
16,0.280187,0.116972,1.749129,0.9998,0.172049,0.9892,1.887e-05,42.9
17,0.277733,0.112901,1.761225,1.0,0.174829,0.988,1.866e-05,42.7
18,0.276453,0.11065,1.768678,0.9998,0.166425,0.9892,1.843e-05,42.4
19,0.276719,0.111734,1.76158,0.9998,0.165389,0.9892,1.819e-05,42.4
20,0.275146,0.108731,1.772889,0.9997,0.164106,0.9904,1.793e-05,41.7
21,0.275807,0.108786,1.779002,0.9994,0.162464,0.9904,1.765e-05,40.8
22,0.273851,0.107644,1.769716,0.9998,0.165,0.9904,1.737e-05,35.9
23,0.275483,0.108887,1.774853,0.9998,0.166139,0.9892,1.707e-05,25.2
24,0.275044,0.10808,1.777716,0.9995,0.163356,0.9892,1.675e-05,25.2
25,0.270095,0.101733,1.785349,0.9998,0.161776,0.9904,1.642e-05,38.6
26,0.273259,0.106004,1.778559,0.9997,0.160651,0.9904,1.608e-05,42.3
27,0.274239,0.106984,1.779527,1.0,0.162314,0.9904,1.573e-05,43.3
28,0.271545,0.103661,1.782496,1.0,0.165485,0.9916,1.537e-05,43.8
29,0.270556,0.10248,1.783245,0.9998,0.1602,0.9904,1.5e-05,43.5
30,0.270306,0.102624,1.779446,0.9998,0.157761,0.9892,1.462e-05,43.4
31,0.269983,0.101677,1.784732,0.9997,0.160595,0.9892,1.423e-05,43.0
32,0.270778,0.10201,1.789688,0.9998,0.157909,0.9892,1.384e-05,42.5
33,0.269192,0.100832,1.784432,0.9997,0.15776,0.9904,1.344e-05,42.3
34,0.270874,0.10152,1.79506,0.9997,0.157475,0.9904,1.303e-05,42.3
35,0.269363,0.100449,1.789592,1.0,0.157252,0.9904,1.261e-05,42.9
36,0.267776,0.098212,1.793852,0.9997,0.159467,0.9916,1.22e-05,42.2
37,0.268821,0.100716,1.781769,0.9995,0.156594,0.9904,1.178e-05,36.4
38,0.269273,0.100717,1.786275,0.9998,0.15638,0.9892,1.135e-05,36.3
39,0.270005,0.101929,1.782681,0.9997,0.157024,0.9892,1.093e-05,36.2
40,0.265283,0.095717,1.79138,1.0,0.157786,0.9916,1.05e-05,36.9
41,0.269965,0.101492,1.786221,0.9995,0.15586,0.9916,1.007e-05,36.2
42,0.26914,0.099725,1.793875,0.9997,0.153077,0.9904,9.65e-06,36.4
43,0.268464,0.099483,1.789291,0.9998,0.154571,0.988,9.22e-06,36.6
44,0.268892,0.099668,1.791906,0.9995,0.154305,0.9892,8.8e-06,36.9
45,0.265778,0.096985,1.784915,0.9997,0.153371,0.9904,8.39e-06,36.8
46,0.265707,0.09652,1.788388,1.0,0.158171,0.9904,7.97e-06,36.5
47,0.267945,0.098611,1.791954,0.9998,0.154039,0.9916,7.56e-06,36.9
48,0.264602,0.094667,1.794017,0.9998,0.154913,0.9916,7.16e-06,36.6
49,0.266447,0.097791,1.784344,0.9998,0.155098,0.9892,6.77e-06,36.5
50,0.26678,0.097918,1.786539,0.9998,0.153284,0.9916,6.38e-06,29.3
51,0.265652,0.096042,1.79214,0.9997,0.154314,0.9916,6e-06,29.0
52,0.265953,0.097086,1.785753,1.0,0.155122,0.9904,5.63e-06,29.0
53,0.263844,0.095224,1.781425,1.0,0.155522,0.9904,5.27e-06,29.4
54,0.264866,0.095952,1.78509,0.9997,0.151353,0.9904,4.92e-06,28.9
55,0.263755,0.094483,1.787205,1.0,0.15382,0.9916,4.58e-06,28.4
