epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,0.392058,0.211727,1.413934,0.9995,0.263106,0.988,2.019e-05,29.6
2,0.382385,0.192504,1.458377,0.9998,0.241378,0.9892,4.019e-05,25.1
3,0.374752,0.174123,1.511647,0.9998,0.225532,0.9916,6.019e-05,23.6
4,0.369033,0.159878,1.554246,0.9997,0.210267,0.9904,8.019e-05,22.7
5,0.370696,0.158058,1.575644,0.9994,0.202451,0.9904,0.0001,22.1
6,0.366613,0.149072,1.599342,1.0,0.198811,0.988,9.999e-05,22.2
7,0.364732,0.145681,1.606019,1.0,0.2026,0.9892,9.995e-05,21.9
8,0.359931,0.141271,1.599003,0.9997,0.193668,0.988,9.99e-05,21.6
9,0.360471,0.141133,1.603382,1.0,0.200975,0.988,9.981e-05,21.7
10,0.362504,0.142385,1.609843,0.9995,0.202472,0.988,9.971e-05,21.5
11,0.356767,0.135813,1.608841,0.9998,0.189424,0.988,9.958e-05,21.3
12,0.359611,0.140224,1.602798,0.9997,0.179571,0.9904,9.943e-05,21.6
13,0.354291,0.133313,1.606501,0.9994,0.176836,0.988,9.926e-05,21.8
14,0.353692,0.134124,1.597912,0.9994,0.193773,0.9916,9.906e-05,21.8
15,0.354985,0.136261,1.594423,0.9994,0.189985,0.9904,9.884e-05,21.5
16,0.356492,0.137582,1.596983,0.9994,0.180934,0.9892,9.86e-05,21.6
17,0.355977,0.13585,1.603362,0.9998,0.17848,0.9928,9.834e-05,21.7
18,0.352808,0.133089,1.597879,0.9998,0.170323,0.9892,9.805e-05,21.4
19,0.351725,0.131767,1.598155,0.9998,0.190806,0.9904,9.774e-05,21.7
20,0.349944,0.131985,1.585046,0.9998,0.176549,0.9928,9.741e-05,21.7
21,0.351931,0.133699,1.588579,0.9997,0.171175,0.9904,9.706e-05,21.5
22,0.353899,0.135985,1.588744,1.0,0.170103,0.9892,9.668e-05,21.4
23,0.352612,0.133685,1.593195,0.9998,0.171406,0.9868,9.628e-05,22.0
24,0.355939,0.137999,1.59093,1.0,0.170487,0.9892,9.586e-05,22.0
25,0.350493,0.131732,1.590136,1.0,0.172168,0.9916,9.542e-05,21.6
26,0.352732,0.133926,1.592633,0.9994,0.185043,0.9892,9.496e-05,21.3
27,0.352066,0.134108,1.587163,0.9998,0.172147,0.988,9.448e-05,21.5
28,0.350996,0.132357,1.589952,0.9995,0.163863,0.9916,9.398e-05,21.8
29,0.35062,0.131927,1.589881,0.9998,0.169675,0.9904,9.346e-05,21.8
30,0.353881,0.135743,1.59,0.9995,0.175031,0.988,9.291e-05,22.3
31,0.355026,0.136994,1.590541,0.9997,0.175927,0.9892,9.235e-05,22.4
32,0.353784,0.134409,1.596912,0.9997,0.168893,0.9928,9.177e-05,22.8
33,0.348067,0.129231,1.588139,0.9998,0.163806,0.988,9.117e-05,23.1
34,0.355958,0.139117,1.584725,0.9995,0.164851,0.9892,9.055e-05,23.9
35,0.352249,0.132705,1.596327,0.9997,0.165371,0.9916,8.991e-05,25.1
36,0.35325,0.134872,1.590727,0.9992,0.172299,0.9928,8.925e-05,24.8
37,0.352294,0.134225,1.58802,0.9994,0.160053,0.9916,8.857e-05,24.1
38,0.353989,0.136284,1.587651,0.9998,0.171836,0.988,8.788e-05,23.5
39,0.35468,0.136565,1.590659,0.9995,0.158708,0.988,8.717e-05,23.1
40,0.353523,0.134606,1.594051,0.9998,0.163798,0.9892,8.644e-05,22.9
41,0.354164,0.13634,1.588499,0.9997,0.160382,0.9928,8.569e-05,22.5
42,0.356406,0.13865,1.590351,0.9995,0.158331,0.9868,8.493e-05,22.3
43,0.355259,0.135134,1.602634,0.9995,0.161681,0.9916,8.415e-05,22.2
44,0.353238,0.133561,1.59807,1.0,0.164149,0.9916,8.336e-05,22.4
45,0.355141,0.138214,1.584397,0.9995,0.160786,0.988,8.255e-05,22.0
46,0.354502,0.137014,1.586938,0.9997,0.164506,0.9916,8.172e-05,21.8
47,0.356532,0.137718,1.596479,0.9995,0.165275,0.9928,8.088e-05,22.3
48,0.356708,0.13831,1.5943,0.9995,0.161482,0.9928,8.003e-05,21.7
49,0.356361,0.138152,1.592876,0.9989,0.156644,0.9904,7.916e-05,21.9
50,0.35752,0.139785,1.591352,0.9995,0.158361,0.9904,7.828e-05,21.8
51,0.35958,0.140622,1.60034,0.9998,0.15613,0.9904,7.738e-05,22.1
52,0.360416,0.142067,1.597726,0.9994,0.153865,0.9904,7.648e-05,21.7
53,0.357047,0.138597,1.594931,0.9994,0.152211,0.9904,7.556e-05,21.5
54,0.35999,0.140441,1.604102,0.9994,0.158683,0.9904,7.463e-05,21.5
55,0.357583,0.137903,1.602442,0.9997,0.152986,0.9928,7.369e-05,21.8
56,0.359819,0.140304,1.603741,0.9991,0.15307,0.9904,7.273e-05,21.8
57,0.361388,0.142445,1.602065,0.9998,0.16364,0.9928,7.177e-05,22.1
58,0.361586,0.1428,1.601372,0.9994,0.153147,0.9916,7.08e-05,21.8
59,0.365981,0.146651,1.608854,0.9994,0.147889,0.988,6.981e-05,21.9
60,0.365015,0.144541,1.614368,0.9997,0.157497,0.9928,6.882e-05,21.7
61,0.362935,0.143136,1.608465,0.9995,0.156616,0.9916,6.782e-05,21.7
62,0.363903,0.144756,1.605739,0.9995,0.14989,0.9904,6.681e-05,22.2
63,0.362717,0.14143,1.616678,0.9995,0.144155,0.9916,6.58e-05,24.3
64,0.363474,0.143748,1.608586,0.9995,0.148456,0.9904,6.477e-05,27.2
65,0.365461,0.145635,1.611138,0.9992,0.153603,0.9916,6.374e-05,27.3
66,0.364694,0.14408,1.614837,0.9998,0.148888,0.9928,6.271e-05,30.9
67,0.362925,0.143017,1.609069,0.9995,0.152754,0.9916,6.166e-05,37.2
68,0.367017,0.147854,1.60894,0.9992,0.149682,0.9928,6.062e-05,36.6
69,0.366978,0.146322,1.617365,0.9998,0.148135,0.9928,5.956e-05,36.5
70,0.367436,0.14748,1.613857,0.9998,0.149954,0.9904,5.851e-05,36.1
71,0.368402,0.146934,1.623383,0.9998,0.152947,0.9892,5.745e-05,37.4
72,0.373925,0.152257,1.630047,0.9995,0.147514,0.9916,5.638e-05,39.2
73,0.371072,0.150541,1.620749,0.9997,0.156271,0.9928,5.532e-05,38.9
74,0.370445,0.148747,1.626732,0.9994,0.150032,0.994,5.425e-05,40.0
75,0.369626,0.14813,1.624767,0.9997,0.150461,0.9928,5.318e-05,38.7
76,0.37028,0.148902,1.624754,0.9995,0.150118,0.9904,5.211e-05,39.2
77,0.37663,0.157059,1.620865,0.9994,0.141933,0.9892,5.104e-05,37.9
78,0.371348,0.149023,1.631186,0.9992,0.144156,0.9892,4.996e-05,38.3
79,0.373912,0.151551,1.633959,0.9998,0.147759,0.9904,4.889e-05,38.1
80,0.372217,0.150057,1.631122,0.9992,0.144513,0.9928,4.782e-05,35.7
81,0.375188,0.152993,1.634295,0.9992,0.140823,0.9892,4.675e-05,31.8
82,0.375664,0.152777,1.638691,0.9992,0.143874,0.9916,4.568e-05,25.1
83,0.375701,0.153465,1.635042,0.9992,0.139396,0.9916,4.462e-05,23.6
84,0.373427,0.14998,1.639628,0.9989,0.154309,0.9904,4.355e-05,34.3
85,0.378559,0.156788,1.635259,0.9995,0.140414,0.9928,4.249e-05,36.6
86,0.378568,0.156432,1.637338,0.9997,0.138835,0.9928,4.144e-05,37.9
87,0.378998,0.155764,1.643991,0.9992,0.14124,0.9916,4.038e-05,40.3
88,0.381518,0.160258,1.635322,0.9995,0.143496,0.9916,3.934e-05,39.5
89,0.379428,0.155376,1.649054,0.9994,0.138023,0.9928,3.829e-05,40.3
90,0.379991,0.157106,1.643006,0.9992,0.13971,0.9928,3.726e-05,38.8
91,0.383945,0.162489,1.638861,0.9995,0.137919,0.9916,3.623e-05,40.5
92,0.382149,0.158437,1.649853,0.9992,0.139325,0.9928,3.52e-05,38.7
93,0.383158,0.161089,1.641552,0.9995,0.138061,0.9928,3.419e-05,38.7
94,0.38481,0.161623,1.649536,0.9994,0.138927,0.9916,3.318e-05,37.7
