epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,0.183961,0.183603,0.255232,1.0,0.308569,0.9832,2e-07,24.4
2,0.175031,0.174607,0.259313,0.9998,0.291114,0.9844,4e-07,23.0
3,0.155794,0.155216,0.270905,0.9998,0.266517,0.9856,6e-07,22.6
4,0.136645,0.135876,0.289624,1.0,0.239523,0.9856,8e-07,22.6
5,0.118206,0.11721,0.316498,0.9998,0.212878,0.9856,1e-06,22.4
6,0.102319,0.101097,0.345421,0.9998,0.190072,0.9844,1e-06,22.0
7,0.086626,0.085164,0.377657,1.0,0.173162,0.9844,1e-06,22.0
8,0.077166,0.075488,0.411158,1.0,0.159217,0.982,1e-06,21.9
9,0.069015,0.067151,0.440073,1.0,0.148072,0.982,1e-06,22.2
10,0.06038,0.058342,0.466005,1.0,0.138597,0.9808,1e-06,22.0
11,0.055065,0.052832,0.499421,0.9998,0.130256,0.9808,1e-06,21.7
12,0.050158,0.047788,0.52186,1.0,0.123976,0.9808,1e-06,22.1
13,0.045892,0.043353,0.551189,1.0,0.118264,0.9808,1e-06,22.7
14,0.042859,0.040183,0.575357,1.0,0.112912,0.9808,1e-06,22.0
15,0.040422,0.037617,0.598503,0.9998,0.10892,0.9808,1e-06,21.9
16,0.037087,0.034136,0.624498,1.0,0.104925,0.9808,1e-06,22.0
17,0.034525,0.031445,0.647584,0.9998,0.101353,0.9808,1e-06,21.7
18,0.032931,0.029732,0.669601,1.0,0.098292,0.9808,1e-06,22.1
19,0.030938,0.027622,0.690839,1.0,0.095204,0.9808,1e-06,22.1
20,0.029461,0.026004,0.71739,1.0,0.092537,0.9808,1e-06,22.1
21,0.027849,0.024302,0.73384,1.0,0.090158,0.9808,1e-06,22.6
22,0.027218,0.023561,0.754949,0.9998,0.088297,0.9808,1e-06,22.2
23,0.02555,0.021769,0.778142,0.9998,0.086431,0.9808,1e-06,22.4
24,0.024481,0.020612,0.794497,0.9998,0.084439,0.9808,1e-06,22.4
25,0.022384,0.018387,0.817728,0.9998,0.082936,0.9808,1e-06,22.5
26,0.022607,0.018537,0.832477,1.0,0.081409,0.9808,1e-06,22.7
27,0.022461,0.018312,0.848078,1.0,0.079881,0.9808,1e-06,22.1
28,0.021052,0.016814,0.864516,1.0,0.078591,0.9808,1e-06,21.9
29,0.020577,0.016231,0.885624,1.0,0.077241,0.9808,1e-06,22.0
30,0.019904,0.015449,0.906528,0.9998,0.076038,0.9808,1e-06,22.1
31,0.01964,0.015108,0.921501,1.0,0.074817,0.9808,1e-06,22.0
32,0.018709,0.014065,0.942894,0.9997,0.073694,0.9808,1e-06,22.0
33,0.018113,0.013398,0.956368,1.0,0.072815,0.9808,1e-06,21.8
34,0.017547,0.012728,0.976428,1.0,0.072122,0.9808,1e-06,22.4
35,0.01697,0.012066,0.992914,0.9998,0.071248,0.9808,1e-06,21.8
36,0.016839,0.011856,1.008374,1.0,0.07068,0.9808,1e-06,21.8
37,0.017109,0.012057,1.022463,0.9998,0.069954,0.9808,1e-06,21.4
38,0.016292,0.011168,1.035938,1.0,0.068949,0.9808,1e-06,22.2
39,0.015786,0.010598,1.04833,1.0,0.068424,0.9808,1e-06,22.2
40,0.015168,0.00985,1.073626,1.0,0.067891,0.9808,1e-06,22.4
41,0.015675,0.010312,1.083011,0.9998,0.067262,0.9808,1e-06,22.2
42,0.014749,0.009308,1.097511,1.0,0.067001,0.9808,1e-06,21.8
43,0.014928,0.009404,1.114218,0.9998,0.066361,0.9808,1e-06,21.7
44,0.014592,0.00902,1.123427,1.0,0.065733,0.9808,1e-06,21.8
45,0.014554,0.008932,1.133174,0.9998,0.065259,0.9796,1e-06,21.7
46,0.014039,0.008373,1.141651,1.0,0.06551,0.982,1e-06,22.3
47,0.014514,0.008772,1.157256,0.9998,0.065203,0.9796,1e-06,22.8
48,0.013946,0.008131,1.171081,1.0,0.064363,0.9796,1e-06,22.7
49,0.0138,0.007921,1.183726,0.9998,0.064257,0.982,1e-06,22.0
50,0.013277,0.007338,1.195142,1.0,0.063979,0.9796,1e-06,22.4
51,0.013208,0.007178,1.213175,1.0,0.063552,0.9832,1e-06,22.5
52,0.013586,0.007554,1.214046,0.9998,0.062549,0.9808,1e-06,22.5
53,0.013509,0.007423,1.224541,0.9998,0.062245,0.9832,1e-06,22.3
54,0.012722,0.006568,1.237392,1.0,0.062699,0.9832,1e-06,22.4
55,0.012587,0.00635,1.253644,1.0,0.062394,0.9832,1e-06,21.7
56,0.012787,0.006522,1.259426,1.0,0.06174,0.9832,1e-06,22.4
57,0.013176,0.006891,1.263849,1.0,0.061153,0.982,1e-06,21.2
58,0.012575,0.00622,1.277224,1.0,0.062102,0.9832,1e-06,19.9
59,0.012729,0.006291,1.293917,1.0,0.062099,0.9832,1e-06,20.0
60,0.012286,0.005858,1.291366,1.0,0.061265,0.982,1e-06,19.8
61,0.012186,0.005722,1.298411,1.0,0.060927,0.9832,1e-06,20.0
62,0.012589,0.006059,1.311928,1.0,0.06056,0.9832,1e-06,19.8
63,0.012565,0.005979,1.323192,0.9998,0.060543,0.9832,1e-06,19.8
64,0.01183,0.005224,1.326545,0.9998,0.060797,0.9832,1e-06,20.0
65,0.012145,0.00548,1.338468,1.0,0.060586,0.9832,1e-06,19.8
66,0.01208,0.005432,1.335146,1.0,0.060624,0.9832,1e-06,20.1
67,0.012174,0.005469,1.346398,1.0,0.06015,0.9832,1e-06,20.0
68,0.011949,0.005229,1.349142,1.0,0.059809,0.9832,1e-06,19.8
69,0.01213,0.005358,1.359712,1.0,0.059764,0.9832,1e-06,20.2
70,0.012149,0.005361,1.362908,1.0,0.059539,0.9832,1e-06,20.1
71,0.011731,0.004858,1.379542,1.0,0.0594,0.9832,1e-06,20.2
72,0.01193,0.005067,1.377794,1.0,0.058881,0.9832,1e-06,20.1
73,0.011763,0.004854,1.38671,0.9998,0.059537,0.9832,1e-06,20.1
74,0.011854,0.004944,1.386845,0.9998,0.05964,0.9844,1e-06,19.9
75,0.011545,0.004602,1.393252,1.0,0.059223,0.9832,1e-06,19.7
76,0.011658,0.004669,1.402322,1.0,0.058787,0.9832,1e-06,19.8
77,0.011757,0.004752,1.405734,1.0,0.059177,0.9832,1e-06,20.1
78,0.011736,0.004731,1.405675,1.0,0.058966,0.9844,1e-06,20.0
79,0.011464,0.004388,1.419665,1.0,0.059487,0.9844,1e-06,20.1
80,0.011217,0.004141,1.419205,1.0,0.058673,0.9844,1e-06,19.8
