epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,0.177928,0.177523,0.258576,1.0,0.302253,0.982,2e-07,24.9
2,0.167855,0.167377,0.26291,1.0,0.285286,0.9844,4e-07,26.7
3,0.148506,0.147866,0.275831,0.9998,0.260846,0.9844,6e-07,26.7
4,0.130196,0.12936,0.296424,1.0,0.234198,0.9844,8e-07,26.2
5,0.112114,0.111047,0.324311,1.0,0.20795,0.9832,1e-06,26.9
6,0.09678,0.095483,0.354732,0.9998,0.185698,0.982,1e-06,25.9
7,0.082042,0.080503,0.38833,1.0,0.169166,0.982,1e-06,25.6
8,0.073015,0.071259,0.422437,1.0,0.155778,0.982,1e-06,22.9
9,0.065504,0.06356,0.452347,1.0,0.144917,0.982,1e-06,22.0
10,0.057293,0.055174,0.478983,0.9998,0.13585,0.9808,1e-06,23.5
11,0.052309,0.049994,0.512947,0.9998,0.127854,0.9808,1e-06,29.0
12,0.047744,0.045291,0.535893,1.0,0.121641,0.9808,1e-06,30.8
13,0.043583,0.040959,0.565684,1.0,0.116265,0.9808,1e-06,33.5
14,0.040727,0.037967,0.589862,1.0,0.111127,0.982,1e-06,31.5
15,0.038508,0.035619,0.613454,1.0,0.107219,0.982,1e-06,34.2
16,0.035322,0.032285,0.639796,0.9998,0.103397,0.982,1e-06,34.8
17,0.032886,0.029718,0.663348,0.9998,0.099991,0.982,1e-06,33.1
18,0.031454,0.028167,0.685466,1.0,0.096995,0.982,1e-06,31.5
19,0.029462,0.026059,0.706643,1.0,0.09403,0.982,1e-06,34.0
20,0.028378,0.024834,0.733572,0.9998,0.091551,0.982,1e-06,35.9
21,0.026699,0.023063,0.750278,1.0,0.089241,0.982,1e-06,34.4
22,0.025971,0.022226,0.771322,0.9998,0.087466,0.982,1e-06,31.1
23,0.024483,0.020615,0.794252,0.9998,0.085713,0.982,1e-06,34.5
24,0.023575,0.019618,0.811066,0.9998,0.083757,0.982,1e-06,35.9
25,0.021552,0.017468,0.834374,0.9998,0.082249,0.982,1e-06,33.7
26,0.021737,0.01758,0.849134,1.0,0.08073,0.982,1e-06,33.9
27,0.02161,0.017375,0.864368,1.0,0.079318,0.982,1e-06,33.5
28,0.020317,0.01599,0.881483,1.0,0.078049,0.982,1e-06,34.3
29,0.020029,0.015595,0.902407,1.0,0.07687,0.982,1e-06,35.9
30,0.01931,0.014769,0.923065,0.9998,0.075651,0.9832,1e-06,33.1
31,0.019094,0.014476,0.937995,0.9998,0.07451,0.9832,1e-06,31.0
32,0.018176,0.013448,0.959198,0.9997,0.073473,0.9832,1e-06,35.5
33,0.017552,0.012753,0.972529,1.0,0.072594,0.9832,1e-06,35.2
34,0.017002,0.012103,0.992033,1.0,0.071938,0.9832,1e-06,33.9
35,0.016514,0.011527,1.008918,0.9998,0.071094,0.9832,1e-06,30.4
36,0.016389,0.011325,1.023991,1.0,0.070513,0.9832,1e-06,34.8
37,0.016636,0.011503,1.038195,0.9998,0.069864,0.9832,1e-06,35.1
38,0.015911,0.010706,1.051689,1.0,0.068862,0.9844,1e-06,32.8
39,0.015421,0.010152,1.064017,1.0,0.068376,0.9832,1e-06,33.5
40,0.014786,0.009389,1.088759,1.0,0.067804,0.9808,1e-06,32.3
41,0.015267,0.009824,1.098512,0.9998,0.067195,0.9832,1e-06,33.2
42,0.014398,0.008878,1.112793,1.0,0.066944,0.9832,1e-06,35.4
43,0.014695,0.009094,1.129135,0.9998,0.066431,0.9844,1e-06,33.9
44,0.01424,0.008591,1.138411,0.9998,0.065784,0.9844,1e-06,30.6
45,0.01432,0.00862,1.148592,0.9998,0.065322,0.9844,1e-06,32.8
46,0.01382,0.008079,1.156269,1.0,0.06566,0.9844,1e-06,35.6
47,0.014106,0.00829,1.171504,0.9998,0.065336,0.9832,1e-06,38.9
48,0.013689,0.007802,1.185263,1.0,0.064509,0.9844,1e-06,38.7
49,0.01357,0.007618,1.19803,0.9998,0.064264,0.9844,1e-06,38.4
50,0.013063,0.007051,1.209316,1.0,0.06413,0.9832,1e-06,37.4
51,0.013012,0.00691,1.227382,1.0,0.063605,0.9856,1e-06,37.9
52,0.013393,0.007289,1.227993,0.9998,0.062651,0.9856,1e-06,36.8
53,0.013265,0.007109,1.238203,0.9998,0.062376,0.9868,1e-06,37.5
54,0.012539,0.006317,1.250788,1.0,0.062794,0.9856,1e-06,34.7
55,0.012468,0.006165,1.26663,1.0,0.062543,0.9832,1e-06,30.9
56,0.012634,0.006302,1.272881,1.0,0.06191,0.9844,1e-06,30.4
57,0.01297,0.006623,1.27622,1.0,0.061328,0.9844,1e-06,34.8
58,0.012432,0.006015,1.289436,0.9998,0.062201,0.9832,1e-06,36.0
59,0.012562,0.006064,1.305675,0.9998,0.062194,0.9832,1e-06,35.6
60,0.01221,0.005722,1.303318,1.0,0.061391,0.9832,1e-06,34.3
61,0.012094,0.005577,1.30915,1.0,0.061154,0.9832,1e-06,30.2
62,0.012422,0.005837,1.322823,1.0,0.060779,0.9844,1e-06,24.2
63,0.012497,0.005858,1.333618,0.9998,0.060711,0.9832,1e-06,22.8
64,0.011727,0.005066,1.337204,0.9998,0.060836,0.9832,1e-06,33.1
65,0.012009,0.005288,1.349498,1.0,0.060715,0.9844,1e-06,34.7
66,0.011951,0.005249,1.345607,1.0,0.060747,0.9844,1e-06,35.4
67,0.012041,0.005284,1.35668,1.0,0.060314,0.9844,1e-06,35.2
68,0.011815,0.005043,1.359473,1.0,0.060003,0.9844,1e-06,30.7
69,0.012035,0.005212,1.369835,1.0,0.059942,0.9856,1e-06,34.8
70,0.011968,0.005131,1.372596,1.0,0.059671,0.9856,1e-06,35.8
71,0.011691,0.004769,1.389139,0.9998,0.05959,0.9844,1e-06,31.8
72,0.01184,0.00493,1.38691,1.0,0.059199,0.9844,1e-06,29.5
73,0.011708,0.004757,1.394976,1.0,0.059715,0.9832,1e-06,25.0
74,0.0118,0.004844,1.395903,0.9998,0.059886,0.9844,1e-06,24.2
75,0.011452,0.004465,1.401808,1.0,0.059479,0.9832,1e-06,31.4
76,0.011572,0.004543,1.410228,1.0,0.059047,0.9844,1e-06,35.9
77,0.011654,0.00461,1.413389,1.0,0.059487,0.9844,1e-06,36.2
78,0.011638,0.004597,1.412858,1.0,0.059202,0.9832,1e-06,34.2
79,0.011342,0.004227,1.427232,1.0,0.059621,0.9844,1e-06,30.2
80,0.011156,0.004042,1.426782,1.0,0.058902,0.9844,1e-06,22.9
