epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,0.635102,0.165966,1.104239,1.0,0.255202,0.9856,2e-07,23.9
2,0.633246,0.163573,1.10292,1.0,0.249835,0.9856,4e-07,23.3
3,0.63314,0.168171,1.09811,0.9995,0.253081,0.9856,6e-07,25.4
4,0.632342,0.16825,1.096434,1.0,0.253379,0.9856,8e-07,27.5
5,0.630571,0.168155,1.092986,0.9998,0.258022,0.9856,1e-06,28.3
6,0.628978,0.173561,1.084395,1.0,0.26153,0.9856,1e-06,28.7
7,0.628175,0.173765,1.082584,1.0,0.264206,0.9856,1e-06,28.5
8,0.624781,0.174271,1.07529,1.0,0.271956,0.9856,1e-06,28.4
9,0.623248,0.177371,1.069126,1.0,0.272074,0.9844,1e-06,28.5
10,0.622916,0.183044,1.062788,1.0,0.271964,0.9856,1e-06,28.3
11,0.621382,0.181192,1.061573,0.9998,0.270455,0.9856,1e-06,28.1
12,0.619265,0.184305,1.054224,1.0,0.275906,0.9856,1e-06,28.1
13,0.617667,0.18949,1.045845,1.0,0.278852,0.9844,1e-06,27.8
14,0.61586,0.189639,1.042081,0.9998,0.28296,0.9844,1e-06,27.1
15,0.614763,0.189586,1.03994,1.0,0.284197,0.9832,1e-06,26.3
16,0.613767,0.191607,1.035927,1.0,0.28391,0.9844,1e-06,25.2
17,0.612468,0.194653,1.030282,1.0,0.292018,0.9832,1e-06,24.8
18,0.610811,0.196493,1.025129,1.0,0.288587,0.9844,1e-06,25.6
19,0.609515,0.197009,1.022021,1.0,0.293634,0.9844,1e-06,24.8
20,0.609569,0.199991,1.019148,1.0,0.290408,0.9832,1e-06,23.6
21,0.608141,0.203321,1.01296,1.0,0.294667,0.9856,1e-06,21.7
22,0.609272,0.207546,1.010998,1.0,0.297261,0.9832,1e-06,22.3
23,0.607031,0.206629,1.007433,1.0,0.29752,0.9844,1e-06,22.4
24,0.605869,0.211367,1.000371,0.9998,0.305279,0.9844,1e-06,22.8
25,0.604668,0.212031,0.997305,1.0,0.301121,0.9856,1e-06,23.1
26,0.603431,0.212414,0.994448,1.0,0.306701,0.9856,1e-06,24.1
27,0.603237,0.218214,0.98826,0.9998,0.312747,0.9844,1e-06,26.4
28,0.602938,0.219105,0.986771,1.0,0.308925,0.9856,1e-06,27.8
29,0.601573,0.217691,0.985455,1.0,0.312145,0.9832,1e-06,28.7
30,0.601849,0.22409,0.979608,1.0,0.315966,0.9856,1e-06,28.5
31,0.599611,0.219771,0.97945,1.0,0.319664,0.9844,1e-06,28.8
32,0.600046,0.223601,0.976491,0.9998,0.317997,0.9856,1e-06,28.4
33,0.599291,0.224965,0.973617,1.0,0.323596,0.9832,1e-06,28.9
34,0.598865,0.226519,0.971211,1.0,0.319249,0.9868,1e-06,27.9
35,0.597988,0.227233,0.968743,0.9998,0.321408,0.9856,1e-06,28.0
36,0.598515,0.234474,0.962556,0.9998,0.323406,0.9844,1e-06,28.3
