epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,0.354388,0.182713,1.041087,1.0,0.310379,0.9832,2e-07,20.0
2,0.351672,0.175985,1.054422,1.0,0.298549,0.9832,4e-07,20.0
3,0.348098,0.165304,1.079273,0.9998,0.282405,0.9856,6e-07,21.0
4,0.344651,0.152747,1.112265,0.9998,0.266165,0.9856,8e-07,21.7
5,0.340923,0.140191,1.143851,1.0,0.254567,0.9856,1e-06,22.4
6,0.340702,0.13426,1.166472,1.0,0.244358,0.9856,1e-06,22.6
7,0.339617,0.126903,1.190471,1.0,0.241318,0.9856,1e-06,23.1
8,0.338426,0.123727,1.197222,1.0,0.238554,0.9856,1e-06,24.2
9,0.33831,0.122218,1.202679,1.0,0.23609,0.9856,1e-06,24.6
10,0.339516,0.123246,1.204595,0.9998,0.23347,0.9856,1e-06,27.9
11,0.338154,0.119233,1.213838,0.9998,0.233469,0.9856,1e-06,28.2
12,0.337004,0.118887,1.209469,1.0,0.233729,0.9856,1e-06,26.9
13,0.337473,0.120557,1.20514,1.0,0.232139,0.9856,1e-06,26.2
14,0.336075,0.116735,1.213437,1.0,0.232195,0.9856,1e-06,25.4
15,0.336585,0.117348,1.21353,1.0,0.23272,0.9856,1e-06,22.1
16,0.336533,0.117874,1.211168,1.0,0.232751,0.9856,1e-06,21.6
17,0.335765,0.117199,1.210028,1.0,0.231844,0.9856,1e-06,22.9
18,0.335406,0.116794,1.209851,1.0,0.232544,0.9856,1e-06,25.0
19,0.335505,0.116676,1.210821,1.0,0.23286,0.9856,1e-06,28.1
20,0.336519,0.117954,1.210776,1.0,0.23283,0.9856,1e-06,30.7
21,0.335147,0.116957,1.207908,1.0,0.232374,0.9856,1e-06,30.1
22,0.33665,0.117826,1.211947,1.0,0.232524,0.9844,1e-06,28.8
23,0.335219,0.116426,1.210391,1.0,0.232235,0.9856,1e-06,20.5
24,0.336106,0.118572,1.206244,1.0,0.231126,0.9856,1e-06,21.7
25,0.334759,0.116289,1.20864,1.0,0.231701,0.9844,1e-06,31.0
26,0.334903,0.116696,1.207734,1.0,0.230952,0.9844,1e-06,32.1
27,0.33636,0.118582,1.207468,1.0,0.22975,0.9844,1e-06,27.4
28,0.335421,0.117066,1.208839,1.0,0.229222,0.9856,1e-06,20.8
29,0.33529,0.116236,1.211509,1.0,0.229836,0.9844,1e-06,22.8
30,0.335401,0.11706,1.208766,1.0,0.229598,0.9844,1e-06,31.5
31,0.334261,0.114322,1.21402,1.0,0.23116,0.9844,1e-06,33.2
32,0.335138,0.117231,1.206764,0.9998,0.231591,0.9844,1e-06,31.9
33,0.334161,0.115772,1.207719,1.0,0.231252,0.9844,1e-06,25.0
34,0.334278,0.11568,1.208671,0.9998,0.230713,0.9832,1e-06,20.8
35,0.334128,0.115871,1.207155,1.0,0.232395,0.9832,1e-06,26.1
36,0.335701,0.119196,1.201722,0.9998,0.229943,0.9832,1e-06,33.5
37,0.333992,0.115831,1.206639,1.0,0.23015,0.9832,1e-06,31.0
38,0.333913,0.115724,1.206672,1.0,0.230036,0.9832,1e-06,26.1
39,0.334614,0.115504,1.211055,1.0,0.230222,0.9832,1e-06,20.3
40,0.333612,0.11463,1.209541,1.0,0.232061,0.9832,1e-06,26.0
41,0.333746,0.116395,1.203148,1.0,0.229974,0.9844,1e-06,32.0
42,0.334091,0.116221,1.205573,0.9998,0.229928,0.9832,1e-06,32.9
43,0.33242,0.114299,1.204904,1.0,0.230322,0.9832,1e-06,27.3
44,0.333696,0.116393,1.202909,1.0,0.229074,0.9832,1e-06,21.4
45,0.333316,0.115631,1.204058,0.9998,0.229058,0.9832,1e-06,22.7
46,0.332907,0.115673,1.201844,1.0,0.229263,0.9844,1e-06,32.0
47,0.33337,0.115179,1.206134,1.0,0.229671,0.9832,1e-06,33.1
48,0.333388,0.115785,1.203802,1.0,0.22869,0.9832,1e-06,31.4
49,0.333077,0.11424,1.208428,1.0,0.229555,0.9832,1e-06,22.5
50,0.332723,0.115038,1.203464,1.0,0.229054,0.9832,1e-06,20.8
51,0.33177,0.113491,1.204886,1.0,0.230596,0.9832,1e-06,27.7
52,0.333385,0.116881,1.199403,1.0,0.228864,0.9832,1e-06,33.0
53,0.333281,0.116035,1.202262,1.0,0.228291,0.9832,1e-06,30.4
54,0.333074,0.115743,1.202398,1.0,0.227585,0.9832,1e-06,26.9
55,0.332608,0.114634,1.204501,1.0,0.228378,0.9832,1e-06,20.9
56,0.33341,0.115724,1.204156,1.0,0.228861,0.9832,1e-06,23.7
57,0.333121,0.115912,1.201958,1.0,0.229392,0.9832,1e-06,31.0
58,0.332082,0.115396,1.198826,1.0,0.227294,0.9832,1e-06,32.3
59,0.331782,0.113176,1.206206,1.0,0.229589,0.9832,1e-06,30.1
60,0.33327,0.11533,1.20503,1.0,0.229247,0.9832,1e-06,24.5
61,0.332796,0.116131,1.199458,1.0,0.228309,0.9832,1e-06,21.1
62,0.331571,0.114134,1.201319,1.0,0.228237,0.9832,1e-06,27.3
63,0.331536,0.114313,1.200428,1.0,0.228288,0.9832,1e-06,32.6
64,0.332268,0.115291,1.200175,1.0,0.22793,0.9832,1e-06,38.4
65,0.33151,0.113517,1.20348,1.0,0.229551,0.9832,1e-06,38.5
66,0.333537,0.116964,1.199828,1.0,0.227879,0.9832,1e-06,38.1
67,0.33265,0.115524,1.201155,1.0,0.228362,0.9832,1e-06,36.8
68,0.330999,0.113743,1.200023,1.0,0.227945,0.9832,1e-06,37.0
69,0.33196,0.11563,1.197279,0.9998,0.227337,0.9832,1e-06,36.4
70,0.332261,0.115196,1.200523,1.0,0.226239,0.9832,1e-06,35.3
71,0.331879,0.114398,1.201803,1.0,0.227885,0.9832,1e-06,31.2
72,0.332027,0.115439,1.198377,1.0,0.227004,0.9832,1e-06,27.1
73,0.333756,0.116788,1.201627,1.0,0.22537,0.9832,1e-06,24.9
74,0.331438,0.113667,1.202521,1.0,0.226704,0.9832,1e-06,26.1
75,0.332112,0.113599,1.206165,1.0,0.228444,0.9832,1e-06,30.7
76,0.329512,0.111991,1.199598,1.0,0.229942,0.9832,1e-06,33.8
77,0.332301,0.115297,1.200317,1.0,0.23053,0.9832,1e-06,35.8
78,0.330848,0.114741,1.195275,1.0,0.228183,0.9832,1e-06,36.8
79,0.330065,0.11221,1.201484,1.0,0.23051,0.9832,1e-06,34.2
80,0.330219,0.114919,1.191422,1.0,0.229109,0.9832,1e-06,31.0
81,0.331608,0.114914,1.198388,0.9998,0.227899,0.9832,1e-06,35.2
82,0.330844,0.114279,1.197102,1.0,0.228589,0.9832,1e-06,36.0
83,0.330452,0.114922,1.192572,1.0,0.227618,0.9832,1e-06,35.6
84,0.331765,0.115379,1.197311,1.0,0.226022,0.9832,1e-06,30.2
85,0.329661,0.111166,1.203644,1.0,0.228675,0.9832,1e-06,22.9
86,0.329665,0.11379,1.193168,1.0,0.228746,0.9832,1e-06,22.0
87,0.331306,0.114362,1.19908,0.9998,0.228754,0.9832,1e-06,31.8
88,0.329939,0.114301,1.192491,1.0,0.227103,0.9832,1e-06,36.6
89,0.331203,0.11518,1.195296,1.0,0.22655,0.9832,1e-06,35.0
90,0.331817,0.11441,1.201441,1.0,0.227402,0.9832,1e-06,32.5
91,0.330407,0.11356,1.197798,1.0,0.227367,0.9832,1e-06,31.3
92,0.329685,0.113271,1.19534,1.0,0.227857,0.9832,1e-06,36.9
93,0.330306,0.113874,1.196033,1.0,0.22791,0.9832,1e-06,36.6
94,0.330878,0.115055,1.19417,1.0,0.227088,0.9832,1e-06,33.5
95,0.330736,0.114693,1.194906,1.0,0.226348,0.9832,1e-06,29.5
96,0.329124,0.111218,1.200748,1.0,0.228688,0.9832,1e-06,24.4
97,0.330998,0.115115,1.194526,1.0,0.226866,0.9832,1e-06,23.8
98,0.329722,0.113367,1.195139,1.0,0.227993,0.9832,1e-06,22.2
99,0.330079,0.112712,1.199545,1.0,0.227956,0.9832,1e-06,22.0
