epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,0.167849,0.167277,0.281697,1.0,0.247312,0.9856,2e-07,28.2
2,0.167191,0.166619,0.280839,1.0,0.253067,0.9856,4e-07,28.1
3,0.162297,0.161686,0.284026,1.0,0.247478,0.9856,6e-07,28.4
4,0.160928,0.160313,0.283262,1.0,0.244281,0.9856,8e-07,28.6
5,0.158839,0.158203,0.285362,1.0,0.24575,0.9856,1e-06,28.7
6,0.160102,0.15947,0.285828,1.0,0.238572,0.9856,1e-06,29.0
7,0.154564,0.153895,0.287666,1.0,0.236551,0.9856,1e-06,29.3
8,0.154315,0.153624,0.291862,1.0,0.236073,0.9856,1e-06,29.0
9,0.153711,0.153006,0.294096,1.0,0.237386,0.9856,1e-06,29.2
10,0.149316,0.148606,0.290574,0.9998,0.232351,0.9844,1e-06,28.8
11,0.14715,0.146391,0.298247,0.9998,0.231942,0.9844,1e-06,29.0
12,0.145986,0.145234,0.295688,1.0,0.228426,0.9832,1e-06,29.0
13,0.145864,0.145096,0.298653,1.0,0.228344,0.9856,1e-06,29.4
14,0.144667,0.143888,0.299734,1.0,0.230994,0.9844,1e-06,29.4
15,0.142518,0.14172,0.301229,1.0,0.223,0.9844,1e-06,29.2
16,0.140364,0.139541,0.304091,1.0,0.221663,0.9844,1e-06,29.4
17,0.137761,0.136923,0.304564,1.0,0.222376,0.9832,1e-06,29.3
18,0.13882,0.137979,0.306254,1.0,0.219447,0.9832,1e-06,29.5
19,0.138777,0.137928,0.307811,1.0,0.215876,0.9832,1e-06,28.9
20,0.135924,0.135037,0.312429,0.9998,0.213093,0.9832,1e-06,28.6
21,0.135265,0.134384,0.310483,1.0,0.212163,0.982,1e-06,27.9
22,0.136674,0.135792,0.312312,1.0,0.215781,0.9832,1e-06,27.2
23,0.133098,0.132194,0.313125,1.0,0.216016,0.982,1e-06,26.8
24,0.132802,0.131894,0.313316,0.9998,0.208002,0.9832,1e-06,26.2
25,0.127927,0.126989,0.314605,0.9998,0.209643,0.9832,1e-06,26.4
26,0.130166,0.129228,0.316854,1.0,0.211711,0.9844,1e-06,27.4
27,0.132608,0.131675,0.318159,1.0,0.207416,0.982,1e-06,27.6
28,0.129915,0.12897,0.317958,1.0,0.206517,0.982,1e-06,26.1
29,0.128946,0.127986,0.319962,1.0,0.207489,0.982,1e-06,25.9
30,0.128575,0.1276,0.322634,0.9998,0.199574,0.982,1e-06,25.6
31,0.127263,0.126264,0.32604,1.0,0.20098,0.982,1e-06,25.2
32,0.125996,0.124988,0.326554,1.0,0.204087,0.9832,1e-06,25.0
33,0.124962,0.123951,0.326176,1.0,0.198821,0.982,1e-06,24.7
34,0.123132,0.122102,0.328055,0.9997,0.197639,0.982,1e-06,24.5
35,0.12075,0.1197,0.329722,0.9998,0.199729,0.982,1e-06,24.4
36,0.12167,0.120613,0.33197,0.9998,0.195928,0.982,1e-06,24.1
37,0.122902,0.12184,0.334276,1.0,0.196131,0.9808,1e-06,24.2
38,0.119343,0.118263,0.334285,1.0,0.196755,0.982,1e-06,24.2
39,0.119623,0.118546,0.333814,1.0,0.195602,0.982,1e-06,24.1
40,0.118386,0.117284,0.337834,1.0,0.193549,0.982,1e-06,23.8
41,0.117831,0.116728,0.337236,1.0,0.193431,0.9808,1e-06,23.8
42,0.116899,0.115778,0.340073,1.0,0.191286,0.982,1e-06,23.8
43,0.114715,0.113568,0.343123,1.0,0.191094,0.9808,1e-06,23.7
