epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,0.220398,0.166564,1.243241,1.0,0.244511,0.9856,2.02e-06,31.1
2,0.216928,0.162111,1.258441,1.0,0.244053,0.9856,4.02e-06,31.6
3,0.208432,0.151574,1.288738,1.0,0.230585,0.9856,6.02e-06,30.8
4,0.202397,0.143735,1.31697,1.0,0.220353,0.9856,8.02e-06,28.5
5,0.196737,0.135628,1.357806,1.0,0.214573,0.982,1e-05,28.5
6,0.193757,0.130743,1.391041,1.0,0.201363,0.9832,1e-05,28.3
7,0.186581,0.120802,1.436388,1.0,0.195516,0.982,9.98e-06,29.3
8,0.185124,0.117339,1.473041,1.0,0.19085,0.982,9.96e-06,29.2
9,0.183175,0.113554,1.505963,1.0,0.18954,0.982,9.93e-06,30.5
10,0.178029,0.107327,1.521377,1.0,0.18296,0.982,9.89e-06,30.5
11,0.176901,0.103815,1.565538,0.9998,0.179728,0.982,9.84e-06,29.5
12,0.174516,0.100865,1.573891,1.0,0.175068,0.982,9.78e-06,25.9
13,0.173958,0.098947,1.599165,1.0,0.173811,0.9832,9.71e-06,30.4
14,0.172755,0.096649,1.618753,1.0,0.174663,0.982,9.64e-06,32.4
15,0.171297,0.093938,1.641118,1.0,0.167128,0.9832,9.55e-06,34.2
16,0.169731,0.091227,1.661307,1.0,0.166325,0.982,9.46e-06,36.1
17,0.168009,0.08868,1.675255,1.0,0.165667,0.9832,9.36e-06,38.7
18,0.168328,0.088306,1.688739,1.0,0.162128,0.9832,9.26e-06,40.2
19,0.168431,0.087603,1.70415,1.0,0.159853,0.9844,9.14e-06,40.9
20,0.167826,0.085431,1.733346,0.9998,0.157374,0.982,9.02e-06,42.3
21,0.166161,0.083693,1.733046,1.0,0.156343,0.9832,8.89e-06,42.7
22,0.167042,0.08441,1.737049,0.9998,0.159308,0.982,8.75e-06,42.6
23,0.164985,0.081508,1.75105,1.0,0.158512,0.982,8.61e-06,42.6
24,0.165053,0.081196,1.758332,0.9998,0.152321,0.9844,8.46e-06,42.1
25,0.162162,0.077271,1.775082,0.9998,0.15268,0.9832,8.31e-06,42.2
26,0.164,0.078898,1.780939,1.0,0.154724,0.9832,8.15e-06,40.4
27,0.165713,0.080625,1.782385,1.0,0.151053,0.9832,7.98e-06,38.4
28,0.16373,0.078206,1.788686,1.0,0.151798,0.9844,7.81e-06,42.0
29,0.163862,0.077704,1.800868,1.0,0.151962,0.9832,7.63e-06,43.1
30,0.163734,0.077257,1.80679,0.9998,0.144717,0.9844,7.45e-06,43.3
31,0.163745,0.07643,1.822717,1.0,0.146946,0.9832,7.27e-06,43.8
32,0.163109,0.075492,1.827817,1.0,0.148848,0.9856,7.08e-06,43.4
33,0.162188,0.074716,1.824162,1.0,0.146392,0.982,6.89e-06,43.4
34,0.161755,0.073578,1.837121,0.9998,0.144877,0.9832,6.7e-06,42.7
35,0.160499,0.071737,1.846984,0.9998,0.147539,0.982,6.5e-06,42.3
36,0.161882,0.073116,1.848436,1.0,0.144891,0.9832,6.3e-06,42.4
37,0.162754,0.074012,1.848851,1.0,0.145324,0.9832,6.1e-06,42.4
38,0.160957,0.071733,1.856214,1.0,0.146603,0.9844,5.9e-06,42.8
39,0.160635,0.071696,1.850462,1.0,0.145376,0.9844,5.7e-06,41.8
40,0.161032,0.071286,1.866202,1.0,0.143669,0.9844,5.5e-06,37.4
41,0.160528,0.071024,1.861095,1.0,0.143939,0.9844,5.3e-06,36.4
42,0.160623,0.070493,1.873092,1.0,0.143448,0.9844,5.1e-06,36.2
43,0.160145,0.069419,1.883934,1.0,0.143151,0.9832,4.9e-06,36.8
44,0.159646,0.069019,1.881564,1.0,0.143272,0.9856,4.7e-06,36.1
45,0.160316,0.070311,1.870417,1.0,0.142933,0.9868,4.5e-06,36.5
46,0.159793,0.069955,1.866714,0.9998,0.144096,0.9844,4.3e-06,36.5
47,0.15993,0.069392,1.880159,0.9998,0.141276,0.9868,4.11e-06,36.9
48,0.159816,0.069299,1.879636,1.0,0.143503,0.9844,3.92e-06,36.9
49,0.160007,0.069143,1.88642,1.0,0.14126,0.9844,3.73e-06,36.5
50,0.158295,0.067231,1.888513,1.0,0.142022,0.9844,3.55e-06,36.9
51,0.158205,0.066583,1.899016,1.0,0.142223,0.9856,3.37e-06,36.5
52,0.15942,0.068668,1.883724,0.9997,0.141048,0.9832,3.19e-06,36.6
