epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,0.683233,0.271227,2.331255,0.9979,0.286929,0.9784,2.019e-05,14.3
2,0.677242,0.288457,2.23238,0.9976,0.299156,0.976,4.019e-05,17.6
3,0.672398,0.301831,2.154666,0.9976,0.303084,0.9796,6.019e-05,20.4
4,0.668353,0.302774,2.130672,0.9971,0.321392,0.9796,8.019e-05,20.7
5,0.668926,0.31227,2.095551,0.9983,0.302757,0.9772,0.0001,20.8
6,0.670842,0.317047,2.086021,0.9965,0.305011,0.9784,9.997e-05,20.7
7,0.667913,0.316079,2.075251,0.9983,0.305147,0.982,9.989e-05,20.6
8,0.665757,0.317025,2.060684,0.9983,0.335655,0.9808,9.976e-05,25.0
9,0.668173,0.32147,2.054986,0.9962,0.303516,0.9784,9.957e-05,30.8
10,0.662426,0.317162,2.043483,0.9971,0.326454,0.9784,9.932e-05,40.4
11,0.66325,0.318923,2.040556,0.9973,0.331652,0.982,9.903e-05,40.5
12,0.659489,0.314725,2.038546,0.9974,0.292728,0.982,9.868e-05,40.4
13,0.659712,0.316001,2.034554,0.9971,0.307926,0.982,9.828e-05,40.6
14,0.659654,0.316414,2.032611,0.9961,0.333372,0.9772,9.782e-05,40.5
15,0.663751,0.323718,2.023884,0.9977,0.291444,0.9832,9.732e-05,40.1
16,0.663184,0.320483,2.03399,0.9977,0.314643,0.982,9.676e-05,40.9
17,0.65906,0.316038,2.031151,0.998,0.334662,0.9784,9.615e-05,40.6
18,0.663628,0.324274,2.021042,0.9982,0.301534,0.9844,9.55e-05,40.5
19,0.661565,0.318614,2.033368,0.9982,0.302749,0.9808,9.479e-05,41.2
20,0.661009,0.323854,2.00963,0.9979,0.306907,0.9808,9.403e-05,40.8
21,0.660632,0.321361,2.017715,0.9974,0.295645,0.9832,9.323e-05,40.5
22,0.662637,0.323862,2.017737,0.9973,0.297499,0.9832,9.238e-05,40.5
23,0.662006,0.321963,2.022175,0.9974,0.302634,0.9796,9.149e-05,40.2
24,0.66071,0.322378,2.014038,0.998,0.292003,0.982,9.055e-05,41.0
25,0.668972,0.332317,2.015592,0.9967,0.302622,0.9808,8.956e-05,40.2
26,0.659654,0.322218,2.009398,0.9967,0.287287,0.9844,8.854e-05,39.6
27,0.661767,0.324083,2.0125,0.9962,0.291224,0.9808,8.747e-05,40.3
28,0.665146,0.326224,2.020836,0.9974,0.319079,0.9808,8.636e-05,40.2
29,0.666392,0.327879,2.020444,0.9956,0.283162,0.9856,8.521e-05,39.9
