epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,3.000559,5.089694,0.911424,0.1558,3.572843,0.5707,6.058e-05,51.3
2,1.936607,2.977708,0.895506,0.7306,2.412008,0.7686,0.00012058,49.3
3,1.525906,1.95921,1.092603,0.9235,1.610479,0.946,0.00018058,49.6
4,1.375551,1.577845,1.173257,0.963,1.415354,0.9556,0.00024058,49.5
5,1.305667,1.398484,1.21285,0.9751,1.677842,0.8837,0.0003,49.7
6,1.259894,1.283085,1.236703,0.9793,1.331239,0.9448,0.00029998,49.6
7,1.21944,1.196272,1.242607,0.9845,1.883755,0.7782,0.00029992,49.4
8,1.187397,1.124013,1.250781,0.9878,0.992028,0.9712,0.00029983,49.3
9,1.174102,1.099626,1.248577,0.9877,0.866409,0.9712,0.00029969,49.6
10,1.156652,1.065121,1.248182,0.9902,0.855266,0.9796,0.00029952,49.5
11,1.143751,1.04106,1.246442,0.9898,1.023346,0.9664,0.0002993,49.6
12,1.130978,1.018091,1.243865,0.9932,0.813731,0.9832,0.00029905,49.5
13,1.122698,1.00515,1.240246,0.9902,0.790608,0.9748,0.00029876,49.4
14,1.118192,0.996729,1.239654,0.9922,0.959853,0.9772,0.00029843,49.6
15,1.109301,0.983671,1.234932,0.9917,1.118653,0.9688,0.00029806,49.4
16,1.105411,0.977809,1.233013,0.9911,1.134972,0.9568,0.00029766,49.6
17,1.095196,0.959379,1.231012,0.9917,0.831314,0.9784,0.00029721,49.6
18,1.092435,0.963335,1.221534,0.9919,0.957218,0.97,0.00029673,49.5
19,1.08522,0.9467,1.223741,0.9929,0.792023,0.9868,0.00029621,49.5
20,1.079698,0.941726,1.217671,0.9923,0.711434,0.9832,0.00029566,49.3
21,1.083625,0.949037,1.218214,0.9916,0.725263,0.9856,0.00029506,49.5
22,1.072304,0.928124,1.216484,0.9938,0.670556,0.9868,0.00029443,49.4
23,1.080758,0.951223,1.210294,0.9904,0.738029,0.9808,0.00029376,49.6
24,1.073951,0.93614,1.211761,0.9925,0.686731,0.9892,0.00029305,49.4
25,1.071134,0.933532,1.208736,0.9913,0.74389,0.9808,0.00029231,49.8
26,1.061914,0.9184,1.205428,0.9911,0.856898,0.9772,0.00029153,50.2
27,1.056607,0.908438,1.204777,0.9928,0.791391,0.9808,0.00029071,50.3
28,1.056283,0.911956,1.20061,0.9929,1.176154,0.9197,0.00028985,50.1
29,1.053187,0.906014,1.200361,0.9929,1.124775,0.9508,0.00028896,50.5
30,1.051928,0.908201,1.195654,0.9928,1.074841,0.9676,0.00028804,50.4
31,1.054922,0.912309,1.197535,0.9926,0.69561,0.9868,0.00028708,50.2
32,1.048045,0.900413,1.195677,0.9934,0.685101,0.9832,0.00028608,49.9
33,1.046368,0.902923,1.189813,0.9926,0.69527,0.9844,0.00028505,50.5
34,1.042988,0.895553,1.190424,0.9922,0.715222,0.9832,0.00028398,50.1
35,1.040757,0.898473,1.183041,0.9926,0.708609,0.9844,0.00028288,50.6
36,1.039381,0.891535,1.187226,0.9908,0.883718,0.9748,0.00028174,50.2
37,1.036127,0.886337,1.185918,0.9923,0.680657,0.9868,0.00028057,50.5
38,1.038917,0.891607,1.186227,0.9913,0.680281,0.9856,0.00027936,50.7
39,1.037139,0.895694,1.178584,0.9923,0.739412,0.9892,0.00027813,50.8
40,1.034246,0.891014,1.177479,0.9937,0.795298,0.9736,0.00027686,50.4
41,1.035277,0.890545,1.180009,0.9914,0.705159,0.9844,0.00027555,50.1
42,1.033423,0.889343,1.177503,0.9932,0.666448,0.9868,0.00027422,50.4
43,1.031758,0.889465,1.174051,0.9931,0.60939,0.988,0.00027285,50.3
44,1.027651,0.883415,1.171887,0.992,0.659554,0.9844,0.00027145,50.5
45,1.025516,0.878959,1.172073,0.9913,0.693397,0.9868,0.00027002,50.3
46,1.020995,0.869976,1.172014,0.9925,0.677421,0.9892,0.00026855,50.2
47,1.027892,0.886488,1.169296,0.9919,0.678781,0.9868,0.00026706,50.4
48,1.017056,0.868526,1.165587,0.9937,0.868452,0.9724,0.00026554,50.5
49,1.023107,0.878868,1.167346,0.9925,0.644798,0.9856,0.00026398,50.3
50,1.022435,0.88312,1.161751,0.9925,0.686581,0.9892,0.0002624,50.2
51,1.023966,0.882499,1.165434,0.9931,0.611549,0.9904,0.00026079,50.4
52,1.016763,0.872823,1.160703,0.9935,0.720043,0.9832,0.00025915,50.8
53,1.020787,0.874644,1.166929,0.9925,0.68308,0.9856,0.00025748,50.3
54,1.017,0.875705,1.158295,0.9944,0.587235,0.9892,0.00025579,50.6
55,1.015939,0.867847,1.164032,0.9922,0.574995,0.982,0.00025406,50.9
56,1.018233,0.878309,1.158157,0.9931,0.704204,0.9796,0.00025231,50.7
57,1.012929,0.868757,1.1571,0.9932,0.686778,0.9808,0.00025054,50.8
58,1.01397,0.870363,1.157576,0.9923,0.654344,0.9832,0.00024873,50.8
59,1.013352,0.870644,1.15606,0.992,0.610621,0.9856,0.0002469,50.7
60,1.013494,0.874169,1.152819,0.9931,0.679871,0.982,0.00024505,50.7
61,1.013905,0.872325,1.155486,0.9926,0.563337,0.988,0.00024317,50.4
62,1.013889,0.875192,1.152587,0.9913,0.605505,0.988,0.00024127,50.7
63,1.009117,0.866453,1.151781,0.994,0.559769,0.9904,0.00023935,50.3
64,1.009773,0.866715,1.152832,0.9938,0.590392,0.988,0.0002374,50.6
65,1.00642,0.857671,1.15517,0.9929,0.604801,0.9916,0.00023543,50.4
66,1.003677,0.85926,1.148094,0.9914,0.577733,0.9904,0.00023343,50.4
67,1.006401,0.865126,1.147676,0.9922,0.587949,0.988,0.00023142,50.5
68,1.002196,0.859613,1.14478,0.9935,0.797384,0.982,0.00022938,50.3
69,1.005501,0.86659,1.144413,0.9944,0.634038,0.9844,0.00022733,50.6
70,1.005582,0.866074,1.145089,0.9925,0.706864,0.9868,0.00022525,50.1
71,1.005146,0.864915,1.145378,0.991,0.633198,0.988,0.00022315,50.1
72,1.003258,0.864822,1.141693,0.9923,0.653505,0.9832,0.00022104,50.2
73,1.008115,0.876838,1.139393,0.9908,0.603817,0.9856,0.00021891,50.6
74,1.003881,0.866783,1.140979,0.9938,0.644989,0.9868,0.00021676,50.7
75,1.004306,0.862825,1.145788,0.9926,0.626107,0.9892,0.00021459,50.5
76,1.007397,0.877847,1.136948,0.992,0.788159,0.9808,0.00021241,50.8
77,1.007442,0.873113,1.141771,0.9898,0.60712,0.9868,0.00021021,50.9
78,1.001414,0.86274,1.140088,0.9914,0.543136,0.988,0.00020799,50.6
79,1.002268,0.866283,1.138252,0.9926,0.774049,0.9772,0.00020576,50.6
80,0.998356,0.856601,1.140111,0.992,0.577165,0.9904,0.00020351,50.3
81,1.006757,0.879917,1.133597,0.9898,0.526599,0.9892,0.00020125,50.3
82,0.996756,0.857423,1.13609,0.9913,0.588182,0.9844,0.00019898,50.2
83,1.000001,0.86594,1.134063,0.9949,0.756143,0.9844,0.0001967,50.7
84,1.002124,0.86596,1.138288,0.9923,0.580433,0.9892,0.0001944,51.4
85,0.999099,0.861199,1.137,0.9911,0.622293,0.988,0.00019209,50.7
86,1.000028,0.866333,1.133723,0.9914,0.544457,0.9916,0.00018977,50.7
