epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_acc,val_loss,val_acc,lr,time_s
1,0.105464,0.184342,0.068596,0.013719,0.0,0.0,1.0,0.3136,0.9832,4e-08,23.2
2,0.105185,0.18209,0.068766,0.013753,0.0,0.0,1.0,0.310424,0.9832,8e-08,23.5
3,0.104642,0.178537,0.068935,0.013787,0.0,0.0,1.0,0.305316,0.9832,1.2e-07,23.7
4,0.10443,0.177284,0.068973,0.013795,0.0,0.0,1.0,0.298365,0.9832,1.6e-07,25.0
5,0.102413,0.168172,0.068779,0.013756,0.0,0.0,1.0,0.290018,0.9856,2e-07,24.7
6,0.101148,0.162138,0.06872,0.013744,0.0,0.0,1.0,0.281462,0.9856,2e-07,23.9
7,0.099346,0.152898,0.068767,0.013753,0.0,0.0,1.0,0.273659,0.9856,2e-07,23.8
8,0.098369,0.148671,0.068635,0.013727,0.0,0.0,1.0,0.266441,0.9856,2e-07,23.2
9,0.097222,0.142287,0.068764,0.013753,0.0,0.0,1.0,0.259805,0.9856,2e-07,22.7
10,0.097144,0.142289,0.068686,0.013737,0.0,0.0,1.0,0.253424,0.9856,2e-07,22.4
11,0.095371,0.133548,0.068661,0.013732,0.0,0.0,1.0,0.247278,0.9856,2e-07,22.5
12,0.094672,0.12867,0.068938,0.013788,0.0,0.0,1.0,0.241753,0.9856,2e-07,22.3
13,0.09408,0.1249,0.0691,0.01382,0.0,0.0,1.0,0.236665,0.9856,1.9e-07,22.0
14,0.09327,0.123144,0.068641,0.013728,0.0,0.0,1.0,0.231756,0.9856,1.9e-07,21.8
15,0.092568,0.119134,0.068741,0.013748,0.0,0.0,1.0,0.226873,0.9856,1.9e-07,22.0
16,0.092013,0.113939,0.069226,0.013845,0.0,0.0,1.0,0.222611,0.9856,1.9e-07,22.1
17,0.09083,0.109333,0.068963,0.013793,0.0,0.0,1.0,0.218628,0.9856,1.9e-07,22.4
18,0.090694,0.108176,0.069059,0.013812,0.0,0.0,1.0,0.214853,0.9856,1.9e-07,22.2
19,0.089983,0.105207,0.068942,0.013788,0.0,0.0,1.0,0.211365,0.9856,1.8e-07,22.1
20,0.089586,0.102078,0.069171,0.013834,0.0,0.0,1.0,0.207819,0.9844,1.8e-07,22.2
21,0.089536,0.100812,0.069373,0.013875,0.0,0.0,1.0,0.204753,0.9844,1.8e-07,22.0
22,0.089154,0.099728,0.069208,0.013842,0.0,0.0,1.0,0.201607,0.9844,1.8e-07,22.0
23,0.088219,0.095134,0.069193,0.013839,0.0,0.0,1.0,0.198651,0.9844,1.8e-07,22.2
24,0.087378,0.093558,0.068666,0.013733,0.0,0.0,1.0,0.195661,0.9844,1.7e-07,22.1
25,0.088053,0.093526,0.069347,0.013869,0.0,0.0,1.0,0.192991,0.9844,1.7e-07,22.0
26,0.087409,0.090882,0.069232,0.013846,0.0,0.0,1.0,0.190561,0.9844,1.7e-07,21.9
27,0.086953,0.088925,0.069168,0.013834,0.0,0.0,1.0,0.188301,0.9844,1.6e-07,21.8
28,0.086482,0.087142,0.069053,0.013811,0.0,0.0,1.0,0.185714,0.9844,1.6e-07,22.4
29,0.08557,0.084365,0.068697,0.013739,0.0,0.0,1.0,0.183599,0.9844,1.6e-07,21.9
30,0.085848,0.083775,0.069093,0.013819,0.0,0.0,1.0,0.181531,0.9844,1.6e-07,21.9
31,0.085687,0.082761,0.069135,0.013827,0.0,0.0,1.0,0.179559,0.9844,1.5e-07,21.5
32,0.085088,0.081368,0.068814,0.013763,0.0,0.0,1.0,0.177647,0.9844,1.5e-07,21.6
33,0.08528,0.080928,0.069095,0.013819,0.0,0.0,1.0,0.175762,0.9844,1.4e-07,22.0
34,0.084343,0.077593,0.068824,0.013765,0.0,0.0,0.9997,0.174155,0.9844,1.4e-07,21.5
35,0.084317,0.076927,0.068931,0.013786,0.0,0.0,1.0,0.172742,0.9844,1.4e-07,21.3
36,0.084087,0.075661,0.068954,0.013791,0.0,0.0,1.0,0.17134,0.9844,1.3e-07,21.6
37,0.083906,0.073734,0.069159,0.013832,0.0,0.0,1.0,0.169753,0.9844,1.3e-07,22.1
38,0.08394,0.072513,0.069437,0.013887,0.0,0.0,1.0,0.168378,0.9844,1.3e-07,21.9
39,0.083681,0.073317,0.069018,0.013804,0.0,0.0,0.9998,0.16699,0.9844,1.2e-07,21.9
40,0.082885,0.07033,0.068819,0.013764,0.0,0.0,1.0,0.165835,0.9844,1.2e-07,21.7
41,0.083288,0.071347,0.069018,0.013804,0.0,0.0,0.9998,0.164562,0.9844,1.2e-07,22.0
42,0.083213,0.069004,0.069413,0.013883,0.0,0.0,0.9998,0.163376,0.9844,1.1e-07,21.9
43,0.083274,0.069132,0.069448,0.01389,0.0,0.0,1.0,0.162417,0.9844,1.1e-07,22.5
44,0.082877,0.068887,0.0691,0.01382,0.0,0.0,1.0,0.16135,0.9844,1e-07,22.4
45,0.083022,0.068104,0.069401,0.01388,0.0,0.0,1.0,0.160484,0.9844,1e-07,21.8
46,0.082212,0.068617,0.068489,0.013698,0.0,0.0,0.9998,0.159479,0.9844,1e-07,21.7
47,0.082718,0.067852,0.069148,0.01383,0.0,0.0,1.0,0.158628,0.9844,9e-08,22.1
48,0.082295,0.065631,0.069169,0.013834,0.0,0.0,1.0,0.157794,0.9844,9e-08,21.7
49,0.081789,0.065363,0.068716,0.013743,0.0,0.0,1.0,0.15702,0.9844,9e-08,21.6
50,0.082627,0.066162,0.069395,0.013879,0.0,0.0,1.0,0.156245,0.9844,8e-08,21.8
51,0.081653,0.063453,0.068962,0.013792,0.0,0.0,1.0,0.155541,0.9844,8e-08,21.9
52,0.081535,0.063071,0.068921,0.013784,0.0,0.0,1.0,0.154916,0.9844,8e-08,21.6
53,0.082028,0.063693,0.069289,0.013858,0.0,0.0,1.0,0.154378,0.9844,7e-08,21.8
54,0.082308,0.064116,0.069485,0.013897,0.0,0.0,1.0,0.153838,0.9844,7e-08,22.1
55,0.081636,0.062091,0.069218,0.013844,0.0,0.0,1.0,0.153316,0.9844,7e-08,21.8
56,0.08117,0.06055,0.06906,0.013812,0.0,0.0,1.0,0.152812,0.9844,6e-08,22.1
57,0.081313,0.063055,0.068702,0.01374,0.0,0.0,1.0,0.152317,0.9844,6e-08,21.9
58,0.081269,0.061983,0.068872,0.013774,0.0,0.0,1.0,0.151841,0.9844,6e-08,21.5
59,0.081404,0.061101,0.069184,0.013837,0.0,0.0,1.0,0.151379,0.9844,5e-08,21.8
60,0.081152,0.060269,0.069098,0.01382,0.0,0.0,1.0,0.150938,0.9844,5e-08,21.7
61,0.081102,0.060565,0.068989,0.013798,0.0,0.0,0.9998,0.150552,0.9844,5e-08,21.7
62,0.08119,0.060251,0.06914,0.013828,0.0,0.0,1.0,0.150236,0.9844,4e-08,21.9
63,0.080854,0.059886,0.068877,0.013775,0.0,0.0,1.0,0.149943,0.9844,4e-08,21.7
