epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_acc,val_loss,val_acc,lr,time_s
1,0.184484,0.183798,0.000686,0.013718,0.0,0.0,1.0,0.311554,0.9832,1e-07,23.4
2,0.179133,0.178445,0.000688,0.013757,0.0,0.0,1.0,0.302361,0.9832,2e-07,22.6
3,0.170143,0.169452,0.000691,0.013813,0.0,0.0,1.0,0.288505,0.9844,3e-07,22.0
4,0.161527,0.160834,0.000693,0.013852,0.0,0.0,1.0,0.27095,0.9856,4e-07,22.3
5,0.145022,0.144328,0.000694,0.013877,0.0,0.0,1.0,0.25207,0.9856,5e-07,22.3
6,0.131721,0.131024,0.000697,0.013945,0.0,0.0,1.0,0.23406,0.9856,5e-07,22.0
7,0.117214,0.116512,0.000703,0.014056,0.0,0.0,1.0,0.218821,0.9856,5e-07,22.3
8,0.108446,0.107739,0.000707,0.01414,0.0,0.0,1.0,0.205785,0.9856,5e-07,22.0
9,0.09896,0.098247,0.000713,0.01426,0.0,0.0,1.0,0.194598,0.9856,5e-07,22.0
10,0.094924,0.094207,0.000717,0.014346,0.0,0.0,1.0,0.184269,0.9844,5.1e-07,22.0
11,0.085196,0.084473,0.000723,0.014467,0.0,0.0,1.0,0.175388,0.9844,5.1e-07,22.3
12,0.078855,0.078122,0.000733,0.014659,0.0,0.0,1.0,0.167091,0.982,5.1e-07,22.4
13,0.073447,0.072707,0.00074,0.0148,0.0,0.0,1.0,0.159935,0.982,5.1e-07,22.2
14,0.070035,0.069293,0.000742,0.014831,0.0,0.0,1.0,0.153485,0.982,5.2e-07,22.2
15,0.065136,0.064386,0.00075,0.015001,0.0,0.0,1.0,0.147011,0.982,5.2e-07,21.9
16,0.059929,0.059169,0.00076,0.015193,0.0,0.0,1.0,0.141534,0.9832,5.3e-07,22.2
17,0.055731,0.054967,0.000764,0.015275,0.0,0.0,1.0,0.136668,0.982,5.3e-07,21.9
18,0.053207,0.052435,0.000772,0.015432,0.0,0.0,1.0,0.131836,0.982,5.4e-07,21.5
19,0.05029,0.049514,0.000776,0.015527,0.0,0.0,1.0,0.127557,0.982,5.4e-07,21.9
20,0.047227,0.04644,0.000787,0.015746,0.0,0.0,1.0,0.123641,0.9808,5.5e-07,22.0
21,0.045269,0.044472,0.000797,0.015941,0.0,0.0,1.0,0.119944,0.9808,5.5e-07,22.2
22,0.043459,0.042658,0.000801,0.016022,0.0,0.0,1.0,0.116385,0.9808,5.6e-07,21.8
23,0.039952,0.039145,0.000807,0.016142,0.0,0.0,1.0,0.113007,0.9808,5.7e-07,21.9
24,0.037646,0.036836,0.000809,0.01619,0.0,0.0,1.0,0.109907,0.9808,5.8e-07,21.8
25,0.037441,0.036617,0.000824,0.016473,0.0,0.0,0.9997,0.106878,0.9808,5.8e-07,22.1
26,0.034907,0.034078,0.000828,0.016565,0.0,0.0,1.0,0.104579,0.9808,5.9e-07,21.5
27,0.032992,0.032158,0.000834,0.016681,0.0,0.0,1.0,0.102156,0.9808,6e-07,21.9
28,0.03142,0.03058,0.000839,0.016785,0.0,0.0,1.0,0.09948,0.9808,6.1e-07,21.8
29,0.029637,0.028793,0.000845,0.016892,0.0,0.0,1.0,0.097412,0.9808,6.2e-07,21.5
30,0.028494,0.027639,0.000855,0.01711,0.0,0.0,0.9997,0.095077,0.9808,6.2e-07,21.7
31,0.027334,0.026471,0.000863,0.017255,0.0,0.0,1.0,0.093215,0.9808,6.3e-07,22.1
32,0.025909,0.025044,0.000865,0.017302,0.0,0.0,1.0,0.091228,0.9808,6.4e-07,22.1
33,0.025198,0.024322,0.000876,0.017519,0.0,0.0,1.0,0.089422,0.9808,6.5e-07,21.6
34,0.023351,0.022472,0.000878,0.017569,0.0,0.0,0.9998,0.087837,0.9808,6.6e-07,22.0
35,0.022296,0.021408,0.000888,0.01776,0.0,0.0,1.0,0.086322,0.9808,6.7e-07,21.8
36,0.021327,0.020433,0.000894,0.017872,0.0,0.0,1.0,0.084836,0.9808,6.8e-07,21.8
37,0.020466,0.019563,0.000903,0.018053,0.0,0.0,0.9998,0.083254,0.9808,6.9e-07,22.0
38,0.01935,0.018439,0.000911,0.018225,0.0,0.0,0.9998,0.081626,0.9808,7e-07,21.7
39,0.019637,0.018726,0.000911,0.01822,0.0,0.0,0.9997,0.080572,0.9808,7.1e-07,22.2
40,0.017982,0.017067,0.000914,0.018281,0.0,0.0,1.0,0.079271,0.9808,7.2e-07,21.8
41,0.017353,0.01643,0.000923,0.018464,0.0,0.0,0.9998,0.078157,0.9808,7.3e-07,21.8
42,0.016294,0.015359,0.000934,0.018686,0.0,0.0,0.9998,0.07707,0.9808,7.4e-07,21.9
43,0.01609,0.01515,0.00094,0.018805,0.0,0.0,1.0,0.075878,0.9808,7.6e-07,22.0
44,0.015227,0.014289,0.000938,0.018763,0.0,0.0,1.0,0.07499,0.9808,7.7e-07,21.8
45,0.015241,0.014295,0.000946,0.018928,0.0,0.0,1.0,0.0741,0.9808,7.8e-07,22.3
46,0.014699,0.013753,0.000946,0.018923,0.0,0.0,0.9998,0.072971,0.9808,7.9e-07,22.2
47,0.014366,0.013412,0.000955,0.019093,0.0,0.0,0.9998,0.071874,0.9808,8e-07,21.9
48,0.013057,0.012098,0.00096,0.019193,0.0,0.0,1.0,0.07103,0.9808,8.1e-07,22.1
49,0.013143,0.012179,0.000964,0.019279,0.0,0.0,0.9998,0.070516,0.9808,8.2e-07,21.9
50,0.012905,0.011933,0.000972,0.019442,0.0,0.0,0.9998,0.069925,0.9808,8.3e-07,22.1
51,0.011791,0.01082,0.00097,0.019409,0.0,0.0,1.0,0.068646,0.9808,8.4e-07,22.3
52,0.01115,0.010176,0.000974,0.019475,0.0,0.0,1.0,0.068087,0.9808,8.5e-07,22.1
53,0.011068,0.010089,0.000979,0.019577,0.0,0.0,1.0,0.067474,0.9808,8.6e-07,22.3
54,0.011354,0.010369,0.000984,0.019687,0.0,0.0,1.0,0.067329,0.9796,8.7e-07,22.2
55,0.010237,0.009251,0.000986,0.019721,0.0,0.0,1.0,0.066888,0.9796,8.8e-07,22.0
56,0.009885,0.008905,0.00098,0.019609,0.0,0.0,0.9997,0.065822,0.9796,8.8e-07,22.0
57,0.009706,0.008724,0.000982,0.019637,0.0,0.0,1.0,0.065722,0.9796,8.9e-07,21.8
58,0.009477,0.008491,0.000986,0.019717,0.0,0.0,1.0,0.064896,0.9796,9e-07,22.0
59,0.008965,0.00797,0.000995,0.019909,0.0,0.0,1.0,0.064323,0.9796,9.1e-07,21.6
60,0.008771,0.007775,0.000997,0.019932,0.0,0.0,0.9998,0.064389,0.9796,9.2e-07,21.9
61,0.008904,0.007909,0.000995,0.0199,0.0,0.0,0.9998,0.06297,0.9796,9.2e-07,21.9
62,0.008563,0.007573,0.00099,0.019797,0.0,0.0,1.0,0.063543,0.9796,9.3e-07,21.6
63,0.008346,0.007354,0.000991,0.019823,0.0,0.0,0.9998,0.063433,0.9808,9.4e-07,21.6
64,0.007854,0.006864,0.00099,0.019798,0.0,0.0,1.0,0.063182,0.9784,9.5e-07,22.1
65,0.008009,0.007019,0.000991,0.019813,0.0,0.0,0.9998,0.062792,0.9808,9.5e-07,22.2
66,0.0071,0.006105,0.000995,0.019908,0.0,0.0,1.0,0.06174,0.982,9.6e-07,22.3
67,0.007854,0.006864,0.00099,0.019795,0.0,0.0,0.9998,0.06193,0.9796,9.6e-07,22.3
68,0.00723,0.006231,0.000999,0.019981,0.0,0.0,1.0,0.061072,0.9796,9.7e-07,22.2
69,0.007134,0.00614,0.000994,0.019886,0.0,0.0,1.0,0.060259,0.9808,9.7e-07,22.5
70,0.006714,0.005713,0.001001,0.020022,0.0,0.0,1.0,0.060357,0.982,9.8e-07,22.4
71,0.006831,0.005836,0.000995,0.019904,0.0,0.0,1.0,0.060248,0.982,9.8e-07,22.4
72,0.00648,0.005481,0.000998,0.019967,0.0,0.0,1.0,0.059995,0.9808,9.9e-07,22.1
73,0.006481,0.005478,0.001003,0.020059,0.0,0.0,1.0,0.060161,0.9808,9.9e-07,22.2
74,0.006119,0.005128,0.000991,0.019824,0.0,0.0,1.0,0.059966,0.982,9.9e-07,22.1
75,0.006306,0.00531,0.000996,0.019923,0.0,0.0,0.9998,0.059871,0.982,9.9e-07,22.0
76,0.00584,0.004852,0.000988,0.019761,0.0,0.0,1.0,0.059026,0.9808,1e-06,22.0
77,0.005436,0.004445,0.000991,0.019825,0.0,0.0,1.0,0.058827,0.982,1e-06,21.8
78,0.006376,0.005383,0.000993,0.019856,0.0,0.0,0.9997,0.058752,0.982,1e-06,21.8
79,0.00564,0.004659,0.00098,0.019606,0.0,0.0,0.9998,0.05904,0.9832,1e-06,21.6
80,0.005219,0.004229,0.000989,0.019787,0.0,0.0,1.0,0.058812,0.9808,1e-06,22.4
