epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_acc,val_loss,val_acc,lr,time_s
1,0.119329,0.182755,0.082778,0.016556,0.0,0.0,1.0,0.313758,0.9832,4e-08,20.5
2,0.118461,0.180518,0.082357,0.016471,0.0,0.0,1.0,0.310957,0.9832,8e-08,19.8
3,0.119852,0.178848,0.084082,0.016816,0.0,0.0,1.0,0.306393,0.9832,1.2e-07,20.3
4,0.119001,0.176098,0.083781,0.016756,0.0,0.0,1.0,0.300298,0.9832,1.6e-07,19.9
5,0.117626,0.169679,0.08369,0.016738,0.0,0.0,1.0,0.293121,0.9856,2e-07,20.0
6,0.114663,0.165068,0.08165,0.01633,0.0,0.0,0.9998,0.285298,0.9856,2e-07,19.9
7,0.113155,0.156145,0.081926,0.016385,0.0,0.0,1.0,0.27821,0.9856,2e-07,20.1
8,0.113283,0.153417,0.082599,0.01652,0.0,0.0,1.0,0.271247,0.9856,2e-07,20.0
9,0.111338,0.147304,0.081877,0.016375,0.0,0.0,0.9998,0.265188,0.9856,2e-07,19.9
10,0.110146,0.143284,0.081489,0.016298,0.0,0.0,0.9998,0.259348,0.9856,2e-07,20.0
11,0.110042,0.137233,0.082595,0.016519,0.0,0.0,1.0,0.253711,0.9856,2e-07,20.1
12,0.108951,0.137485,0.081454,0.016291,0.0,0.0,1.0,0.248587,0.9856,2e-07,19.8
13,0.10917,0.131703,0.082829,0.016566,0.0,0.0,1.0,0.244126,0.9856,1.9e-07,19.8
14,0.109255,0.129708,0.083314,0.016663,0.0,0.0,1.0,0.239746,0.9856,1.9e-07,19.9
15,0.107566,0.127004,0.082166,0.016433,0.0,0.0,1.0,0.23459,0.9856,1.9e-07,20.0
16,0.108296,0.123666,0.083563,0.016713,0.0,0.0,1.0,0.230423,0.9856,1.9e-07,19.9
17,0.106286,0.11916,0.082455,0.016491,0.0,0.0,1.0,0.226749,0.9856,1.9e-07,19.8
18,0.104758,0.115222,0.081714,0.016343,0.0,0.0,1.0,0.222883,0.9856,1.9e-07,19.9
19,0.103409,0.11107,0.081195,0.016239,0.0,0.0,1.0,0.219426,0.9856,1.8e-07,19.9
20,0.103993,0.109984,0.081997,0.016399,0.0,0.0,1.0,0.216313,0.9856,1.8e-07,19.9
21,0.10397,0.106923,0.082585,0.016517,0.0,0.0,1.0,0.213226,0.9856,1.8e-07,19.9
22,0.104962,0.107917,0.083379,0.016676,0.0,0.0,0.9998,0.21037,0.9856,1.8e-07,20.0
23,0.101955,0.102109,0.081533,0.016307,0.0,0.0,1.0,0.207453,0.9856,1.8e-07,19.7
24,0.103407,0.102467,0.082914,0.016583,0.0,0.0,1.0,0.204695,0.9856,1.7e-07,19.9
25,0.102544,0.100554,0.082433,0.016487,0.0,0.0,1.0,0.201966,0.9856,1.7e-07,19.7
26,0.101395,0.098194,0.081756,0.016351,0.0,0.0,1.0,0.199679,0.9856,1.7e-07,19.8
27,0.102628,0.099379,0.082752,0.01655,0.0,0.0,1.0,0.197466,0.9856,1.6e-07,19.8
28,0.099992,0.095512,0.080889,0.016178,0.0,0.0,1.0,0.195121,0.9856,1.6e-07,20.1
29,0.100459,0.090425,0.082374,0.016475,0.0,0.0,1.0,0.19296,0.9844,1.6e-07,19.7
30,0.101177,0.093032,0.08257,0.016514,0.0,0.0,1.0,0.191173,0.9844,1.6e-07,19.7
31,0.100818,0.091376,0.082543,0.016509,0.0,0.0,1.0,0.189373,0.9856,1.5e-07,19.7
32,0.099801,0.090694,0.081662,0.016332,0.0,0.0,1.0,0.18759,0.9856,1.5e-07,19.6
33,0.100672,0.08658,0.083356,0.016671,0.0,0.0,1.0,0.18597,0.9844,1.4e-07,19.9
34,0.099473,0.087217,0.082029,0.016406,0.0,0.0,1.0,0.184409,0.9844,1.4e-07,28.2
35,0.099623,0.083254,0.082972,0.016594,0.0,0.0,1.0,0.183034,0.9844,1.4e-07,20.1
36,0.099028,0.083495,0.082329,0.016466,0.0,0.0,0.9998,0.18147,0.9844,1.3e-07,19.9
37,0.09933,0.082102,0.08291,0.016582,0.0,0.0,0.9998,0.180101,0.9844,1.3e-07,20.0
38,0.100023,0.082506,0.083522,0.016704,0.0,0.0,0.9998,0.178497,0.9844,1.3e-07,20.2
39,0.099893,0.08188,0.083517,0.016703,0.0,0.0,1.0,0.177162,0.9844,1.2e-07,19.8
40,0.098367,0.078947,0.082578,0.016516,0.0,0.0,1.0,0.176105,0.9844,1.2e-07,19.9
41,0.098772,0.081449,0.082482,0.016496,0.0,0.0,0.9998,0.174909,0.9844,1.2e-07,19.9
42,0.097127,0.077514,0.081624,0.016325,0.0,0.0,0.9998,0.17386,0.9844,1.1e-07,19.8
43,0.097652,0.078246,0.082003,0.016401,0.0,0.0,1.0,0.172855,0.9844,1.1e-07,19.9
44,0.097415,0.076624,0.08209,0.016418,0.0,0.0,1.0,0.171742,0.9844,1e-07,19.9
45,0.098237,0.077151,0.082807,0.016561,0.0,0.0,1.0,0.170907,0.9844,1e-07,20.1
46,0.098172,0.076301,0.082911,0.016582,0.0,0.0,1.0,0.170011,0.9844,1e-07,19.7
47,0.097745,0.075081,0.082729,0.016546,0.0,0.0,1.0,0.169072,0.9844,9e-08,19.8
48,0.096865,0.074902,0.081884,0.016377,0.0,0.0,0.9998,0.16826,0.9844,9e-08,19.9
49,0.097882,0.074178,0.083046,0.016609,0.0,0.0,1.0,0.167643,0.9844,9e-08,19.9
50,0.096925,0.071527,0.082619,0.016524,0.0,0.0,1.0,0.167025,0.9844,8e-08,19.8
51,0.097837,0.07287,0.083263,0.016653,0.0,0.0,0.9998,0.166348,0.9844,8e-08,19.7
52,0.096663,0.070953,0.082473,0.016495,0.0,0.0,1.0,0.165866,0.9844,8e-08,19.8
53,0.097596,0.072866,0.083023,0.016605,0.0,0.0,1.0,0.165228,0.9844,7e-08,19.9
54,0.097186,0.072052,0.082776,0.016555,0.0,0.0,0.9998,0.164602,0.9844,7e-08,19.9
55,0.097287,0.071887,0.08291,0.016582,0.0,0.0,0.9998,0.164071,0.9844,7e-08,19.8
56,0.097047,0.071482,0.08275,0.01655,0.0,0.0,1.0,0.163536,0.9844,6e-08,19.6
57,0.095537,0.070359,0.081465,0.016293,0.0,0.0,1.0,0.162945,0.9844,6e-08,19.8
58,0.097032,0.070352,0.082962,0.016592,0.0,0.0,1.0,0.162446,0.9844,6e-08,19.7
59,0.096986,0.070097,0.082967,0.016593,0.0,0.0,1.0,0.162013,0.9844,5e-08,19.8
