epoch,train_loss,train_ce,train_kd,train_anchor,train_acc,fakeq_val_loss,fakeq_val_acc,fp32_val_loss,fp32_val_acc,lr,time_s
1,0.916217,0.172736,0.723557,0.192745,1.0,0.293022,0.98801,0.293022,0.98801,4.04e-08,34.9
2,0.909885,0.170585,0.724563,0.191035,1.0,0.295892,0.98801,0.295892,0.98801,8.04e-08,34.7
3,0.901126,0.172318,0.719176,0.18825,1.0,0.300121,0.98801,0.300121,0.98801,1.204e-07,34.5
4,0.89979,0.17821,0.713292,0.187018,0.99985,0.304428,0.98801,0.304428,0.98801,1.604e-07,34.5
5,0.898982,0.181651,0.708946,0.186381,1.0,0.310791,0.98801,0.310791,0.98801,2e-07,34.5
6,0.902881,0.187177,0.703219,0.186964,1.0,0.312498,0.98801,0.312498,0.98801,1.993e-07,34.4
7,0.897418,0.186802,0.703047,0.185247,1.0,0.314309,0.98801,0.314309,0.98801,1.972e-07,34.6
8,0.898324,0.189254,0.699986,0.185284,1.0,0.31597,0.98801,0.31597,0.98801,1.937e-07,34.7
9,0.900248,0.191406,0.697525,0.185669,0.99985,0.316798,0.98801,0.316798,0.98801,1.889e-07,35.2
10,0.896542,0.194025,0.695626,0.184012,1.0,0.316854,0.98801,0.316854,0.98801,1.828e-07,35.0
11,0.894862,0.188851,0.69853,0.184369,0.99985,0.319112,0.98801,0.319112,0.98801,1.756e-07,34.7
12,0.901706,0.194468,0.695879,0.185605,0.99985,0.31876,0.98801,0.31876,0.98801,1.674e-07,34.4
13,0.893575,0.189666,0.696163,0.183986,1.0,0.319416,0.98801,0.319416,0.98801,1.582e-07,34.8
14,0.895794,0.192997,0.695172,0.184048,1.0,0.319589,0.98801,0.319589,0.98801,1.483e-07,34.8
15,0.897362,0.194062,0.693089,0.184531,0.99985,0.319661,0.98801,0.319661,0.98801,1.378e-07,34.9
16,0.893002,0.192732,0.695203,0.183176,1.0,0.320733,0.98801,0.320733,0.98801,1.269e-07,34.6
17,0.892709,0.192066,0.69442,0.183312,1.0,0.320987,0.98801,0.320987,0.98801,1.157e-07,34.7
18,0.894028,0.19427,0.693688,0.183311,0.99985,0.321265,0.98801,0.321265,0.98801,1.043e-07,34.4
19,0.890528,0.192102,0.691529,0.182866,1.0,0.321015,0.98801,0.321015,0.98801,9.31e-08,34.8
20,0.889292,0.189724,0.695306,0.182631,1.0,0.321784,0.98801,0.321784,0.98801,8.22e-08,34.6
21,0.894979,0.193423,0.693829,0.183811,1.0,0.32179,0.98801,0.32179,0.98801,7.17e-08,34.7
22,0.8952,0.195389,0.69178,0.183631,0.99985,0.320861,0.98801,0.320861,0.98801,6.18e-08,34.6
23,0.896535,0.195081,0.694489,0.183877,0.99985,0.321143,0.98801,0.321143,0.98801,5.26e-08,34.9
24,0.895946,0.195399,0.692724,0.183783,1.0,0.321863,0.98801,0.321863,0.98801,4.44e-08,34.6
25,0.895029,0.195898,0.693451,0.183288,1.0,0.320699,0.98801,0.320699,0.98801,3.72e-08,34.4
26,0.895039,0.195835,0.691718,0.18348,1.0,0.321359,0.98801,0.321359,0.98801,3.11e-08,34.6
27,0.898644,0.195515,0.691852,0.184743,1.0,0.320845,0.98801,0.320845,0.98801,2.63e-08,34.4
28,0.898215,0.195418,0.691649,0.184643,1.0,0.320293,0.98801,0.320293,0.98801,2.28e-08,34.6
29,0.897179,0.197474,0.690964,0.183886,1.0,0.321074,0.98801,0.321074,0.98801,2.07e-08,34.5
30,0.900045,0.198966,0.691311,0.184458,1.0,0.320772,0.98801,0.320772,0.98801,2e-08,34.5
