epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,2.417625,1.900996,2.934254,0.9497,1.027505,0.9484,6.058e-05,38.0
2,2.102537,2.300348,1.904727,0.9384,1.544724,0.9448,0.00012058,37.3
3,1.998506,2.513515,1.483496,0.9404,1.710219,0.9424,0.00018058,37.1
4,1.965183,2.553195,1.377172,0.9428,1.712511,0.9353,0.00024058,37.2
5,1.947702,2.561982,1.333422,0.9504,1.7527,0.9388,0.0003,37.2
6,1.935429,2.56315,1.307709,0.947,1.771095,0.9436,0.0002997,37.3
7,1.922977,2.558451,1.287502,0.947,1.771204,0.9305,0.00029882,37.1
8,1.910028,2.540304,1.279752,0.9518,1.993812,0.8741,0.00029735,37.0
9,1.900045,2.531754,1.268336,0.9536,1.799598,0.9269,0.0002953,37.1
10,1.894033,2.527294,1.260773,0.9506,1.700612,0.9472,0.00029268,37.2
11,1.883181,2.511924,1.254438,0.9531,1.740407,0.9353,0.0002895,37.5
12,1.879998,2.503978,1.256019,0.9512,1.660155,0.946,0.00028577,37.3
13,1.875141,2.506987,1.243294,0.9527,1.645561,0.9448,0.00028151,37.3
14,1.87649,2.511166,1.241813,0.9518,1.655141,0.9472,0.00027673,37.2
15,1.864093,2.491385,1.236801,0.9537,1.687926,0.9341,0.00027145,37.1
16,1.857122,2.478731,1.235514,0.9537,1.736834,0.9317,0.00026569,37.0
17,1.852218,2.47246,1.231977,0.9561,1.677275,0.9412,0.00025948,37.1
18,1.848186,2.469638,1.226733,0.9518,1.639387,0.94,0.00025284,37.1
19,1.842921,2.464507,1.221336,0.9566,1.691251,0.9472,0.00024579,37.2
20,1.842109,2.461651,1.222567,0.9557,1.612603,0.9436,0.00023837,37.2
21,1.837083,2.455596,1.21857,0.9531,1.978616,0.8909,0.00023061,37.1
22,1.83596,2.457011,1.214909,0.9569,1.583612,0.9496,0.00022252,37.4
23,1.830615,2.448792,1.212437,0.957,1.616729,0.952,0.00021415,37.2
24,1.829369,2.447734,1.211005,0.9555,1.572235,0.9472,0.00020553,37.1
25,1.823495,2.438486,1.208505,0.9572,1.557302,0.9508,0.0001967,37.2
26,1.820134,2.436013,1.204254,0.9624,1.573998,0.9508,0.00018768,37.2
27,1.820599,2.431675,1.209523,0.9555,1.570065,0.952,0.00017851,37.1
28,1.816034,2.428956,1.203111,0.9599,1.708036,0.9388,0.00016924,36.7
29,1.813147,2.423017,1.203277,0.9606,1.632765,0.9388,0.00015989,38.1
30,1.815404,2.428601,1.202207,0.9591,1.540614,0.9508,0.0001505,39.4
31,1.809799,2.417131,1.202467,0.9585,1.555513,0.9532,0.00014111,38.6
32,1.811462,2.424637,1.198287,0.9585,1.514806,0.9508,0.00013176,37.5
33,1.807361,2.414921,1.1998,0.957,1.566414,0.952,0.00012249,37.8
34,1.805357,2.414033,1.19668,0.9591,1.534884,0.9556,0.00011332,38.7
35,1.805276,2.412811,1.197741,0.9621,1.587232,0.9448,0.0001043,37.9
36,1.806173,2.416695,1.195651,0.9588,1.527,0.952,9.547e-05,38.5
37,1.803351,2.411881,1.19482,0.9609,1.531871,0.9556,8.685e-05,44.7
38,1.800345,2.406182,1.194508,0.9639,1.516097,0.9532,7.848e-05,37.3
39,1.800043,2.405445,1.194641,0.9621,1.516095,0.9556,7.039e-05,37.2
40,1.798504,2.404555,1.192453,0.963,1.484478,0.958,6.263e-05,37.3
41,1.803892,2.415826,1.191958,0.9596,1.483405,0.9556,5.521e-05,37.2
42,1.798738,2.405317,1.192159,0.9603,1.516628,0.9544,4.816e-05,37.1
43,1.80296,2.415885,1.190035,0.9585,1.516981,0.958,4.152e-05,37.2
44,1.801906,2.410991,1.19282,0.9615,1.505206,0.9544,3.531e-05,37.5
45,1.79916,2.408471,1.189849,0.9602,1.49408,0.958,2.955e-05,37.3
46,1.796029,2.398983,1.193075,0.9627,1.508415,0.9532,2.427e-05,37.3
47,1.796463,2.399763,1.193163,0.9647,1.49303,0.958,1.949e-05,37.2
48,1.803165,2.414117,1.192212,0.9594,1.49496,0.9556,1.523e-05,37.3
49,1.801675,2.407062,1.196288,0.9602,1.49947,0.9532,1.15e-05,37.2
50,1.79827,2.405378,1.191161,0.9626,1.486511,0.9544,8.32e-06,37.2
