epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,2.417625,1.900996,2.934254,0.9497,1.027505,0.9484,6.058e-05,38.0
2,2.102537,2.300348,1.904727,0.9384,1.544724,0.9448,0.00012058,37.3
3,1.998506,2.513515,1.483496,0.9404,1.710219,0.9424,0.00018058,37.4
4,1.965183,2.553195,1.377172,0.9428,1.712511,0.9353,0.00024058,37.3
5,1.947702,2.561982,1.333422,0.9504,1.7527,0.9388,0.0003,37.3
6,1.935452,2.563167,1.307736,0.947,1.769196,0.946,0.00029999,37.4
7,1.922983,2.55853,1.287436,0.9474,1.781933,0.9293,0.00029998,37.3
8,1.910121,2.540452,1.279791,0.9518,2.000985,0.8729,0.00029994,37.4
9,1.900146,2.532051,1.268242,0.954,1.783715,0.9293,0.0002999,37.3
10,1.894332,2.528157,1.260506,0.9506,1.708492,0.9472,0.00029985,37.5
11,1.88344,2.512747,1.254133,0.9531,1.743182,0.9341,0.00029978,37.2
12,1.880422,2.505094,1.25575,0.9512,1.694338,0.9412,0.0002997,37.4
13,1.875528,2.508297,1.242759,0.9528,1.710118,0.94,0.0002996,37.2
14,1.876778,2.512568,1.240987,0.9515,1.698451,0.9424,0.0002995,37.2
15,1.864649,2.493562,1.235736,0.9527,1.715066,0.9281,0.00029938,37.4
16,1.857574,2.480961,1.234187,0.9539,1.79804,0.9221,0.00029925,37.4
17,1.852805,2.475068,1.230542,0.9551,1.679138,0.9484,0.00029911,37.4
18,1.848973,2.473113,1.224832,0.9525,1.701664,0.9341,0.00029895,37.3
19,1.843856,2.46827,1.219442,0.9563,1.66065,0.9484,0.00029879,37.5
20,1.842821,2.465725,1.219918,0.9549,1.636591,0.9496,0.00029861,37.3
21,1.837953,2.460454,1.215452,0.9513,2.228897,0.8189,0.00029842,37.3
22,1.836956,2.462275,1.211637,0.9554,1.62331,0.946,0.00029821,37.3
23,1.830825,2.453394,1.208257,0.9555,1.668795,0.9448,0.000298,37.4
24,1.829266,2.451434,1.207098,0.9531,1.614048,0.9472,0.00029777,37.3
25,1.823589,2.443679,1.203499,0.9573,1.70514,0.9424,0.00029753,37.2
26,1.820569,2.441729,1.199408,0.9609,1.864468,0.8921,0.00029727,37.1
27,1.820879,2.438303,1.203455,0.9536,1.699778,0.9424,0.00029701,37.3
28,1.815196,2.432973,1.197419,0.959,1.61138,0.952,0.00029673,37.4
29,1.812385,2.427272,1.197498,0.9599,1.659693,0.9269,0.00029644,37.3
30,1.813955,2.43466,1.193249,0.9576,1.597362,0.9388,0.00029614,37.2
31,1.808054,2.421247,1.194861,0.9573,1.640885,0.9436,0.00029583,37.2
32,1.809055,2.428142,1.189967,0.9572,1.70444,0.9341,0.0002955,37.4
33,1.804926,2.420816,1.189036,0.956,2.079754,0.8741,0.00029517,37.2
34,1.801547,2.417937,1.185156,0.9573,1.538737,0.9496,0.00029482,37.2
35,1.801083,2.413948,1.188218,0.9581,1.5226,0.9472,0.00029446,37.4
36,1.801589,2.419455,1.183723,0.9545,1.537619,0.9568,0.00029408,37.4
37,1.798145,2.413286,1.183004,0.9588,1.664295,0.9484,0.0002937,37.3
38,1.794426,2.407787,1.181065,0.9573,1.49015,0.9496,0.0002933,37.2
39,1.79295,2.40653,1.179369,0.9599,1.580463,0.9532,0.00029289,37.3
40,1.790699,2.403712,1.177687,0.9602,1.500475,0.9556,0.00029247,37.2
41,1.795734,2.41588,1.175587,0.9569,1.573115,0.9424,0.00029204,37.4
42,1.787985,2.400313,1.175658,0.9596,1.523125,0.9556,0.00029159,37.2
43,1.791796,2.409606,1.173985,0.9578,1.672979,0.9436,0.00029114,37.3
44,1.78966,2.40675,1.172571,0.9582,1.555032,0.9484,0.00029067,37.2
45,1.784633,2.397339,1.171926,0.9563,1.618203,0.9448,0.00029019,37.1
46,1.778998,2.387484,1.170512,0.9569,1.627225,0.9412,0.0002897,37.3
47,1.779555,2.385399,1.173711,0.9609,1.494316,0.9556,0.0002892,37.4
48,1.785018,2.402944,1.167093,0.9546,1.536651,0.9496,0.00028869,37.4
49,1.781148,2.394683,1.167613,0.9591,1.696489,0.9305,0.00028816,37.2
50,1.776538,2.39065,1.162426,0.9603,1.607504,0.9281,0.00028762,37.4
