epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,3.635226,4.476887,2.793566,0.4286,1.028693,0.9365,6.058e-05,38.3
2,3.095696,4.533516,1.657876,0.4121,2.199093,0.8897,0.00012058,37.7
3,2.871174,4.774659,0.967688,0.4025,2.58918,0.8825,0.00018058,38.2
4,2.714818,4.549486,0.88015,0.4854,2.607602,0.8285,0.00024058,37.8
5,2.717602,4.602458,0.832746,0.4878,2.992525,0.7698,0.0003,38.4
6,2.742395,4.710066,0.774724,0.4508,2.790295,0.8933,0.00029996,37.5
7,2.699118,4.62329,0.774946,0.4842,2.72978,0.8549,0.00029986,37.4
8,2.787945,4.871521,0.704369,0.4037,2.636704,0.9125,0.00029968,37.6
9,2.742161,4.76816,0.716162,0.4374,2.553185,0.8813,0.00029944,37.4
10,2.704067,4.66305,0.745084,0.4593,2.68316,0.8849,0.00029912,37.5
11,2.641533,4.505605,0.777461,0.5148,2.440109,0.8969,0.00029874,37.3
12,2.692229,4.635408,0.749049,0.4801,2.633117,0.9077,0.00029828,37.3
13,2.697423,4.671315,0.723531,0.4653,2.431511,0.8849,0.00029776,37.3
14,2.671769,4.599158,0.74438,0.4837,2.513486,0.8573,0.00029717,37.4
15,2.706638,4.691817,0.721458,0.4583,2.512148,0.8849,0.0002965,37.6
16,2.696995,4.683067,0.710923,0.4566,2.332308,0.9209,0.00029577,37.2
17,2.6864,4.659499,0.713301,0.4683,2.412646,0.9137,0.00029498,37.4
18,2.660182,4.570795,0.749568,0.4848,2.399409,0.9101,0.00029411,37.3
19,2.640283,4.524457,0.756108,0.4992,2.489257,0.9041,0.00029318,37.4
20,2.704808,4.707875,0.701742,0.4567,2.631269,0.8645,0.00029217,37.5
21,2.679397,4.639454,0.71934,0.4733,2.586107,0.8825,0.00029111,37.4
22,2.668231,4.615528,0.720934,0.4755,2.552953,0.8897,0.00028997,37.5
23,2.739015,4.794136,0.683895,0.4197,2.694151,0.8369,0.00028877,37.5
24,2.646114,4.566392,0.725837,0.4781,2.462231,0.8969,0.00028751,37.2
25,2.605594,4.457124,0.754065,0.5215,2.505437,0.8765,0.00028618,37.2
26,2.627912,4.509136,0.746687,0.5012,2.469595,0.8825,0.00028479,37.5
27,2.643047,4.563667,0.722426,0.4804,2.309136,0.8933,0.00028334,37.3
28,2.709759,4.721264,0.698254,0.4351,2.395806,0.9245,0.00028182,37.5
29,2.642674,4.563473,0.721875,0.4851,2.37588,0.8801,0.00028024,37.3
30,2.679319,4.649148,0.709491,0.4593,2.360059,0.9053,0.0002786,37.4
31,2.699552,4.707759,0.691344,0.4436,2.376291,0.9173,0.0002769,37.7
32,2.634995,4.550768,0.719222,0.4858,2.301511,0.9065,0.00027514,37.3
33,2.671783,4.641667,0.701899,0.461,2.565591,0.8369,0.00027332,37.5
34,2.669068,4.618344,0.719791,0.4654,2.534711,0.8657,0.00027145,37.4
35,2.650748,4.597912,0.703585,0.4771,2.314072,0.9029,0.00026952,37.4
36,2.675883,4.643814,0.707952,0.4542,2.44787,0.8885,0.00026753,37.3
