epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,2.749509,1.99911,2.832887,0.9401,1.637852,0.8897,6.058e-05,38.4
2,1.298707,3.97948,1.000844,0.5825,4.853228,0.4053,0.00012058,37.8
3,0.814918,5.449699,0.299943,0.2811,5.424411,0.4436,0.00018058,37.3
4,0.749197,5.63213,0.206649,0.3589,5.439693,0.6187,0.00024058,37.5
5,0.727071,5.637878,0.181426,0.4872,5.46156,0.7182,0.0003,37.4
6,0.715428,5.607255,0.171892,0.5856,5.42377,0.8046,0.00029996,37.5
7,0.708274,5.577806,0.167214,0.669,5.390607,0.8165,0.00029986,37.4
8,0.70345,5.548976,0.165058,0.7242,5.354639,0.8585,0.00029968,37.4
9,0.699231,5.519116,0.163688,0.7692,5.302375,0.8717,0.00029944,37.3
10,0.696206,5.496776,0.16281,0.7855,5.302906,0.8837,0.00029912,37.7
11,0.693645,5.476716,0.162193,0.8191,5.273454,0.8945,0.00029874,37.5
12,0.691541,5.458275,0.161904,0.8236,5.249373,0.8957,0.00029828,37.3
13,0.689733,5.447364,0.161108,0.8335,5.225326,0.8813,0.00029776,37.3
14,0.68818,5.433396,0.160934,0.8424,5.213101,0.8909,0.00029717,38.7
