epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,2.507916,1.895189,3.120643,0.9558,1.0925,0.94,6.058e-05,24.7
2,2.160394,2.344279,1.97651,0.9318,1.644128,0.9424,0.00012058,23.1
3,2.054431,2.58046,1.528403,0.9342,1.787677,0.9424,0.00018058,23.1
4,2.017801,2.62224,1.413361,0.9459,1.846337,0.9305,0.00024058,23.1
5,1.997345,2.628877,1.365813,0.9441,2.241257,0.8345,0.0003,23.0
6,1.985579,2.635389,1.33577,0.9453,1.900863,0.9281,0.00029996,23.1
7,1.97667,2.63753,1.31581,0.9432,2.000391,0.9125,0.00029986,22.9
8,1.960624,2.617664,1.303583,0.9449,1.830266,0.9484,0.00029968,23.1
9,1.953017,2.612803,1.293231,0.9507,1.809551,0.9448,0.00029944,23.2
10,1.944644,2.600603,1.288684,0.95,1.935354,0.9245,0.00029912,23.2
11,1.941511,2.603477,1.279546,0.9491,1.818147,0.9365,0.00029874,23.1
12,1.929638,2.58709,1.272185,0.9542,1.930603,0.9173,0.00029828,23.2
13,1.92966,2.58994,1.269379,0.945,1.851612,0.9329,0.00029776,23.1
14,1.924699,2.586724,1.262674,0.9476,1.959972,0.9005,0.00029717,23.2
15,1.919229,2.581188,1.257271,0.9519,2.215314,0.8357,0.0002965,23.0
16,1.918758,2.585559,1.251958,0.9474,1.715158,0.9436,0.00029577,23.1
17,1.914284,2.578347,1.250221,0.9479,1.764025,0.94,0.00029498,23.1
18,1.910905,2.578753,1.243057,0.9497,1.71218,0.9412,0.00029411,23.0
19,1.908454,2.574317,1.242592,0.9489,1.723879,0.94,0.00029318,23.0
20,1.903763,2.566727,1.240799,0.947,2.185169,0.8513,0.00029217,22.9
21,1.898114,2.561513,1.234715,0.9467,1.790614,0.9436,0.00029111,23.0
22,1.901925,2.577472,1.226378,0.9467,1.763118,0.9388,0.00028997,23.0
23,1.892468,2.556214,1.228722,0.9482,1.653398,0.9496,0.00028877,22.5
24,1.892712,2.562749,1.222675,0.9483,1.718535,0.9436,0.00028751,22.5
25,1.888237,2.555521,1.220952,0.9458,1.705379,0.9424,0.00028618,22.9
26,1.88873,2.560297,1.217164,0.9491,1.752064,0.9448,0.00028479,22.4
27,1.892056,2.569069,1.215043,0.9458,1.947972,0.8933,0.00028334,23.2
28,1.883945,2.551146,1.216745,0.9512,1.686725,0.9484,0.00028182,23.2
29,1.876718,2.539118,1.214319,0.9477,2.090444,0.8741,0.00028024,23.2
30,1.882672,2.558881,1.206463,0.9497,1.755131,0.9305,0.0002786,23.2
31,1.881773,2.55796,1.205585,0.9483,1.672005,0.952,0.0002769,23.0
32,1.878413,2.553832,1.202993,0.9455,1.742457,0.94,0.00027514,23.1
33,1.878587,2.554229,1.202944,0.9471,1.676292,0.9448,0.00027332,23.0
34,1.875853,2.546458,1.205247,0.9501,1.967002,0.8753,0.00027145,23.0
35,1.879437,2.561501,1.197372,0.9438,1.814416,0.9173,0.00026952,23.0
36,1.870514,2.544579,1.196449,0.9452,1.654761,0.952,0.00026753,23.1
37,1.876051,2.559457,1.192645,0.9419,1.616955,0.9604,0.00026548,23.0
38,1.875622,2.561957,1.189287,0.9417,1.65602,0.9484,0.00026339,23.2
39,1.868811,2.547911,1.189711,0.9426,1.652097,0.9592,0.00026124,23.1
40,1.874854,2.559768,1.18994,0.945,1.661573,0.9532,0.00025904,23.1
41,1.874541,2.562298,1.186783,0.9422,1.583653,0.952,0.00025678,23.1
42,1.877775,2.569872,1.185679,0.9425,1.577898,0.9496,0.00025448,23.1
43,1.874818,2.568075,1.181561,0.9435,1.786353,0.9341,0.00025213,23.2
44,1.870117,2.553252,1.186983,0.9456,1.744933,0.9376,0.00024973,23.2
45,1.871293,2.559187,1.183398,0.9458,1.666951,0.9424,0.00024728,23.1
46,1.876272,2.572167,1.180377,0.945,1.552265,0.9556,0.00024479,23.1
47,1.870492,2.562571,1.178413,0.9432,1.60305,0.958,0.00024226,23.1
48,1.871871,2.566036,1.177705,0.9431,1.610826,0.9508,0.00023968,23.2
49,1.871004,2.569092,1.172917,0.9431,1.713196,0.9484,0.00023706,23.1
50,1.86815,2.561424,1.174876,0.9453,1.62759,0.9556,0.0002344,23.0
51,1.871311,2.57011,1.172512,0.9428,1.907281,0.9197,0.0002317,23.1
52,1.868782,2.562789,1.174776,0.9458,1.627757,0.9448,0.00022896,23.2
53,1.874191,2.577646,1.170737,0.9384,1.677607,0.9556,0.00022618,23.5
54,1.872454,2.575658,1.169251,0.9369,1.785039,0.9245,0.00022337,23.2
55,1.870027,2.572633,1.167421,0.9351,1.696649,0.9448,0.00022053,23.2
56,1.871162,2.57405,1.168275,0.9419,1.633718,0.9592,0.00021765,23.2
57,1.869852,2.57358,1.166124,0.9378,1.570471,0.964,0.00021474,23.1
58,1.872924,2.585161,1.160687,0.9392,1.510208,0.9568,0.0002118,23.1
59,1.869299,2.574992,1.163606,0.9408,1.59525,0.9532,0.00020883,23.1
60,1.871174,2.573995,1.168354,0.9377,1.583477,0.9532,0.00020584,23.0
61,1.87463,2.588502,1.160757,0.9381,1.629109,0.9568,0.00020281,23.2
62,1.875366,2.590205,1.160526,0.9411,1.564515,0.9556,0.00019977,23.2
63,1.880909,2.607574,1.154244,0.9325,1.549725,0.958,0.0001967,23.2
64,1.875465,2.588871,1.16206,0.9364,1.844499,0.9125,0.00019361,23.2
65,1.873623,2.586818,1.160429,0.9383,1.584281,0.9616,0.0001905,23.1
66,1.875273,2.595558,1.154988,0.9309,1.537011,0.9628,0.00018737,23.2
67,1.875457,2.598027,1.152888,0.93,1.754814,0.9436,0.00018422,23.2
68,1.869452,2.58268,1.156223,0.9377,1.637161,0.9568,0.00018105,23.2
69,1.879424,2.606449,1.1524,0.9336,1.622137,0.9604,0.00017788,23.1
70,1.872805,2.583899,1.161711,0.9384,1.557231,0.9592,0.00017469,23.2
71,1.879205,2.609225,1.149184,0.9337,1.65118,0.9604,0.00017148,23.1
72,1.880487,2.60734,1.153635,0.9337,1.570833,0.9592,0.00016827,23.0
73,1.882574,2.61666,1.148488,0.931,1.586577,0.9652,0.00016505,23.0
74,1.877322,2.600088,1.154556,0.9357,1.566465,0.958,0.00016183,23.1
75,1.884215,2.622273,1.146157,0.9298,1.61292,0.958,0.00015859,23.1
76,1.877017,2.602369,1.151665,0.9321,1.602145,0.9556,0.00015536,23.1
77,1.877337,2.607522,1.147152,0.9253,1.566252,0.9556,0.00015212,23.1
78,1.889869,2.632747,1.14699,0.9336,1.567625,0.9556,0.00014888,23.0
79,1.887723,2.628982,1.146463,0.9265,1.728705,0.9365,0.00014564,23.2
80,1.883441,2.622716,1.144167,0.9334,1.651609,0.9532,0.00014241,23.0
81,1.886305,2.627198,1.145412,0.9294,1.556431,0.9616,0.00013917,23.0
82,1.884823,2.623935,1.145711,0.9262,1.654546,0.9544,0.00013595,23.0
83,1.890032,2.639386,1.140679,0.9285,1.608343,0.9508,0.00013273,23.1
84,1.888276,2.628141,1.148411,0.9294,1.61667,0.9568,0.00012952,23.2
85,1.886203,2.6278,1.144606,0.9328,1.534907,0.9628,0.00012631,23.2
86,1.881728,2.616527,1.14693,0.9327,1.542442,0.9628,0.00012312,23.1
87,1.891308,2.641598,1.141019,0.9262,1.720592,0.9424,0.00011995,23.1
88,1.889936,2.637661,1.14221,0.9282,1.537622,0.9604,0.00011678,23.1
89,1.895929,2.649662,1.142195,0.924,1.556323,0.964,0.00011363,23.2
90,1.89432,2.645364,1.143277,0.9238,1.748867,0.94,0.0001105,23.2
91,1.893651,2.647391,1.139912,0.9249,1.529594,0.9604,0.00010739,23.2
92,1.896112,2.651054,1.141169,0.9292,1.558498,0.9628,0.0001043,23.1
93,1.895454,2.651118,1.139789,0.9238,1.615319,0.9544,0.00010123,23.1
94,1.896422,2.661855,1.13099,0.9249,1.577894,0.9568,9.819e-05,23.1
