epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,2.372091,1.70387,2.446338,0.9742,1.134545,0.9448,6.058e-05,28.7
2,1.333619,3.213934,1.124695,0.8012,3.820627,0.7386,0.00012058,26.7
3,0.838078,4.816391,0.396043,0.5913,4.83508,0.7146,0.00018058,26.8
4,0.749737,5.206824,0.254505,0.6235,4.998588,0.8237,0.00024058,26.9
5,0.723753,5.250594,0.22077,0.7402,4.991737,0.8861,0.0003,26.9
6,0.709703,5.224143,0.208099,0.8089,4.957214,0.9197,0.00029996,27.0
7,0.700311,5.187548,0.20173,0.8583,4.913692,0.9317,0.00029986,26.9
8,0.694753,5.154772,0.199195,0.8813,4.88311,0.9424,0.00029968,26.9
9,0.69054,5.129909,0.197277,0.9025,4.860566,0.9508,0.00029944,27.0
10,0.686609,5.108474,0.195291,0.9183,4.826249,0.9532,0.00029912,27.0
11,0.683708,5.088745,0.19426,0.9237,4.814857,0.9544,0.00029874,26.9
12,0.681037,5.070558,0.193312,0.9333,4.803589,0.9568,0.00029828,27.0
13,0.679353,5.063576,0.192218,0.9363,4.78181,0.958,0.00029776,26.9
14,0.676849,5.037799,0.192299,0.9358,4.737265,0.9556,0.00029717,26.9
15,0.675288,5.027063,0.191757,0.9401,4.738465,0.9604,0.0002965,26.9
16,0.673424,5.009465,0.191642,0.939,4.725581,0.958,0.00029577,26.9
17,0.672249,4.998132,0.191595,0.9405,4.712191,0.9556,0.00029498,27.0
18,0.670592,4.982426,0.191499,0.9413,4.697905,0.9556,0.00029411,26.8
19,0.669627,4.976848,0.191047,0.9474,4.672419,0.9604,0.00029318,26.8
20,0.668668,4.968206,0.190941,0.9462,4.669219,0.958,0.00029217,26.9
21,0.666866,4.948676,0.191109,0.9393,4.658109,0.958,0.00029111,27.0
22,0.66655,4.949145,0.190706,0.9435,4.62482,0.9604,0.00028997,27.0
23,0.665392,4.936456,0.19083,0.9441,4.638327,0.9508,0.00028877,26.9
24,0.664397,4.925368,0.190955,0.9392,4.618493,0.958,0.00028751,27.0
25,0.664106,4.926235,0.190536,0.9387,4.597964,0.9556,0.00028618,26.9
26,0.662758,4.910553,0.190781,0.9423,4.609469,0.9568,0.00028479,26.9
27,0.663054,4.913354,0.190799,0.936,4.653089,0.9412,0.00028334,26.7
28,0.661604,4.899294,0.19075,0.9383,4.597676,0.9508,0.00028182,27.0
29,0.660443,4.889446,0.190553,0.9337,4.556371,0.9532,0.00028024,27.0
30,0.660395,4.889334,0.190513,0.9321,4.543667,0.952,0.0002786,26.9
31,0.659553,4.877821,0.190856,0.9355,4.574062,0.9448,0.0002769,26.8
32,0.659124,4.872531,0.190967,0.931,4.536291,0.9508,0.00027514,26.7
33,0.658623,4.86708,0.191017,0.9258,4.546976,0.9484,0.00027332,26.6
34,0.658509,4.867879,0.190801,0.9304,4.549417,0.9472,0.00027145,26.8
35,0.657816,4.864016,0.190461,0.9325,4.538336,0.9173,0.00026952,26.8
36,0.656986,4.849441,0.191158,0.9247,4.55457,0.946,0.00026753,26.9
37,0.656794,4.850545,0.190822,0.9267,4.494063,0.9496,0.00026548,26.9
38,0.655936,4.837009,0.191372,0.925,4.506914,0.9496,0.00026339,26.9
39,0.656453,4.846827,0.190856,0.9232,4.536402,0.9424,0.00026124,27.0
40,0.656135,4.842447,0.19099,0.9201,4.499648,0.9412,0.00025904,27.0
41,0.655248,4.83087,0.19129,0.9184,4.484387,0.9436,0.00025678,26.9
42,0.654984,4.830538,0.191033,0.9189,4.496109,0.9412,0.00025448,26.8
43,0.654553,4.825428,0.191122,0.9183,4.496104,0.9161,0.00025213,27.2
44,0.654833,4.828525,0.191089,0.9187,4.475738,0.9365,0.00024973,27.0
45,0.654363,4.826058,0.190841,0.9159,4.475688,0.9412,0.00024728,27.0
46,0.654243,4.820258,0.191353,0.9139,4.469043,0.9412,0.00024479,26.9
47,0.654019,4.82027,0.191102,0.9169,4.457393,0.9412,0.00024226,27.0
48,0.653849,4.818192,0.191145,0.9147,4.461349,0.9412,0.00023968,27.0
49,0.653399,4.812278,0.191301,0.9121,4.524886,0.9077,0.00023706,27.0
50,0.653429,4.813577,0.191191,0.9115,4.479933,0.94,0.0002344,26.8
51,0.653236,4.813569,0.190977,0.9093,4.478317,0.9341,0.0002317,26.9
52,0.652683,4.804867,0.191329,0.9019,4.450068,0.9436,0.00022896,26.8
53,0.652784,4.802749,0.191677,0.9078,4.440589,0.9329,0.00022618,27.0
54,0.65284,4.807753,0.191183,0.9078,4.443977,0.9257,0.00022337,26.9
55,0.652765,4.807651,0.191111,0.9059,4.459429,0.9305,0.00022053,27.0
56,0.652367,4.801242,0.191381,0.9078,4.439542,0.9353,0.00021765,26.9
57,0.65198,4.79529,0.191612,0.904,4.423943,0.9341,0.00021474,26.8
58,0.651829,4.795369,0.191436,0.9019,4.452226,0.9305,0.0002118,26.9
59,0.652049,4.799983,0.191168,0.8999,4.447963,0.9185,0.00020883,26.9
60,0.65114,4.787352,0.191561,0.9055,4.422004,0.9293,0.00020584,27.0
61,0.652044,4.797025,0.191491,0.8998,4.44937,0.9388,0.00020281,27.0
62,0.651605,4.794027,0.191336,0.8995,4.444724,0.9317,0.00019977,26.9
63,0.651467,4.792225,0.191383,0.8972,4.411133,0.9436,0.0001967,26.9
64,0.65186,4.795286,0.19148,0.9026,4.413584,0.9173,0.00019361,26.9
65,0.651276,4.789779,0.191443,0.8996,4.412643,0.9293,0.0001905,27.0
66,0.651671,4.795717,0.191221,0.8968,4.450666,0.9197,0.00018737,27.0
67,0.651801,4.796393,0.191291,0.8972,4.434412,0.94,0.00018422,27.0
68,0.651142,4.791989,0.191048,0.8987,4.398653,0.9436,0.00018105,26.9
69,0.651997,4.799622,0.19115,0.8947,4.47975,0.9185,0.00017788,27.1
70,0.651185,4.787641,0.191579,0.8956,4.420374,0.946,0.00017469,26.9
71,0.651122,4.788363,0.191429,0.8992,4.383713,0.9376,0.00017148,26.9
72,0.650972,4.788044,0.191297,0.8974,4.417227,0.94,0.00016827,26.9
73,0.651,4.787345,0.191406,0.8957,4.394854,0.9436,0.00016505,26.9
74,0.65069,4.781018,0.191765,0.8974,4.423578,0.9376,0.00016183,27.0
75,0.6511,4.792787,0.190912,0.8906,4.398276,0.8945,0.00015859,26.9
76,0.650615,4.780929,0.191691,0.8929,4.411862,0.9424,0.00015536,26.9
77,0.650947,4.784528,0.19166,0.8939,4.406365,0.9353,0.00015212,27.0
78,0.650999,4.789253,0.191192,0.8914,4.394269,0.9412,0.00014888,26.8
79,0.650753,4.782494,0.191671,0.8963,4.391857,0.9317,0.00014564,26.9
80,0.650937,4.785981,0.191488,0.8908,4.402921,0.94,0.00014241,26.8
81,0.650681,4.78795,0.190985,0.896,4.397975,0.9293,0.00013917,26.9
82,0.650506,4.780468,0.191621,0.8921,4.455818,0.9293,0.00013595,26.9
83,0.651445,4.795267,0.19102,0.8896,4.39756,0.9365,0.00013273,26.9
84,0.650753,4.786447,0.191232,0.8914,4.41779,0.9412,0.00012952,27.0
85,0.650859,4.788126,0.191162,0.8893,4.428132,0.9173,0.00012631,27.0
86,0.651285,4.790068,0.19142,0.8834,4.402053,0.9365,0.00012312,27.0
87,0.651471,4.796621,0.190898,0.8887,4.383584,0.9353,0.00011995,26.9
88,0.651215,4.792375,0.191086,0.8909,4.406492,0.9317,0.00011678,27.0
89,0.651209,4.792187,0.1911,0.8912,4.383183,0.9161,0.00011363,26.9
90,0.651125,4.789198,0.191339,0.8842,4.401102,0.9412,0.0001105,27.0
91,0.651323,4.792977,0.191139,0.887,4.393597,0.9317,0.00010739,26.9
92,0.651698,4.79766,0.191035,0.8842,4.396946,0.9257,0.0001043,26.8
93,0.651375,4.79188,0.191318,0.8849,4.402085,0.9353,0.00010123,26.8
94,0.651927,4.805236,0.190448,0.8827,4.390977,0.9149,9.819e-05,26.8
95,0.651518,4.794862,0.191147,0.8852,4.393973,0.9388,9.516e-05,26.8
96,0.651667,4.797057,0.191068,0.8764,4.387674,0.946,9.217e-05,26.9
97,0.652404,4.806481,0.19084,0.8789,4.389924,0.9365,8.92e-05,27.0
98,0.652146,4.802471,0.190999,0.88,4.385371,0.9353,8.626e-05,26.9
99,0.651665,4.801028,0.190624,0.8822,4.410581,0.9329,8.335e-05,27.0
100,0.652306,4.808186,0.190541,0.8861,4.396309,0.9376,8.047e-05,27.0
101,0.65234,4.804878,0.190946,0.8801,4.394424,0.9376,7.763e-05,26.9
102,0.652349,4.808656,0.190537,0.8845,4.386207,0.9305,7.482e-05,27.0
103,0.652515,4.810043,0.190567,0.8812,4.396662,0.9424,7.204e-05,26.9
104,0.652655,4.811988,0.190506,0.873,4.384193,0.9365,6.93e-05,27.0
105,0.652717,4.812294,0.190542,0.8733,4.424255,0.9293,6.66e-05,26.9
106,0.651512,4.795905,0.191024,0.8807,4.378728,0.94,6.394e-05,26.9
107,0.652631,4.814671,0.190182,0.8753,4.376322,0.9365,6.132e-05,26.7
108,0.652827,4.811812,0.190717,0.8767,4.39283,0.9293,5.874e-05,27.0
109,0.653093,4.810756,0.19113,0.8748,4.391557,0.9233,5.621e-05,27.0
110,0.653087,4.819161,0.19019,0.8747,4.396804,0.9424,5.372e-05,26.9
111,0.65329,4.817383,0.190613,0.8761,4.383223,0.9269,5.127e-05,27.0
112,0.653579,4.826917,0.189875,0.8718,4.41042,0.9388,4.887e-05,27.0
113,0.654035,4.832941,0.189712,0.875,4.403066,0.9388,4.652e-05,26.9
114,0.653876,4.829808,0.189884,0.8733,4.379478,0.94,4.422e-05,27.0
115,0.654268,4.829922,0.190306,0.8688,4.394878,0.9388,4.196e-05,27.0
116,0.654595,4.836196,0.189972,0.8675,4.39944,0.9376,3.976e-05,26.5
117,0.654564,4.837901,0.189749,0.8637,4.392474,0.9353,3.761e-05,26.8
118,0.654374,4.836931,0.189645,0.8678,4.414561,0.94,3.552e-05,26.5
119,0.654463,4.835662,0.189886,0.8676,4.4079,0.9388,3.347e-05,26.8
120,0.654034,4.832837,0.189723,0.8759,4.400922,0.9353,3.148e-05,26.9
121,0.654902,4.841793,0.189692,0.869,4.400257,0.9341,2.955e-05,26.9
122,0.655082,4.843801,0.189669,0.8697,4.408268,0.9329,2.768e-05,26.9
123,0.654649,4.832754,0.190416,0.8672,4.402083,0.9388,2.586e-05,26.8
124,0.655039,4.844758,0.189514,0.8709,4.408574,0.94,2.41e-05,26.8
125,0.654874,4.840885,0.189762,0.8666,4.409066,0.9388,2.24e-05,26.9
126,0.655281,4.845919,0.189654,0.8625,4.408177,0.9412,2.076e-05,27.0
127,0.655956,4.851919,0.189737,0.8657,4.422257,0.9353,1.918e-05,26.9
128,0.655843,4.849721,0.189856,0.8621,4.402101,0.9412,1.766e-05,27.0
129,0.655353,4.846034,0.189722,0.8709,4.418273,0.9365,1.621e-05,27.0
130,0.656347,4.858471,0.189444,0.8571,4.42611,0.9376,1.482e-05,26.9
131,0.656418,4.855027,0.189906,0.8631,4.422985,0.9365,1.349e-05,26.9
132,0.657355,4.868701,0.189428,0.8534,4.425334,0.9376,1.223e-05,27.0
133,0.656995,4.873761,0.188465,0.8627,4.425222,0.9388,1.103e-05,26.9
134,0.656499,4.858499,0.18961,0.8597,4.418473,0.9353,9.89e-06,26.9
135,0.657381,4.870206,0.189289,0.8558,4.417832,0.9388,8.83e-06,26.8
136,0.657637,4.876514,0.188872,0.8586,4.41053,0.9388,7.82e-06,26.8
