epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,6.254186,5.910848,6.597524,0.1161,3.731988,0.235,6.058e-05,59.7
2,3.382182,4.638173,2.126191,0.1955,3.768667,0.4293,0.00012058,57.0
3,2.666452,4.212566,1.120339,0.3989,3.341458,0.6295,0.00018058,57.2
4,2.489978,3.861373,1.118583,0.5583,2.947223,0.7482,0.00024058,58.2
5,2.376338,3.605335,1.147342,0.6647,2.82474,0.7626,0.0003,57.1
6,2.297459,3.422158,1.17276,0.7282,2.651698,0.8022,0.00029999,57.0
7,2.24065,3.303695,1.177606,0.7613,2.50294,0.8333,0.00029995,57.4
8,2.197139,3.209379,1.184898,0.7928,2.337376,0.8513,0.00029989,57.7
9,2.160764,3.124202,1.197326,0.8178,2.308201,0.8489,0.0002998,57.1
10,2.133641,3.075695,1.191586,0.8248,2.22611,0.8657,0.00029969,57.3
11,2.11003,3.024373,1.195687,0.8434,2.319756,0.8609,0.00029956,58.1
12,2.094316,2.987938,1.200693,0.8447,2.150332,0.8801,0.0002994,57.0
13,2.076592,2.95292,1.200265,0.8603,2.115428,0.8669,0.00029921,57.3
14,2.065418,2.930852,1.199984,0.8579,2.03675,0.8861,0.00029901,58.0
15,2.048395,2.896904,1.199885,0.8705,2.197628,0.8537,0.00029877,57.0
16,2.032181,2.859517,1.204846,0.8741,2.05761,0.8849,0.00029852,57.1
17,2.021081,2.840594,1.201568,0.8795,2.094426,0.8777,0.00029823,58.2
18,2.010135,2.816932,1.203338,0.8837,1.973051,0.9017,0.00029793,56.9
19,2.006105,2.814876,1.197334,0.8843,2.066817,0.8849,0.0002976,57.1
20,2.000102,2.801717,1.198487,0.881,1.894357,0.9077,0.00029724,57.8
21,1.984956,2.770033,1.199879,0.8906,2.039353,0.8993,0.00029686,57.8
22,1.984078,2.773189,1.194967,0.8965,1.886581,0.9077,0.00029646,57.0
23,1.973843,2.747646,1.200041,0.8975,1.924185,0.9017,0.00029604,57.5
24,1.969753,2.74415,1.195355,0.8944,2.048995,0.8669,0.00029558,57.8
25,1.955667,2.712295,1.199038,0.9008,1.830493,0.9125,0.00029511,57.1
26,1.952385,2.710802,1.193968,0.9035,1.824309,0.9065,0.00029461,57.1
27,1.949835,2.704116,1.195555,0.9034,1.876457,0.9077,0.00029409,58.1
28,1.943173,2.693882,1.192464,0.9032,1.971621,0.8825,0.00029355,56.8
29,1.934961,2.67808,1.191841,0.9064,1.913752,0.8909,0.00029298,56.8
30,1.936989,2.68085,1.193129,0.9067,1.808046,0.9125,0.00029238,58.1
31,1.932912,2.676819,1.189006,0.9044,1.843777,0.9101,0.00029177,56.8
32,1.926644,2.662499,1.190788,0.9059,1.787781,0.9137,0.00029113,56.9
33,1.921344,2.655743,1.186944,0.9049,1.840963,0.9053,0.00029047,58.2
34,1.916497,2.64479,1.188204,0.9183,1.882481,0.9041,0.00028978,56.9
35,1.91363,2.633662,1.193599,0.9105,1.818077,0.9125,0.00028907,56.9
36,1.91351,2.6376,1.18942,0.912,1.726528,0.9209,0.00028834,57.6
37,1.905574,2.62496,1.186188,0.9118,1.749728,0.9269,0.00028759,57.8
38,1.899201,2.610253,1.188149,0.9192,1.70112,0.9233,0.00028681,57.1
39,1.898831,2.611171,1.186491,0.9181,1.749961,0.9245,0.00028602,57.2
40,1.900602,2.616892,1.184312,0.915,1.696827,0.9293,0.00028519,57.9
41,1.901915,2.6159,1.18793,0.9132,1.670084,0.9305,0.00028435,56.9
42,1.891333,2.599315,1.183352,0.9207,1.636133,0.9365,0.00028349,57.2
43,1.895702,2.608997,1.182407,0.9159,1.859466,0.9017,0.0002826,58.1
44,1.891554,2.602642,1.180465,0.9189,1.688605,0.9173,0.00028169,56.9
45,1.883959,2.586628,1.181291,0.9201,1.864913,0.8945,0.00028076,56.9
46,1.881379,2.579018,1.183739,0.9208,1.653093,0.9137,0.00027981,58.2
47,1.879482,2.576849,1.182115,0.9219,1.641381,0.9388,0.00027884,57.0
48,1.883639,2.586363,1.180915,0.9211,1.601259,0.9317,0.00027784,57.1
49,1.878607,2.574532,1.182683,0.9189,1.704518,0.9185,0.00027683,58.1
50,1.872285,2.565464,1.179106,0.9178,1.634013,0.9317,0.00027579,57.4
51,1.870853,2.561085,1.18062,0.9231,1.577764,0.9376,0.00027474,57.0
52,1.869671,2.559363,1.179979,0.9249,1.591573,0.9365,0.00027366,57.5
53,1.867631,2.556254,1.179007,0.9246,1.622738,0.9376,0.00027256,57.9
54,1.865603,2.553052,1.178154,0.9297,1.809569,0.8909,0.00027145,57.0
55,1.860168,2.541288,1.179047,0.9252,1.717599,0.9125,0.00027031,57.2
56,1.862713,2.54811,1.177315,0.9207,1.704482,0.9257,0.00026915,58.1
57,1.868192,2.568393,1.16799,0.9225,1.565399,0.9448,0.00026798,57.1
58,1.86447,2.551168,1.177772,0.9238,1.560194,0.94,0.00026678,57.1
59,1.861682,2.548446,1.174918,0.9228,1.642564,0.9281,0.00026557,58.1
60,1.861083,2.549464,1.172703,0.9297,1.591512,0.9365,0.00026434,57.0
61,1.857252,2.536953,1.177551,0.9246,1.585457,0.9412,0.00026308,57.0
62,1.851613,2.526636,1.17659,0.931,1.615466,0.9484,0.00026181,58.1
63,1.859712,2.548325,1.171098,0.9237,1.731756,0.9221,0.00026052,57.2
64,1.854602,2.536198,1.173006,0.9276,1.547911,0.9424,0.00025922,57.1
65,1.850257,2.530836,1.169677,0.9256,1.571003,0.9424,0.00025789,57.7
66,1.857507,2.546297,1.168716,0.9255,1.660533,0.9317,0.00025655,57.7
67,1.847206,2.524608,1.169804,0.927,1.562345,0.9376,0.00025519,56.9
68,1.846322,2.520716,1.171927,0.9298,1.518353,0.946,0.00025381,57.3
69,1.849295,2.530956,1.167634,0.9259,1.599893,0.9388,0.00025242,58.0
70,1.846153,2.523473,1.168833,0.9282,1.646859,0.9376,0.00025101,57.0
71,1.846487,2.525451,1.167523,0.9267,1.664169,0.9329,0.00024958,57.1
72,1.842569,2.516405,1.168732,0.9282,1.56746,0.9496,0.00024814,58.2
73,1.845388,2.524,1.166777,0.9304,1.539902,0.9484,0.00024668,57.2
74,1.842647,2.512298,1.172995,0.924,1.590574,0.9484,0.0002452,57.1
75,1.842351,2.521996,1.162706,0.9259,1.491046,0.9508,0.00024371,58.3
76,1.836624,2.502113,1.171134,0.9342,1.492982,0.9508,0.00024221,57.1
77,1.844723,2.527959,1.161488,0.9247,1.5303,0.9496,0.00024068,57.1
78,1.839132,2.50784,1.170423,0.9294,1.484446,0.9472,0.00023915,58.1
79,1.840107,2.52081,1.159404,0.9255,1.567487,0.9484,0.0002376,57.5
80,1.84148,2.519178,1.163783,0.9286,1.493012,0.9472,0.00023603,57.1
81,1.84464,2.522249,1.16703,0.9256,1.547877,0.9484,0.00023445,57.7
82,1.833589,2.506259,1.16092,0.9274,1.509097,0.9484,0.00023286,41.0
83,1.840127,2.518718,1.161536,0.927,1.558363,0.9472,0.00023125,38.1
84,1.839043,2.51714,1.160945,0.9247,1.589637,0.9424,0.00022963,38.1
85,1.838072,2.516159,1.159985,0.9282,1.669503,0.9341,0.000228,39.4
86,1.832533,2.503132,1.161935,0.9337,1.448754,0.958,0.00022635,30.5
87,1.840078,2.520226,1.159931,0.9265,1.514612,0.946,0.0002247,28.9
88,1.837884,2.519014,1.156754,0.925,1.680352,0.9245,0.00022303,29.8
89,1.831865,2.501234,1.162495,0.9333,1.449784,0.9532,0.00022134,29.1
90,1.838955,2.523317,1.154593,0.9228,1.753958,0.8921,0.00021965,28.9
91,1.836307,2.511081,1.161534,0.9252,1.48233,0.952,0.00021794,29.0
92,1.838427,2.51728,1.159573,0.9253,1.462018,0.9484,0.00021623,30.0
93,1.835551,2.514747,1.156355,0.9282,1.535314,0.9544,0.0002145,29.0
94,1.836332,2.513895,1.158769,0.9246,1.515603,0.946,0.00021276,26.5
95,1.833459,2.510405,1.156514,0.928,1.509907,0.9544,0.00021102,19.3
96,1.831558,2.504882,1.158234,0.9274,1.488846,0.9484,0.00020926,18.9
97,1.839349,2.520034,1.158664,0.93,1.511035,0.9448,0.00020749,19.0
98,1.837214,2.519313,1.155116,0.9274,1.456216,0.9532,0.00020571,19.9
99,1.837469,2.518038,1.1569,0.9261,1.449712,0.9568,0.00020393,19.0
100,1.835516,2.51884,1.152192,0.9235,1.456803,0.9544,0.00020213,19.0
101,1.833891,2.510526,1.157256,0.9304,1.470088,0.9556,0.00020033,19.7
102,1.833269,2.512238,1.154301,0.9234,1.453776,0.9568,0.00019852,19.0
103,1.832087,2.512194,1.15198,0.9306,1.439234,0.9544,0.0001967,19.0
104,1.835568,2.51853,1.152606,0.9237,1.504742,0.9508,0.00019487,19.8
105,1.830721,2.506356,1.155086,0.9306,1.441657,0.9532,0.00019304,19.2
