epoch,train_loss,train_ce,train_kd,train_acc,val_loss,val_acc,lr,time_s
1,2.086317,1.642314,2.197318,0.9797,0.925576,0.9544,6.058e-05,38.6
2,1.4832,2.461467,1.238633,0.9322,2.189974,0.94,0.00012058,54.3
3,1.261661,3.1369,0.792851,0.9142,2.579212,0.9568,0.00018058,54.5
4,1.183934,3.342149,0.644381,0.9364,2.72828,0.9664,0.00024058,54.5
5,1.14454,3.405186,0.579378,0.9546,2.814226,0.9688,0.0003,54.6
6,1.121417,3.418158,0.547232,0.9657,2.846707,0.9676,0.00029996,67.8
7,1.108607,3.416857,0.531545,0.9671,2.824548,0.9652,0.00029986,68.0
8,1.09703,3.397088,0.522016,0.9734,2.76901,0.976,0.00029968,67.7
9,1.091797,3.396171,0.515703,0.9737,2.793096,0.9712,0.00029944,64.1
10,1.085509,3.389696,0.509462,0.9755,2.735238,0.9736,0.00029912,53.9
11,1.081304,3.376508,0.507503,0.9724,2.738691,0.97,0.00029874,54.2
12,1.076819,3.363212,0.50522,0.9727,2.758385,0.9724,0.00029828,54.2
13,1.07117,3.348458,0.501848,0.9746,2.694088,0.9724,0.00029776,54.1
14,1.06836,3.341812,0.499997,0.9746,2.734169,0.976,0.00029717,53.9
15,1.067639,3.345552,0.49816,0.9745,2.707306,0.97,0.0002965,54.3
16,1.062955,3.333631,0.495286,0.976,2.720526,0.9748,0.00029577,54.3
17,1.060751,3.326135,0.494405,0.9719,2.687143,0.97,0.00029498,54.3
18,1.056963,3.311093,0.493431,0.9724,2.637769,0.9724,0.00029411,53.9
19,1.055618,3.307574,0.492629,0.9725,2.626653,0.9748,0.00029318,54.2
20,1.053251,3.298696,0.49189,0.9745,2.741569,0.9628,0.00029217,54.3
21,1.048578,3.276841,0.491513,0.9739,2.610395,0.9736,0.00029111,54.4
22,1.050898,3.300015,0.488618,0.9674,2.635448,0.97,0.00028997,54.0
23,1.046297,3.277994,0.488372,0.9716,2.599761,0.9748,0.00028877,53.9
24,1.044389,3.27302,0.487231,0.973,2.602047,0.97,0.00028751,54.3
25,1.044096,3.27678,0.485925,0.971,2.629647,0.9736,0.00028618,54.3
26,1.042214,3.259268,0.487951,0.9712,2.613959,0.9712,0.00028479,54.2
